Date,Close/Last,Volume,Open,High,Low
06/28/2021,105.68,16239,105.67,105.68,105.67
06/25/2021,105.675,11917,105.68,105.68,105.67
06/24/2021,105.675,7081,105.676,105.68,105.67
06/23/2021,105.675,6852,105.68,105.68,105.67
06/22/2021,105.675,7579,105.67,105.6763,105.67
06/21/2021,105.67,15015,105.675,105.68,105.67
06/18/2021,105.675,4602,105.675,105.68,105.67
06/17/2021,105.675,4842,105.68,105.68,105.67
06/16/2021,105.68,7187,105.67,105.69,105.67
06/15/2021,105.6826,14711,105.6794,105.6899,105.67
06/14/2021,105.69,12362,105.67,105.69,105.67
06/11/2021,105.675,46122,105.68,105.69,105.67
06/10/2021,105.675,19284,105.67,105.69,105.67
06/09/2021,105.675,3162,105.68,105.69,105.67
06/08/2021,105.68,3126,105.689,105.689,105.68
06/07/2021,105.68,12097,105.68,105.69,105.68
06/04/2021,105.685,19162,105.68,105.69,105.67
06/03/2021,105.68,32439,105.68,105.69,105.68
06/02/2021,105.685,9178,105.681,105.685,105.68
06/01/2021,105.7,12720,105.681,105.7,105.68
05/28/2021,105.68,8714,105.69,105.69,105.68
05/27/2021,105.685,4222,105.686,105.69,105.68
05/26/2021,105.685,5044,105.68,105.687,105.68
05/25/2021,105.685,5252,105.681,105.6899,105.68
05/24/2021,105.68,7382,105.68,105.6931,105.68
05/21/2021,105.6931,8293,105.68,105.7,105.68
05/20/2021,105.69,13379,105.68,105.7,105.68
05/19/2021,105.685,5980,105.698,105.698,105.68
05/18/2021,105.69,58232,105.701,105.701,105.68
05/17/2021,105.7,18467,105.67,105.7,105.67
05/14/2021,105.68,5777,105.69,105.7,105.68
05/13/2021,105.685,5576,105.687,105.69,105.68
05/12/2021,105.685,6625,105.68,105.69,105.68
05/11/2021,105.69,6728,105.68,105.69,105.68
05/10/2021,105.68,8076,105.68,105.685,105.68
05/07/2021,105.685,8851,105.7,105.7,105.68
05/06/2021,105.68,14291,105.683,105.69,105.68
05/05/2021,105.68,91501,105.68,105.69,105.68
05/04/2021,105.695,15852,105.69,105.7,105.69
05/03/2021,105.71,10347,105.69,105.71,105.69
04/30/2021,105.68,12126,105.68,105.69,105.68
04/29/2021,105.685,6624,105.685,105.69,105.68
04/28/2021,105.685,6386,105.6869,105.6869,105.68
04/27/2021,105.685,10717,105.69,105.69,105.68
04/26/2021,105.685,5635,105.6879,105.6879,105.68
04/23/2021,105.69,111893,105.68,105.69,105.68
04/22/2021,105.685,7667,105.68,105.69,105.68
04/21/2021,105.685,87606,105.68,105.69,105.68
04/20/2021,105.685,4605,105.685,105.69,105.681
04/19/2021,105.685,43513,105.685,105.695,105.68
04/16/2021,105.685,18257,105.7,105.7,105.68
