Date,Close/Last,Volume,Open,High,Low
06/28/2021,53.21,121602,53.14,53.2299,53.1001
06/25/2021,53.17,125304,53.27,53.3,53.126
06/24/2021,53.26,104952,53.3,53.31,53.25
06/23/2021,53.21,146539,53.28,53.28,53.21
06/22/2021,53.28,125508,53.08,53.28,53.08
06/21/2021,53.21,82774,53.34,53.34,53.21
06/18/2021,53.35,178174,53.27,53.36,53.2007
06/17/2021,53.18,127571,53.03,53.3018,53.03
06/16/2021,53.03,124505,53.2,53.29,53.01
06/15/2021,53.2,215829,53.19,53.26,53.1405
06/14/2021,53.19,194497,53.29,53.32,53.1602
06/11/2021,53.32,401407,53.34,53.3701,53.19
06/10/2021,53.35,169321,53.2,53.35,53.2
06/09/2021,53.21,163525,53.28,53.294,53.2
06/08/2021,53.13,237617,53.03,53.2,53.02
06/07/2021,53,171959,52.98,53.04,52.98
06/04/2021,53.02,109901,52.84,53.04,52.84
06/03/2021,52.84,146768,52.94,52.94,52.83
06/02/2021,52.94,129532,52.93,52.96,52.91
06/01/2021,52.91,145660,52.89,52.91,52.83
05/28/2021,52.88,140726,52.84,52.93,52.84
05/27/2021,52.82,188846,52.8,52.8774,52.8
05/26/2021,52.91,130469,52.98,52.98,52.88
05/25/2021,52.98,203750,52.87,53.019,52.87
05/24/2021,52.86,119750,52.86,52.9149,52.8346
05/21/2021,52.8,118312,52.88,52.88,52.796
05/20/2021,52.8,141935,52.73,52.8162,52.69
05/19/2021,52.66,156172,52.71,52.7988,52.61
05/18/2021,52.73,119914,52.81,52.885,52.725
05/17/2021,52.79,150789,52.77,52.8,52.64
05/14/2021,52.86,225707,52.78,52.88,52.7202
05/13/2021,52.72,144407,52.64,52.73,52.59
05/12/2021,52.6,339177,52.75,52.79,52.569
05/11/2021,52.8,158461,52.8,52.8399,52.7788
05/10/2021,52.8815,260680,53,53.025,52.88
05/07/2021,52.97,282341,52.99,53.099,52.97
05/06/2021,52.95,166990,52.93,52.99,52.93
05/05/2021,52.91,132347,52.87,52.93,52.79
05/04/2021,52.92,267379,52.93,52.96,52.8559
05/03/2021,52.85,263401,52.82,52.87,52.7738
04/30/2021,52.77,138242,52.76,52.92,52.72
04/29/2021,52.74,145889,52.65,52.75,52.6176
04/28/2021,52.75,127868,52.77,52.78,52.6683
04/27/2021,52.8,151541,52.92,52.95,52.8
04/26/2021,52.93,343252,52.9,53.0094,52.9
04/23/2021,52.96,266418,52.97,53.0068,52.94
04/22/2021,52.94,147098,52.95,53.0065,52.8863
04/21/2021,52.96,203827,52.96,53.02,52.84
04/20/2021,52.87,164779,52.8,52.91,52.77
04/19/2021,52.81,186663,52.77,52.85,52.75
04/16/2021,52.85,180057,52.85,52.9456,52.85
04/15/2021,52.97,211586,53,53.05,52.82
04/14/2021,52.74,323712,52.76,52.83,52.72
04/13/2021,52.76,398635,52.67,52.79,52.65
04/12/2021,52.64,296432,52.66,52.67,52.6201
04/09/2021,52.69,186410,52.65,52.769,52.57
04/08/2021,52.75,931342,52.67,52.89,52.67
04/07/2021,52.63,210112,52.69,52.775,52.62
04/06/2021,52.69,529095,52.56,52.74,52.555
04/05/2021,52.51,384919,52.46,52.5887,52.4101
04/01/2021,52.54,344926,52.49,52.66,52.49
03/31/2021,52.41,271088,52.36,52.57,52.36
03/30/2021,52.36,244635,52.28,52.43,52.27
03/29/2021,52.35,207573,52.44,52.48,52.32
03/26/2021,52.58,227124,52.53,52.7,52.5
03/25/2021,52.64,155938,52.66,52.755,52.61
03/24/2021,52.71,213952,52.6,52.76,52.59
03/23/2021,52.57,207410,52.63,52.63,52.51
03/22/2021,52.51,265184,52.37,52.57,52.33
03/19/2021,52.33,237870,52.18,52.4151,52.18
03/18/2021,52.24,225642,52.18,52.34,52.13
03/17/2021,52.51,522213,52.42,52.6,52.33
03/16/2021,52.46,582663,52.48,52.619,52.45
03/15/2021,52.49,1016501,52.5,52.565,52.4
03/12/2021,52.4,298688,52.47,52.5698,52.4
03/11/2021,52.78,502215,52.71,52.8522,52.71
03/10/2021,52.71,275977,52.67,52.8,52.6603
03/09/2021,52.64,262610,52.56,52.6894,52.55
03/08/2021,52.4,291428,52.62,52.62,52.4
03/05/2021,52.6985,314947,52.58,52.74,52.53
03/04/2021,52.65,242880,52.91,52.95,52.635
03/03/2021,52.88,213707,52.95,52.98,52.8091
03/02/2021,53.04,279191,53.01,53.12,52.96
03/01/2021,53.02,478237,52.99,53.09,52.94
02/26/2021,52.98,297453,52.67,53.17,52.67
02/25/2021,52.58,542169,52.88,53,52.53
02/24/2021,53.07,274552,53.07,53.1853,52.851
02/23/2021,53.19,314559,53.17,53.2833,53.11
02/22/2021,53.29,363424,53.3,53.34,53.2196
02/19/2021,53.34,350699,53.46,53.53,53.3
02/18/2021,53.6,316473,53.6,53.614,53.465
02/17/2021,53.65,238690,53.55,53.65,53.5483
02/16/2021,53.52,286725,53.6,53.6025,53.475
02/12/2021,53.75,325326,53.79,53.84,53.75
02/11/2021,53.87,212020,53.85,53.99,53.85
02/10/2021,53.93,162420,53.84,53.94,53.83
02/09/2021,53.84,441175,53.86,53.8903,53.79
02/08/2021,53.82,323730,53.8,53.9,53.7396
02/05/2021,53.8,255422,53.7,53.84,53.7
02/04/2021,53.8,267942,53.75,53.8,53.7
02/03/2021,53.79,131902,53.79,53.8,53.75
02/02/2021,53.81,190889,53.75,53.84,53.7101
02/01/2021,53.84,345333,53.75,53.88,53.75
01/29/2021,53.8,243767,53.76,53.8494,53.76
01/28/2021,53.86,178619,53.87,53.89,53.81
01/27/2021,53.92,365208,53.91,53.99,53.8801
01/26/2021,53.96,205286,53.94,54.005,53.94
01/25/2021,53.99,200849,53.9,54,53.8816
01/22/2021,53.85,195532,53.85,53.92,53.8
01/21/2021,53.86,721058,53.81,53.96,53.81
01/20/2021,53.91,197661,53.88,53.94,53.8209
01/19/2021,53.9,262380,53.83,53.9,53.785
01/15/2021,53.84,209482,53.86,53.8859,53.77
01/14/2021,53.76,290600,53.89,53.9446,53.76
01/13/2021,53.9,249711,53.6,53.9,53.6
01/12/2021,53.58,538397,53.54,53.6,53.485
01/11/2021,53.6,564718,53.61,53.66,53.58
01/08/2021,53.7,495002,53.72,53.7729,53.67
01/07/2021,53.83,266451,53.85,53.94,53.8
01/06/2021,53.89,261901,53.95,54.01,53.77
01/05/2021,54.05,255884,54.18,54.25,54.05
01/04/2021,54.18,410727,54.12,54.25,54.1
12/31/2020,54.25,240231,54.28,54.325,54.17
12/30/2020,54.16,309169,54.2,54.25,54.16
12/29/2020,54.21,212648,54.16,54.21,54.1
12/28/2020,54.25,143092,54.18,54.25,54.1101
12/24/2020,54.24,89969,54.2,54.2463,54.11
12/23/2020,54.2,159126,54.15,54.2,54.1
12/22/2020,54.2,137154,54.22,54.22,54.1395
12/21/2020,54.14,161065,54.22,54.24,54.12
12/18/2020,54.22,136277,54.2,54.24,54.14
12/17/2020,54.16,174475,54.19,54.3044,54.12
12/16/2020,54.12,235411,54.13,54.1934,54.11
12/15/2020,54.12,162664,54.13,54.18,54.12
12/14/2020,54.15,174900,54.11,54.18,54.0718
12/11/2020,54.12,189851,54.15,54.1724,54.05
12/10/2020,54.09,214522,54.03,54.09,54
12/09/2020,53.97,286305,54.04,54.045,53.9209
12/08/2020,54.05,375345,53.99,54.11,53.99
12/07/2020,53.98,261329,53.88,54.06,53.88
12/04/2020,53.87,371966,53.93,53.99,53.83
12/03/2020,55.08,199539,54.95,55.12,54.9109
12/02/2020,54.87,228279,55.01,55.02,54.87
12/01/2020,55.03,185352,55.12,55.12,55.0004
11/30/2020,55.12,175684,55.12,55.14,55.06
11/27/2020,55.08,67395,55.04,55.12,55.04
11/25/2020,55.04,199224,55,55.08,54.9959
11/24/2020,55.1,214720,55.03,55.14,55.03
11/23/2020,55.06,210461,55.11,55.147,55.06
11/20/2020,55.1,164487,55.09,55.16,55.04
11/19/2020,55.08,247755,55.03,55.08,54.97
11/18/2020,54.98,247642,54.94,54.98,54.892
11/17/2020,54.92,167409,54.87,54.94,54.84
