Date,Close/Last,Volume,Open,High,Low
06/28/2021,47.02,355023,47.04,47.09,46.9252
06/25/2021,47.04,14763,46.87,47.07,46.86
06/24/2021,46.81,41920,46.85,46.8618,46.7
06/23/2021,46.6,19955,46.76,46.76,46.57
06/22/2021,46.77,103906,46.59,46.83,46.55
06/21/2021,46.6,45603,46.14,46.6,46.05
06/18/2021,46.01,21083,46.34,46.34,45.94
06/17/2021,46.67,21244,46.51,46.7306,46.48
06/16/2021,46.58,24815,46.99,46.99,46.44
06/15/2021,46.91,57838,46.98,46.98,46.86
06/14/2021,46.98,22355,46.85,46.98,46.71
06/11/2021,46.85,16123,46.8,46.85,46.655
06/10/2021,46.75,38651,46.57,46.8,46.56
06/09/2021,46.4,14981,46.35,46.55,46.35
06/08/2021,46.36,41267,46.32,46.398,46.205
06/07/2021,46.27,33736,46.23,46.38,46.1448
06/04/2021,46.3,42185,46.11,46.315,46.11
06/03/2021,45.88,24321,45.85,45.96,45.685
06/02/2021,46.04,30221,45.95,46.1099,45.95
06/01/2021,45.87,22165,46.31,46.4021,45.87
05/28/2021,46.1,12106,46.17,46.279,46.1
05/27/2021,46.06,37145,46.17,46.21,46.06
05/26/2021,46.06,72116,46.19,46.19,46.045
05/25/2021,46.13,22578,46.31,46.31,46.045
05/24/2021,46.2,26100,46.14,46.32,46.135
05/21/2021,45.9,19349,46.12,46.31,45.9
05/20/2021,46.02,17538,45.63,46.16,45.63
05/19/2021,45.59,37879,45.29,45.59,45.125
05/18/2021,45.72,16365,46.11,46.12,45.72
05/17/2021,46.09,26437,46.2,46.27,46
05/14/2021,46.28,29536,46.08,46.363,46.07
05/13/2021,45.8,35062,45.36,45.965,45.36
05/12/2021,45.22,51688,45.76,45.81,45.18
05/11/2021,46.07,33164,46.06,46.17,45.84
05/10/2021,46.52,14649,46.75,46.9206,46.49
05/07/2021,46.76,48381,46.65,46.83,46.56
05/06/2021,46.5,109785,46.12,46.5,46.0804
05/05/2021,46.13,23510,46.37,46.3756,46.13
05/04/2021,46.23,29627,46.24,46.24,45.935
05/03/2021,46.45,40821,46.35,46.5274,46.3416
04/30/2021,46.12,18236,46.2,46.28,46.12
04/29/2021,46.345,29519,46.24,46.405,46.07
04/28/2021,46.02,20350,46.23,46.23,46.02
04/27/2021,46.17,35724,46.26,46.26,46.09
04/26/2021,46.23,33316,46.39,46.39,46.18
04/23/2021,46.34,59340,46.07,46.4721,45.975
04/22/2021,45.96,48654,46.15,46.335,45.875
04/21/2021,46.26,24207,46.05,46.28,46.05
04/20/2021,46.02,34559,45.93,46.16,45.9
04/19/2021,46.1,63865,46.16,46.16,45.96
04/16/2021,46.22,63087,46.11,46.28,46.0216
04/15/2021,45.96,64663,45.63,45.9825,45.63
04/14/2021,45.34,54792,45.61,45.61,45.34
04/13/2021,45.54,127211,45.42,45.59,45.415
04/12/2021,45.42,42751,45.36,45.42,45.27
04/09/2021,45.36,188333,45.06,45.39,45.06
04/08/2021,45.09,34470,45.01,45.1,45
04/07/2021,44.91,28739,44.91,44.94,44.835
04/06/2021,44.8488,31024,44.86,44.98,44.78
04/05/2021,44.94,173414,44.42,44.98,44.32
04/01/2021,44.27,41308,44.03,44.29,43.945
03/31/2021,43.86,15941,43.85,44.005,43.85
03/30/2021,43.73,40471,44.02,44.02,43.69
03/29/2021,44.1,38308,43.74,44.199,43.74
03/26/2021,44,20135,43.41,44,43.33
03/25/2021,43.3,36571,43.06,43.329,42.88
03/24/2021,43.14,63615,43.35,43.46,43.14
03/23/2021,43.21,27037,43.16,43.47,43.135
03/22/2021,43.16,17003,42.82,43.26,42.79
03/19/2021,42.75,29945,43.04,43.04,42.701
03/18/2021,43.0987,22653,43.4,43.41,43.065
03/17/2021,43.56,24258,43.57,43.709,43.3801
03/16/2021,43.71,28296,43.53,43.8,43.53
03/15/2021,43.53,27323,43.26,43.54,43.14
03/12/2021,43.31,27361,43.12,43.31,43.0258
03/11/2021,43.18,54732,43.04,43.4162,43.04
03/10/2021,42.97,82513,42.93,43.1,42.841
03/09/2021,42.74,72082,42.71,43.05,42.71
03/08/2021,42.26,67546,42.41,42.87,42.26
03/05/2021,42.37,54697,41.86,42.3901,41.4728
03/04/2021,41.53,44170,42.01,42.3,41.22
03/03/2021,42,26429,42.51,42.51,41.96
03/02/2021,42.58,46401,42.94,42.94,42.52
03/01/2021,42.82,19201,42.44,42.9915,42.37
02/26/2021,42.07,22320,42.45,42.475,41.94
02/25/2021,42.33,22977,42.9,42.9866,42.18
02/24/2021,43.01,44994,42.74,43.05,42.5916
02/23/2021,42.78,48977,42.65,42.95,42.3959
02/22/2021,42.75,49269,42.75,42.9065,42.58
02/19/2021,43.01,45726,43.45,43.45,43
02/18/2021,43.4,44721,43.24,43.48,43.15
02/17/2021,43.42,28720,43.2,43.4599,43.08
02/16/2021,43.23,43360,43.56,43.56,43.181
02/12/2021,43.38,34445,43.33,43.44,43.235
02/11/2021,43.39,77749,43.52,43.52,43.19
02/10/2021,43.38,50642,43.58,43.58,43.23
02/09/2021,43.44,48387,43.31,43.49,43.3
02/08/2021,43.36,78476,43.44,43.44,43.2
02/05/2021,43.22,54087,43.17,43.299,43.1539
02/04/2021,43.06,77493,42.97,43.06,42.68
02/03/2021,42.73,30732,42.82,42.85,42.62
02/02/2021,42.71,39855,42.45,42.9,42.45
02/01/2021,42.19,179938,41.88,42.3296,41.8064
01/29/2021,41.65,47991,42.13,42.2489,41.44
01/28/2021,42.36,39269,42.18,42.71,42.18
01/27/2021,41.91,61217,42.45,42.4903,41.75
01/26/2021,42.83,19435,42.95,42.97,42.8201
01/25/2021,42.865,45967,42.72,42.87,42.45
01/22/2021,42.72,76124,42.75,42.8739,42.67
01/21/2021,42.9752,38562,43.16,43.16,42.9091
01/20/2021,43.06,37137,42.72,43.12,42.67
01/19/2021,42.55,45604,42.49,42.61,42.4
01/15/2021,42.38,33556,42.38,42.48,42.125
01/14/2021,42.38,131873,42.75,42.78,42.38
01/13/2021,42.67,33611,42.67,42.825,42.65
01/12/2021,42.69,73572,42.84,42.86,42.5
01/11/2021,42.84,37601,42.99,43.08,42.82
01/08/2021,43.08,68044,42.9,43.1,42.72
01/07/2021,42.88,79300,42.72,42.928,42.5932
01/06/2021,42.53,97056,41.84,42.76,41.84
01/05/2021,42.12,54280,42.09,42.248,41.88
01/04/2021,42.09,112673,42.76,42.8,41.6999
12/31/2020,42.71,25216,42.36,42.79,42.35
12/30/2020,42.42,94085,42.55,42.61,42.3805
12/29/2020,42.44,119111,42.66,42.7277,42.3703
12/28/2020,42.51,43203,42.48,42.6,42.4379
12/24/2020,42.3,29995,42.1,42.3,42.1
12/23/2020,42.02,171328,42.22,42.38,42.02
12/22/2020,42.15,34168,42.21,42.22,42.0116
12/21/2020,42.23,42496,41.89,42.26,41.56
12/18/2020,42.43,19607,42.65,42.65,42.21
12/17/2020,42.56,32860,42.49,42.628,42.487
12/16/2020,42.25,40930,42.26,42.43,42.25
12/15/2020,42.22,56856,41.96,42.27,41.94
12/14/2020,41.85,62362,42.18,42.4417,41.85
12/11/2020,41.9967,48623,41.89,42.048,41.69
12/10/2020,41.98,43545,42.2,42.2,41.8825
12/09/2020,42.14,30541,42.42,42.42,41.95
12/08/2020,42.31,35948,42.02,42.35,42.02
12/07/2020,42.15,26739,42.22,42.2389,42.03
12/04/2020,42.26,33669,42.04,42.3,42.04
12/03/2020,42,51783,41.98,42.08,41.85
12/02/2020,41.98,41909,41.96,41.98,41.83
12/01/2020,42.08,48151,42,42.13,41.93
11/30/2020,41.61,44914,41.72,41.72,41.39
11/27/2020,41.81,12166,41.81,41.81,41.68
11/25/2020,41.68,34344,41.73,41.73,41.5
11/24/2020,41.73,241326,41.55,41.81,41.44
11/23/2020,41.3,48760,41.3,41.4799,41.03
11/20/2020,41.19,27206,41.46,41.46,41.16
11/19/2020,41.38,28582,41.23,41.4139,41
11/18/2020,41.18,31990,41.8,41.8,41.18
11/17/2020,41.73,59041,41.73,41.8,41.555
11/16/2020,41.91,365866,41.9,41.91,41.6781
11/13/2020,41.55,31134,41.22,41.65,41.08
11/12/2020,40.97,42021,41.36,41.36,40.83
11/11/2020,41.38,59830,41.49,41.57,41.3
11/10/2020,41.1667,34765,41,41.2601,40.8726
11/09/2020,41,79350,42.39,42.5,41
11/06/2020,40.54,46175,40.65,40.75,40.5188
11/05/2020,40.67,61993,40.95,40.95,40.4947
11/04/2020,40.19,42486,39.83,40.7,39.7322
11/03/2020,39.3,59992,39.04,39.52,39.037
