Date,Close/Last,Volume,Open,High,Low
06/28/2021,33.8,12311,33.96,33.97,33.75
06/25/2021,34.11,5837,33.96,34.125,33.92
06/24/2021,33.8112,4922,33.61,33.83,33.61
06/23/2021,33.5005,7707,33.45,33.67,33.45
06/22/2021,33.4927,15570,33.48,33.55,33.35
06/21/2021,33.4844,5733,32.95,33.49,32.9
06/18/2021,32.83,9347,33.05,33.189,32.79
06/17/2021,33.54,8501,33.76,33.98,33.18
06/16/2021,34.01,66060,34.36,34.37,33.8
06/15/2021,34.25,33005,34.45,34.45,34.0554
06/14/2021,34.24,61229,34.31,34.41,34.16
06/11/2021,34.48,6391,34.55,34.5988,34.318
06/10/2021,34.27,9088,34.54,34.54,34.25
06/09/2021,34.33,6488,34.66,34.66,34.27
06/08/2021,34.47,26529,34.54,34.5504,34.23
06/07/2021,34.2481,4011,34.3,34.3176,34.17
06/04/2021,34.21,54301,34.25,34.35,34.07
06/03/2021,34.0354,3537,34.15,34.15,33.82
06/02/2021,34.17,9738,34.24,34.29,34.1
06/01/2021,34.35,14122,34.36,34.37,34.18
05/28/2021,34.11,5114,34.28,34.28,34.07
05/27/2021,34.01,7204,34.05,34.15,34.01
05/26/2021,33.866,6032,33.85,33.92,33.645
05/25/2021,33.535,8134,33.985,33.985,33.535
05/24/2021,33.77,8212,33.82,33.93,33.77
05/21/2021,33.7,7063,33.96,33.98,33.65
05/20/2021,33.62,2573,33.53,33.67,33.465
05/19/2021,33.36,10829,33.05,33.375,33
05/18/2021,33.55,8873,33.95,34.02,33.55
05/17/2021,33.98,13719,34.07,34.07,33.75
05/14/2021,34.03,18275,33.95,34.06,33.695
05/13/2021,33.47,10010,33.18,33.54,33.09
05/12/2021,32.83,19483,33.56,33.585,32.78
05/11/2021,33.74,12611,33.13,33.78,33.13
05/10/2021,34.08,15706,34.73,34.73,34.08
05/07/2021,34.45,14467,34.08,34.45,34.08
05/06/2021,34.08,17015,34.06,34.08,33.75
05/05/2021,33.86,19068,34.08,34.08,33.67
05/04/2021,33.95,24899,34.2,34.2,33.6439
05/03/2021,34.08,11685,34.3,34.3,33.9903
04/30/2021,33.79,6584,34.76,34.76,33.7394
04/29/2021,34.1748,5563,34.23,34.5,34.02
04/28/2021,34.0983,8621,34.055,34.17,34.055
04/27/2021,34.12,7736,34.32,34.32,34.058
04/26/2021,34.1,14536,34.23,34.28,34.05
04/23/2021,33.91,7702,33.68,34.06,33.67
04/22/2021,33.5109,6145,33.66,33.77,33.395
04/21/2021,33.67,8270,33.2,33.67,33.2
04/20/2021,33.14,20357,33.52,33.52,32.95
04/19/2021,33.52,23448,34,34,33.301
04/16/2021,33.73,15132,33.88,33.88,33.585
04/15/2021,33.54,5339,33.71,33.71,33.405
04/14/2021,33.29,11482,33.3,33.529,33.257
04/13/2021,33.12,7856,33.3,33.3,32.935
04/12/2021,33.27,14117,33.28,33.3,33
04/09/2021,33.21,15347,33.09,33.2764,32.88
04/08/2021,33.07,16124,32.95,33.07,32.785
04/07/2021,32.95,17615,33.26,33.28,32.905
04/06/2021,33.24,9597,33.3,33.415,33.2061
04/05/2021,33.27,18111,33.17,33.43,33.043
04/01/2021,32.9466,5433,32.63,32.9466,32.63
03/31/2021,32.56,7286,32.76,32.82,32.49
03/30/2021,32.51,7567,32.26,32.51,32.18
03/29/2021,32.11,8643,32.25,32.77,32.11
03/26/2021,32.64,7285,32.193,32.64,32.1
03/25/2021,32,97016,31.29,32.1,30.6826
03/24/2021,31.4747,6904,31.93,32.1342,31.4747
03/23/2021,31.67,9831,32.49,32.49,31.67
03/22/2021,32.51,15792,32.58,32.74,32.4158
03/19/2021,32.67,7571,32.73,32.83,32.425
03/18/2021,32.73,9790,33.04,33.388,32.625
03/17/2021,33.1545,9969,32.94,33.28,32.7947
03/16/2021,33.0599,14314,33.71,33.71,33
