Date,Close/Last,Volume,Open,High,Low
06/28/2021,26.52,2661708,26.485,26.54,26.48
06/25/2021,26.445,2615098,26.51,26.52,26.42
06/24/2021,26.52,2771232,26.51,26.54,26.51
06/23/2021,26.51,3069151,26.51,26.54,26.49
06/22/2021,26.545,4308131,26.47,26.55,26.46
06/21/2021,26.52,4298674,26.54,26.55,26.5
06/18/2021,26.61,2559924,26.53,26.62,26.49
06/17/2021,26.495,3230648,26.44,26.57,26.4326
06/16/2021,26.405,3341459,26.5,26.52,26.37
06/15/2021,26.48,3005520,26.48,26.49,26.46
06/14/2021,26.495,3835854,26.535,26.54,26.48
06/11/2021,26.555,2209783,26.58,26.58,26.54
06/10/2021,26.58,4348843,26.47,26.58,26.47
06/09/2021,26.52,2826678,26.53,26.56,26.5
06/08/2021,26.465,4597709,26.475,26.48,26.45
06/07/2021,26.4,2888501,26.415,26.42,26.4
06/04/2021,26.43,3722435,26.36,26.4373,26.36
06/03/2021,26.32,2215922,26.35,26.355,26.31
06/02/2021,26.37,3290170,26.36,26.38,26.35
06/01/2021,26.34,3094307,26.34,26.355,26.3
05/28/2021,26.39,4107761,26.37,26.42,26.35
05/27/2021,26.39,3175980,26.36,26.39,26.34
05/26/2021,26.4,8342397,26.425,26.45,26.39
05/25/2021,26.42,4273856,26.38,26.43,26.37
05/24/2021,26.345,3605287,26.335,26.37,26.33
05/21/2021,26.325,2135020,26.325,26.335,26.2901
05/20/2021,26.305,3185519,26.265,26.32,26.265
05/19/2021,26.24,3862609,26.27,26.32,26.21
05/18/2021,26.27,2797399,26.26,26.28,26.2425
05/17/2021,26.285,2726000,26.29,26.3,26.27
05/14/2021,26.305,2502967,26.29,26.31,26.26
05/13/2021,26.25,3748303,26.2,26.26,26.2
05/12/2021,26.215,5657003,26.24,26.27,26.2
05/11/2021,26.32,2515089,26.3,26.32,26.29
05/10/2021,26.35,3392293,26.41,26.42,26.33
05/07/2021,26.41,8493201,26.46,26.48,26.39
05/06/2021,26.415,3124677,26.39,26.44,26.38
05/05/2021,26.41,1902355,26.36,26.41,26.36
05/04/2021,26.39,7296823,26.4,26.43,26.37
05/03/2021,26.35,3993928,26.34,26.3999,26.33
04/30/2021,26.36,5604968,26.335,26.36,26.3
04/29/2021,26.33,7964485,26.27,26.34,26.25
04/28/2021,26.36,4170619,26.32,26.36,26.283
04/27/2021,26.33,4289295,26.375,26.3975,26.32
04/26/2021,26.405,8270469,26.42,26.43,26.4
04/23/2021,26.42,11536680,26.435,26.44,26.3826
04/22/2021,26.43,14949020,26.42,26.44,26.37
04/21/2021,26.4,13978110,26.405,26.42,26.37
04/20/2021,26.41,16229800,26.34,26.41,26.33
04/19/2021,26.36,19570390,26.33,26.38,26.32
04/16/2021,26.37,11809380,26.35,26.4,26.35
04/15/2021,26.43,5471773,26.37,26.46,26.363
04/14/2021,26.3,3348027,26.3,26.3074,26.27
04/13/2021,26.325,4118591,26.25,26.325,26.25
04/12/2021,26.26,5018069,26.25,26.26,26.23
04/09/2021,26.275,3598172,26.255,26.3099,26.24
04/08/2021,26.305,3683829,26.27,26.31,26.26
04/07/2021,26.25,5367354,26.27,26.3,26.24
04/06/2021,26.275,2937424,26.22,26.28,26.22
04/05/2021,26.19,4322806,26.18,26.2,26.14
04/01/2021,26.245,4042118,26.19,26.25,26.19
03/31/2021,26.19,4671421,26.19,26.21,26.14
03/30/2021,26.195,5051789,26.155,26.2191,26.1351
03/29/2021,26.185,3419723,26.26,26.26,26.16
03/26/2021,26.25,2834663,26.245,26.29,26.23
03/25/2021,26.29,3978449,26.34,26.35,26.265
03/24/2021,26.32,4640635,26.275,26.34,26.26
03/23/2021,26.27,11172390,26.25,26.3,26.225
03/22/2021,26.215,4337754,26.18,26.23,26.18
03/19/2021,26.145,3227898,26.095,26.1599,26.0943
03/18/2021,26.115,4520477,26.08,26.14,26.065
03/17/2021,26.205,4228161,26.18,26.24,26.14
03/16/2021,26.24,4161478,26.26,26.28,26.21
03/15/2021,26.255,7068542,26.23,26.27,26.23
03/12/2021,26.21,8674874,26.22,26.23,26.19
03/11/2021,26.375,3973151,26.37,26.4,26.34
03/10/2021,26.395,11768510,26.37,26.41,26.36
03/09/2021,26.37,2620865,26.355,26.38,26.33
03/08/2021,26.275,5265364,26.32,26.34,26.27
03/05/2021,26.36,3312221,26.3,26.3755,26.3
03/04/2021,26.36,3905735,26.43,26.45,26.325
03/03/2021,26.44,3356591,26.42,26.45,26.3901
03/02/2021,26.52,3352575,26.47,26.53,26.47
03/01/2021,26.5,4321526,26.45,26.52,26.45
02/26/2021,26.6,3881206,26.44,26.6,26.38
02/25/2021,26.32,6348819,26.46,26.4828,26.21
02/24/2021,26.57,2977301,26.49,26.58,26.48
02/23/2021,26.615,4321521,26.6,26.65,26.5762
02/22/2021,26.625,2724688,26.65,26.7,26.6
02/19/2021,26.68,2623023,26.71,26.73,26.65
02/18/2021,26.775,4401859,26.73,26.79,26.72
02/17/2021,26.8,5035903,26.79,26.8099,26.75
02/16/2021,26.76,7191178,26.78,26.8,26.73
02/12/2021,26.88,3116387,26.915,26.93,26.88
02/11/2021,26.975,4510021,27.005,27.01,26.96
02/10/2021,27.01,3531372,26.97,27.01,26.97
02/09/2021,26.955,4023920,26.965,26.99,26.94
02/08/2021,26.94,3567116,26.94,26.98,26.92
02/05/2021,26.93,4157937,26.98,27,26.92
02/04/2021,26.97,3715787,26.98,26.99,26.95
02/03/2021,26.99,5053427,27.03,27.04,26.99
02/02/2021,27.06,4065430,27.06,27.07,27.04
02/01/2021,27.12,6792308,27.09,27.13,27.08
01/29/2021,27.115,5042136,27.08,27.14,27.08
01/28/2021,27.155,4166184,27.18,27.19,27.12
01/27/2021,27.21,8874337,27.22,27.24,27.19
01/26/2021,27.18,4966637,27.16,27.2,27.16
01/25/2021,27.195,4913151,27.14,27.2,27.14
01/22/2021,27.1,6828270,27.1,27.11,27.08
01/21/2021,27.08,4732752,27.07,27.1,27.06
01/20/2021,27.12,6976081,27.12,27.125,27.085
01/19/2021,27.11,9288002,27.06,27.12,27.06
01/15/2021,27.09,21684400,27.1,27.12,27.06
01/14/2021,27.055,40791970,27.1,27.12,27.03
01/13/2021,27.1,19802530,27.05,27.13,27.05
01/12/2021,27.025,9107171,27,27.04,26.96
01/11/2021,27.025,9884205,27.03,27.04,27.01
01/08/2021,27.05,7121505,27.06,27.085,27.02
01/07/2021,27.09,9360544,27.08,27.11,27.07
01/06/2021,27.16,6560591,27.19,27.2041,27.12
01/05/2021,27.32,3686852,27.355,27.36,27.29
01/04/2021,27.375,4163855,27.33,27.4,27.3229
12/31/2020,27.24,2336905,27.365,27.39,27.24
12/30/2020,27.36,2671052,27.32,27.37,27.32
12/29/2020,27.345,4165622,27.31,27.36,27.31
12/28/2020,27.35,3489618,27.31,27.36,27.29
12/24/2020,27.34,1922996,27.33,27.36,27.33
12/23/2020,27.33,6510915,27.33,27.33,27.27
12/22/2020,27.37,6102129,27.36,27.38,27.34
12/21/2020,27.34,5635883,27.34,27.36,27.31
12/18/2020,27.31,5302547,27.34,27.35,27.3
12/17/2020,27.32,5510576,27.38,27.4069,27.31
12/16/2020,27.37,7809461,27.34,27.3976,27.32
12/15/2020,27.39,3614877,27.38,27.42,27.36
12/14/2020,27.41,3371537,27.365,27.43,27.35
12/11/2020,27.435,3401786,27.43,27.46,27.41
12/10/2020,27.38,3161708,27.34,27.4,27.32
12/09/2020,27.33,4170185,27.31,27.35,27.29
12/08/2020,27.355,3930152,27.36,27.39,27.35
12/07/2020,27.33,6594491,27.31,27.34,27.3
12/04/2020,27.245,7558425,27.275,27.2764,27.22
12/03/2020,27.355,4552996,27.32,27.37,27.31
12/02/2020,27.28,4807155,27.31,27.32,27.25
12/01/2020,27.33,7125679,27.405,27.405,27.3
11/30/2020,27.735,8383383,27.74,27.75,27.72
11/27/2020,27.72,1980630,27.71,27.74,27.7
11/25/2020,27.66,4129805,27.68,27.72,27.66
11/24/2020,27.67,4914304,27.7,27.715,27.66
11/23/2020,27.735,8902864,27.75,27.75,27.71
11/20/2020,27.77,2729386,27.74,27.7776,27.72
11/19/2020,27.7,2862927,27.7,27.74,27.7
11/18/2020,27.66,7067394,27.68,27.69,27.63
11/17/2020,27.655,3176890,27.65,27.67,27.65
11/16/2020,27.61,3568478,27.6,27.63,27.6
11/13/2020,27.625,2750780,27.64,27.64,27.61
11/12/2020,27.635,2902040,27.56,27.64,27.56
11/11/2020,27.49,3782006,27.45,27.52,27.42
11/10/2020,27.48,7773949,27.46,27.52,27.46
11/09/2020,27.525,8018256,27.54,27.54,27.45
11/06/2020,27.71,5977518,27.71,27.73,27.68
11/05/2020,27.8,23178030,27.8,27.82,27.76
11/04/2020,27.77,5660119,27.79,27.825,27.76
11/03/2020,27.6,4565365,27.62,27.63,27.58
11/02/2020,27.64,4644528,27.66,27.69,27.64
10/30/2020,27.62,5239522,27.7,27.7099,27.62
10/29/2020,27.7,9549695,27.79,27.79,27.67
10/28/2020,27.78,4438723,27.81,27.83,27.765
10/27/2020,27.78,2595382,27.77,27.79,27.75
10/26/2020,27.72,4108286,27.715,27.75,27.7
10/23/2020,27.65,3821650,27.6,27.67,27.6
10/22/2020,27.6,4940482,27.67,27.69,27.6
10/21/2020,27.69,7270079,27.7,27.7272,27.68
10/20/2020,27.73,5920985,27.75,27.76,27.71
10/19/2020,27.79,3610894,27.78,27.81,27.76
10/16/2020,27.83,4178579,27.83,27.87,27.81
10/15/2020,27.85,5106566,27.9,27.9099,27.83
10/14/2020,27.86,4378479,27.86,27.89,27.85
10/13/2020,27.84,3690130,27.82,27.85,27.815
10/12/2020,27.78,3585949,27.78,27.79,27.76
10/09/2020,27.755,5376444,27.75,27.78,27.7056
10/08/2020,27.775,9381189,27.76,27.775,27.74
10/07/2020,27.725,13991680,27.73,27.77,27.7
10/06/2020,27.8,7767544,27.737,27.83,27.71
10/05/2020,27.745,6192617,27.82,27.82,27.74
10/02/2020,27.895,2100004,27.95,27.95,27.88
10/01/2020,27.93,4284674,27.89,27.95,27.86
09/30/2020,27.95,5485273,27.98,27.98,27.9
