Date,Close/Last,Volume,Open,High,Low
06/28/2021,112.89,2692221,114.15,114.25,112.06
06/25/2021,114.06,4289120,114.31,115.1,113.97
06/24/2021,113.94,3858846,113.05,114.1,112.54
06/23/2021,112.44,4044334,112.46,113.23,112.34
06/22/2021,112.25,2870175,111.61,112.52,110.75
06/21/2021,111.63,2798012,110.11,112.02,110.11
06/18/2021,109.18,3055443,110.54,111.25,109.01
06/17/2021,112.11,4399136,113.7099,114.3033,110.86
06/16/2021,114.12,2672958,113.93,114.56,113.08
06/15/2021,114.16,2450712,113.95,114.3965,112.98
06/14/2021,113.96,3056279,114.65,115.2,113.5074
06/11/2021,114.52,2399539,113.9,114.58,113.77
06/10/2021,113.38,2653584,115.56,115.61,113.3705
06/09/2021,115.44,3132623,116.54,116.74,115.23
06/08/2021,116.3,2451861,115.2,116.61,114.91
06/07/2021,114.98,2932845,114.13,115.07,114.07
06/04/2021,113.87,1877929,114.15,114.16,113.16
06/03/2021,113.46,3614970,113.76,113.98,112.55
06/02/2021,114.43,3951587,114.79,114.92,113.85
06/01/2021,114.78,4559305,113.89,114.91,113.54
05/28/2021,112.85,3384149,113.64,113.69,112.39
05/27/2021,113.18,2763519,112.68,113.58,112.54
05/26/2021,112.09,3554749,110.19,112.15,110.1848
05/25/2021,109.75,2585200,111.37,112.12,109.725
05/24/2021,111.01,3101483,110.96,111.48,110.31
05/21/2021,110.45,2124338,110.97,111.54,110.08
05/20/2021,109.92,3377874,109.75,110.21,108.6688
05/19/2021,109.69,3270914,108.58,109.75,107.52
05/18/2021,110.41,3701528,111.67,112.02,110.26
05/17/2021,111.51,3626622,110.74,111.66,109.986
05/14/2021,111.23,3280004,109.86,111.44,109.44
05/13/2021,109.05,4024677,106.86,109.5,106.66
05/12/2021,106.38,3787285,109.19,109.88,106.135
05/11/2021,109.76,5016228,108.38,110.29,108.08
05/10/2021,110.49,3381123,112.93,113.37,110.47
05/07/2021,112.81,3262527,111.69,112.94,111.24
05/06/2021,111.97,4351412,111.27,111.97,109.84
05/05/2021,111.23,2225686,111.8,111.89,110.245
05/04/2021,111.28,3804786,111.11,111.45,109.89
05/03/2021,111.79,3144098,111.6,112.35,111
04/30/2021,110.54,2674406,111.24,111.85,110.22
04/29/2021,112.1,3310918,112.83,112.99,111.17
04/28/2021,112.03,2820673,111.68,112.28,111.21
04/27/2021,111.82,3419381,111.85,112.22,111.34
04/26/2021,111.45,2639784,111.52,112.17,111.26
04/23/2021,110.91,4901417,109.4241,111.5489,109.03
04/22/2021,108.89,6823613,109.7861,110.6084,108.75
04/21/2021,109.53,3653945,107,109.54,106.38
04/20/2021,107.07,10173390,109.14,109.33,106.09
04/19/2021,109.65,2890007,110.43,110.69,108.69
04/16/2021,110.77,3171874,111.1,111.14,110
04/15/2021,110.44,3368260,110.93,110.93,109.38
04/14/2021,110.09,3206896,109.08,111.135,109.07
04/13/2021,108.89,4549976,109.52,109.78,107.96
04/12/2021,109.64,2761458,109.73,109.99,108.98
04/09/2021,109.51,2753926,109.3,109.74,108.79
04/08/2021,109.39,7016278,109.45,109.48,107.91
04/07/2021,108.82,3130376,110.36,110.54,108.5389
04/06/2021,110.46,3571443,110.65,111.63,110.2
04/05/2021,110.57,6699235,111.11,111.27,109.85
04/01/2021,110.09,6232697,109.14,110.09,108.86
03/31/2021,108.53,3455870,108.61,109.49,107.9983
03/30/2021,108.13,2869940,106.45,108.48,106.33
03/29/2021,106.59,4432596,108.8,109.96,106.46
03/26/2021,109.29,4713002,107.86,109.34,107.24
03/25/2021,106.69,6354185,102.92,107.23,102.53
03/24/2021,104.15,4561559,107,108.48,104.15
03/23/2021,106,7216026,108.91,109.26,105.455
03/22/2021,109.8,3248168,111.68,111.74,109.32
03/19/2021,111.36,6622769,110.79,112.12,109.51
03/18/2021,111.12,7820741,113.3,114.52,110.72
03/17/2021,113.63,8264746,112.55,113.93,111.87
03/16/2021,113.01,6166803,114.6,114.72,112.64
03/15/2021,114.79,4626096,114.83,115.17,113.8402
03/12/2021,115.01,6463582,114.01,115.2,113.85
03/11/2021,113.91,6257593,113.21,114.06,112.77
03/10/2021,112.45,6059720,111.16,113.02,110.91
03/09/2021,110.17,5623672,110.51,111.31,109.38
03/08/2021,109.1,4385177,108.17,110.174,107.42
03/05/2021,107.05,11493140,106.1,107.19,102.77
03/04/2021,104.67,4997966,106.52,107.43,102.9
03/03/2021,106.62,4573400,107.11,108.56,106.37
03/02/2021,106.46,3936952,108.25,108.35,106.44
03/01/2021,108.34,4046215,107.05,108.65,106.86
02/26/2021,105.09,6631392,105.72,106.81,103.63
02/25/2021,105.59,5220496,109.72,109.7587,105.39
02/24/2021,108.96,4692238,106.53,109.13,106.35
02/23/2021,106.03,7638876,105.56,106.53,103.77
02/22/2021,106.63,4124963,105.29,107.4,105.2701
02/19/2021,105.99,2558985,104.81,106.4,104.7
02/18/2021,104.22,3010387,105.11,105.27,103.79
02/17/2021,105.82,3346947,105.59,106.11,104.55
02/16/2021,106.38,2983699,107.47,107.716,105.9061
02/12/2021,106.63,3924857,106.04,106.831,105.67
02/11/2021,106.42,5330391,106.78,107.41,104.66
02/10/2021,106.18,4292990,107.22,107.36,105.44
02/09/2021,106.54,2898353,105.78,107.03,105.2
02/08/2021,105.78,4351052,103.91,105.82,103.825
02/05/2021,102.93,4816785,102.82,102.99,101.75
02/04/2021,101.72,4241026,100.41,101.8,100.328
02/03/2021,99.93,3779157,100.08,100.3097,98.7
02/02/2021,99.57,3855460,100.01,100.22,98.73
02/01/2021,99.3,5005942,98.5,99.64,96.96
01/29/2021,97.57,6915458,98.98,100.4492,97.12
01/28/2021,99.04,13807660,101.31,102.32,98.43
01/27/2021,101.04,4063345,100.72,102.06,99.63
01/26/2021,101.32,3428884,102.01,102.29,100.32
01/25/2021,101.31,7380393,101.22,103.43,100.27
01/22/2021,101.16,5859532,98.98,101.29,98.57
01/21/2021,99.9,5199139,101.345,101.54,99.685
01/20/2021,101.05,4398412,100.96,101.65,100.2201
01/19/2021,100.51,5381960,100.68,100.85,99.7601
01/15/2021,99.56,5677778,100.09,100.27,98.57
01/14/2021,101.33,14533130,99.88,101.68,99.81
01/13/2021,98.98,7116884,99.96,100.08,98.77
