Date,Close/Last,Volume,Open,High,Low
06/28/2021,105.16,374380,106.98,107.05,104.4301
06/25/2021,107.07,598301,107.3,108.11,107
06/24/2021,107.11,883983,106.04,107.1347,105.4017
06/23/2021,105.44,293425,105.51,106.388,105.44
06/22/2021,105.45,306666,104.89,105.725,104
06/21/2021,104.94,714282,103.12,105.2669,103.12
06/18/2021,102.27,506737,103.72,104.37,102.19
06/17/2021,105.21,576094,107.9,108.13,104.28
06/16/2021,108.02,859075,107.6,108.42,106.59
06/15/2021,107.92,4625495,107.64,108.1,106.6
06/14/2021,107.48,297357,108.54,109.1,107.0408
06/11/2021,108.43,229809,108,108.6251,107.785
06/10/2021,107.48,348595,109.66,109.92,107.475
06/09/2021,109.5,512758,110.53,110.63,109.43
06/08/2021,110.44,2655412,109.19,110.77,108.67
06/07/2021,109,431219,108.38,109.1291,108.24
06/04/2021,108.04,566156,108.25,108.32,107.13
06/03/2021,107.8,1332201,107.9,108.29,106.84
06/02/2021,108.5,2856165,108.82,108.82,107.75
06/01/2021,108.49,565229,107.39,108.6894,107.02
05/28/2021,106.43,233468,107.41,107.41,105.7326
05/27/2021,106.78,267437,106.17,107.145,106.14
05/26/2021,105.42,208963,103.57,105.53,103.57
05/25/2021,103.24,225438,105.37,106.02,103.2321
05/24/2021,104.9,804622,104.99,105.35,104.14
05/21/2021,104.59,462566,104.67,105.42,104.12
05/20/2021,103.81,338475,103.86,104.07,102.55
05/19/2021,103.83,268970,102.95,103.9483,101.745
05/18/2021,104.66,302982,106.2,106.361,104.54
05/17/2021,106.01,484588,104.97,106.14,104.35
05/14/2021,105.43,360994,104.23,105.545,103.75
05/13/2021,103.26,620930,100.99,103.77,100.67
05/12/2021,100.57,452956,103.24,103.99,100.33
05/11/2021,103.79,403790,102.79,104.135,102.3575
05/10/2021,104.53,284476,106.45,107.11,104.53
05/07/2021,106.25,307940,105.2,106.37,104.51
05/06/2021,105.37,355409,104.6,105.43,103.47
05/05/2021,104.42,601569,104.85,104.87,103.511
05/04/2021,104.31,421953,103.91,104.39,102.77
05/03/2021,104.21,281115,103.35,104.8399,103.25
04/30/2021,102.44,199551,103.12,103.79,102.2942
04/29/2021,104.05,1077883,104.39,104.99,103.22
04/28/2021,103.72,309130,103.23,103.9,102.9305
04/27/2021,103.29,346657,103.18,103.51,102.7
04/26/2021,102.8,805202,103.27,103.92,102.58
04/23/2021,102.6,312941,100.95,103.2,100.6916
04/22/2021,100.57,200787,101.52,102.1189,100.4901
04/21/2021,101.23,464707,98.94,101.31,98.35
04/20/2021,99.12,934228,101.42,101.42,98.24
04/19/2021,101.6,320317,102.34,102.55,100.8201
04/16/2021,102.42,368268,102.73,103.04,101.95
04/15/2021,102.17,306164,102.75,102.75,101
04/14/2021,101.93,269115,100.65,102.9589,100.65
04/13/2021,100.53,361585,101.5,101.59,99.69
04/12/2021,101.57,360663,101.66,101.93,101.03
04/09/2021,101.36,506975,101.31,101.57,100.85
04/08/2021,101.1,618501,101.18,101.3,99.6701
04/07/2021,100.9,387519,102.18,102.38,100.5915
04/06/2021,102.03,751040,102.36,103.33,101.89
04/05/2021,102.09,759583,102.86,102.99,101.47
04/01/2021,101.86,1059425,101.16,101.87,100.455
03/31/2021,100.74,718179,101.29,101.685,100.29
03/30/2021,100.87,429626,99.43,101.27,99.41
03/29/2021,99.21,496332,101.28,102.3999,99.21
03/26/2021,101.85,932424,100.57,101.915,100.0884
03/25/2021,99.45,1352430,95.82,99.8389,95.25
03/24/2021,96.88,638831,98.98,100.91,96.81
03/23/2021,98.08,1147477,100.9,101.07,97.55
03/22/2021,101.87,534006,104.14,104.16,101.3214
03/19/2021,103.99,547396,103.59,104.78,101.91
03/18/2021,103.94,658195,105.66,107.28,103.55
03/17/2021,105.84,485856,105.11,106.05,104.5
03/16/2021,105.31,2977387,107.05,107.05,104.95
03/15/2021,107.33,809116,107.93,108,106.4437
03/12/2021,107.94,970733,106.6,108.08,106.58
03/11/2021,106.4,858178,106.22,106.78,105.42
03/10/2021,105.58,1095692,103.82,105.85,103.5903
03/09/2021,103.14,2738942,104.32,104.32,102.32
03/08/2021,103.34,2045439,101.17,103.79,100.92
03/05/2021,100.17,794565,99.01,100.348,96.64
03/04/2021,97.46,1978814,98.47,99.6299,95.79
03/03/2021,98.39,1042631,97.8,100.24,97.8
03/02/2021,97.15,429782,98.7,98.7,97.15
03/01/2021,98.65,1054233,97.55,98.99,97.42
02/26/2021,95.72,1065287,96.41,97.26,94.47
02/25/2021,96.39,530934,99.21,99.68,96.23
02/24/2021,98.89,651535,96.17,99.049,96.17
02/23/2021,96.04,1127319,95.54,96.58,94.45
02/22/2021,95.88,722136,93.7,96.43,93.7
02/19/2021,94.04,260669,92.98,94.29,92.8686
02/18/2021,92.35,452819,93.05,93.33,92.0205
02/17/2021,93.59,433358,93.26,93.84,92.6225
02/16/2021,93.8,768665,94.27,94.415,93.32
02/12/2021,93.56,422157,93.06,93.72,92.67
02/11/2021,93.28,230151,93.55,94.187,91.7802
02/10/2021,93.23,235528,93.63,94.05,92.62
02/09/2021,93.17,265138,92.65,93.65,91.9121
02/08/2021,92.85,320893,91.3,92.85,91.24
02/05/2021,90.5,764656,90.7,90.92,89.6574
02/04/2021,89.8,1380708,88.47,89.91,88.47
02/03/2021,88.14,1467216,87.84,88.21,86.96
02/02/2021,87.52,353168,88.02,88.24,86.84
02/01/2021,87.55,587656,87.23,87.84,85.4473
01/29/2021,86.39,419990,88.53,88.91,85.945
01/28/2021,87.44,647021,89.55,90.64,87.0425
01/27/2021,89.38,456457,89.01,90.07,88.3101
01/26/2021,89.47,277847,89.97,90.28,88.51
01/25/2021,89.4,1086365,89.16,91.08,88.2615
01/22/2021,89.39,280006,87.34,89.41,86.79
01/21/2021,88.25,442919,89.58,89.7915,88.0501
01/20/2021,89.41,423150,89.38,89.895,88.7829
01/19/2021,89.13,542609,89.6,89.63,88.39
01/15/2021,88.62,468101,89.01,89.25,87.7
01/14/2021,90.17,449061,88.64,90.5094,88.64
01/13/2021,88.08,353768,88.77,88.95,87.7
01/12/2021,88.91,390145,87.33,88.93,87.25
01/11/2021,87.06,316780,85.57,87.06,85.41
01/08/2021,86.62,435548,87.85,87.85,85.43
01/07/2021,87.48,633023,87.14,87.71,86.76
01/06/2021,86.83,1252420,83.06,87.76,83.06
01/05/2021,82.28,927214,80.31,82.97,80.31
01/04/2021,80.37,3600179,82.08,82.2301,79.39
12/31/2020,81.31,176964,81.09,81.66,80.45
12/30/2020,81.12,165775,80.51,81.5,80.51
12/29/2020,80.23,335330,81.71,81.745,79.79
12/28/2020,81.5,234752,81.58,82.2898,81.2
12/24/2020,80.88,101223,81.1,81.258,80.33
12/23/2020,80.87,464277,79.82,81.03,79.82
12/22/2020,79.43,315224,79.6,79.685,79.02
12/21/2020,79.49,357062,78.81,79.63,78.3
12/18/2020,80.19,212863,81.23,81.3999,79.92
12/17/2020,81.14,251774,80.9,81.14,80.2
12/16/2020,80.6,244903,81.3,81.3,80.32
12/15/2020,81.15,268368,79.58,81.15,79.24
12/14/2020,78.92,273892,80.62,80.7321,78.92
12/11/2020,79.66,192164,80.03,80.4,78.99
12/10/2020,80.62,175108,79.61,80.72,79.41
12/09/2020,80.28,375741,80.75,81.26,79.6106
12/08/2020,80.18,248889,78.9,80.2,78.67
12/07/2020,79.47,275149,79.93,79.93,79.0701
12/04/2020,80.05,434986,78.37,80.09,78.37
12/03/2020,77.84,287116,77.54,78.48,77.39
12/02/2020,77.32,248334,76.54,77.56,76
12/01/2020,76.74,682156,76.82,77.4199,76.1519
11/30/2020,75.64,358689,77.55,77.72,75.4401
11/27/2020,77.94,147803,78.27,78.5,77.27
11/25/2020,78.32,402383,78.77,78.77,77.58
11/24/2020,79.18,661801,77.91,79.64,77.8
11/23/2020,76.71,1047232,75.37,77.17,75.37
11/20/2020,74.61,202551,74.44,74.75,74.1
11/19/2020,74.79,551260,74.25,74.94,73.5701
11/18/2020,74.39,635455,75.75,76.23,74.39
11/17/2020,75.33,1352435,74.23,75.579,73.32
11/16/2020,74.79,806885,74.1,74.9,73.57
11/13/2020,72.37,264819,70.84,72.665,70.84
11/12/2020,70.19,320503,71.03,71.0775,69.47
11/11/2020,71.74,681296,73.14,73.14,71.1001
11/10/2020,72.65,606653,71.19,73.07,70.85
11/09/2020,70.53,684082,69.87,72.65,69.87
11/06/2020,66.23,158642,67.29,67.3776,66.15
11/05/2020,67.1,218831,65.83,67.3973,65.81
11/04/2020,65.15,322913,65.76,66.1,64.51
11/03/2020,66.56,628797,65.94,66.891,65.94
11/02/2020,64.84,824786,64.19,64.88,63.8505
10/30/2020,63.45,253188,63.86,64.411,62.815
10/29/2020,64.2,248683,63.01,64.47,62.47
10/28/2020,63.13,240981,63.81,64.24,63.12
10/27/2020,65.3,173343,66.35,66.3988,65.26
10/26/2020,66.34,245039,66.9,66.9907,65.48
10/23/2020,67.87,165266,67.86,68.1,67.25
10/22/2020,67.49,163546,66.44,67.5599,66.32
10/21/2020,66.16,221819,66.5,66.7173,66.08
10/20/2020,66.4,262942,66.3,67.12,66.26
10/19/2020,65.81,250307,66.68,67.269,65.7404
10/16/2020,66.515,209784,67.11,67.18,66.515
10/15/2020,67.025,234454,65.205,67.14,65.0905
10/14/2020,65.965,374744,66.43,66.96,65.965
10/13/2020,66.315,366440,66.69,66.69,66.04
10/12/2020,67.22,174588,67,67.385,66.74
10/09/2020,66.85,201636,67.5,67.655,66.6605
10/08/2020,66.865,189164,66.255,66.965,65.92
10/07/2020,65.79,525116,65.345,66.02,65.197
10/06/2020,64.59,605286,65.295,66.605,64.53
10/05/2020,64.67,193354,63.735,64.725,63.735
10/02/2020,63.17,294428,60.875,63.3475,60.875
10/01/2020,62.105,255824,61.725,62.12,61.021
09/30/2020,61.21,222986,61.18,62.265,60.77
09/29/2020,61.025,230542,61.625,61.625,60.31
09/28/2020,61.625,220062,60.555,61.9,60.555
09/25/2020,59.775,252548,58.95,59.99,58.95
09/24/2020,59.28,279280,59.035,60.3175,58.31
09/23/2020,58.94,259720,60.61,61.405,58.886
09/22/2020,60.94,269694,60.9835,61.48,60.365
09/21/2020,60.825,239504,62.1,62.21,60.15
09/18/2020,63.38,242876,63.83,64.305,62.66
09/17/2020,63.72,248556,63.295,64,62.955
09/16/2020,64.21,289802,63.945,65.01,63.6992
09/15/2020,63.595,195118,64.07,64.37,63.4637
09/14/2020,63.645,199270,62.9,63.74,62.685
09/11/2020,62.415,263488,63.125,63.125,62.015
09/10/2020,62.94,259042,64.025,64.335,62.915
09/09/2020,63.86,264974,63.97,64.115,63.25
09/08/2020,63.375,283518,64.3,64.475,63.3631
09/04/2020,65.05,691328,65.66,65.9999,63.955
09/03/2020,64.99,371828,66.12,66.8,64.655
09/02/2020,66.3,289948,65.895,66.4455,65.4
09/01/2020,65.715,310480,64.655,65.715,64.395
08/31/2020,64.865,295060,65.91,65.91,64.855
08/28/2020,66.005,228736,65.945,66.0299,65.385
08/27/2020,65.595,599542,65.375,66.14,65.095
08/26/2020,65.12,602004,65.85,66.01,65.0375
08/25/2020,65.91,248644,66.34,66.4,65.31
08/24/2020,65.955,219950,64.93,65.96,64.405
08/21/2020,64.37,240400,64.705,64.8465,63.99
08/20/2020,64.895,239508,64.82,65.365,64.73
08/19/2020,65.525,239112,65.725,66.26,65.38
08/18/2020,65.45,233870,66.485,66.485,65.32
08/17/2020,66.595,188548,66.865,66.865,66.0699
08/14/2020,66.71,212898,66.03,67.1295,65.745
08/13/2020,66.39,531580,66.74,67.15,66.2036
08/12/2020,67.07,451694,67.745,67.91,66.515
08/11/2020,66.86,464382,67.705,68.43,66.57
08/10/2020,66.835,555816,65.865,67.3,65.865
08/07/2020,65.675,198482,64.045,65.705,63.755
08/06/2020,64.135,522918,64.5,64.635,63.9
08/05/2020,64.605,1195836,63.59,64.6249,63.46
08/04/2020,62.945,305222,62.155,62.9524,62.07
08/03/2020,62.39,245334,62.11,62.505,61.535
07/31/2020,61.735,251314,62.17,62.195,60.55
07/30/2020,62.365,444652,62.105,62.51,61.525
07/29/2020,63.145,397618,61.915,63.17,61.915
07/28/2020,61.6,303066,61.72,62.24,61.565
07/27/2020,61.98,611140,61.69,62,61.135
07/24/2020,61.575,350768,62.245,62.545,61.5
07/23/2020,62.575,557018,61.92,63.01,61.92
07/22/2020,61.99,288106,61.755,62.43,61.6455
07/21/2020,62.24,473412,61.105,62.4599,61.06
07/20/2020,60.4,478830,61.01,61.075,60.16
07/17/2020,61.145,347436,61.57,61.96,60.9826
07/16/2020,61.45,374512,61.295,61.915,60.8225
07/15/2020,61.775,439060,60.65,62.12,60.65
07/14/2020,59.21,341896,58.125,59.21,57.81
07/13/2020,58.215,438336,59.175,59.855,58.145
07/10/2020,58.54,696810,57.035,58.595,56.945
07/09/2020,57,575534,58.715,58.755,56.49
07/08/2020,58.755,309436,58.51,59.145,57.59
07/07/2020,58.665,304656,59.35,59.5525,58.466
07/06/2020,59.98,373682,60.635,60.935,59.46
07/02/2020,59.29,460354,60.28,60.93,59.1514
07/01/2020,59.025,487230,60.44,60.965,58.805
06/30/2020,60.185,512526,59.2,60.33,58.9831
06/29/2020,59.35,330782,57.675,59.71,57.365
06/26/2020,56.845,576240,58,58.03,56.52
06/25/2020,58.445,294226,57.02,58.445,56.835
06/24/2020,57.525,610326,58.86,58.915,56.765
06/23/2020,59.775,3294954,60.345,60.64,59.36
06/22/2020,59.65,562740,59.06,59.71,58.185
06/19/2020,59.425,331084,61.45,61.45,58.935
06/18/2020,60.375,270002,59.775,61.1,59.565
06/17/2020,60.485,384832,62.355,62.365,60.39
06/16/2020,62.29,483500,63.225,63.445,60.89
06/15/2020,60.53,452452,57.435,61.0325,57.23
06/12/2020,59.935,429008,60.935,61.37,58.2025
06/11/2020,58.235,686078,60.705,61.07,58.0375
06/10/2020,64,603440,66.96,66.96,63.971
06/09/2020,67.12,3008372,68.04,68.04,66.4226
06/08/2020,69.3,1700868,68.405,69.395,68.0725
06/05/2020,66.975,1050486,66.67,68.01,66.31
06/04/2020,63.63,303608,61.89,63.9648,61.385
06/03/2020,62.265,404866,60.945,62.67,60.945
06/02/2020,59.95,1308062,59.43,60.2201,59.28
06/01/2020,59.05,254202,58.605,59.9,58.28
05/29/2020,58.36,1264930,58.73,58.825,57.51
05/28/2020,59.265,393772,62,62.065,59.0025
05/27/2020,61.245,1072020,60.04,61.35,58.945
05/26/2020,58.545,1493834,58.03,58.9995,58
05/22/2020,56.035,211248,56.18,56.18,55.19
05/21/2020,55.95,293474,55.805,56.465,55.385
05/20/2020,55.78,502216,55.115,56.175,55.05
05/19/2020,54.035,305956,55.125,55.56,54.035
05/18/2020,55.38,535986,53.665,55.65,53.665
05/15/2020,51.415,378126,50.445,51.7146,50.16
05/14/2020,50.835,588280,49.615,50.865,47.965
05/13/2020,50.63,720282,52.39,52.6,49.855
05/12/2020,52.81,546656,55.16,55.24,52.8075
05/11/2020,54.88,478102,55.375,55.63,54.15
05/08/2020,56.14,423474,54.655,56.21,54.625
05/07/2020,53.585,541878,53.355,54.115,53.1816
05/06/2020,52.685,664654,54.1,54.5,52.555
05/05/2020,53.795,895998,55.06,55.97,53.6375
05/04/2020,54.045,375230,53.595,54.46,52.775
05/01/2020,54.38,417084,55.525,55.73,53.6
04/30/2020,56.91,631464,58.06,58.065,56.7
04/29/2020,59.175,623270,57.745,59.8,57.43
04/28/2020,56.025,851158,56.11,56.645,54.985
04/27/2020,54.525,927120,52.46,55.09,52.425
04/24/2020,52.085,601290,52.005,52.515,51.23
04/23/2020,51.455,953288,51.085,52.415,50.9725
04/22/2020,50.72,869540,51.735,51.755,50.475
04/21/2020,50.535,665430,50.105,51.005,49.6636
04/20/2020,51.465,898210,51.31,52.525,50.93
04/17/2020,52.595,1023368,52.025,53.02,51.58
04/16/2020,50.145,561718,51.065,51.4342,49.25
04/15/2020,50.91,790932,51.74,51.89,50.575
04/14/2020,53.495,596766,54.3,54.74,52.86
04/13/2020,52.985,920316,54.475,54.74,52.395
04/09/2020,54.7,802396,53.1,55.045,53.1
04/08/2020,51.53,632130,49.97,52.06,49.55
04/07/2020,49.25,1253924,50.575,52.0033,48.8713
04/06/2020,48.83,960068,46.95,49.0972,46.95
04/03/2020,45.285,787428,46.805,47.25,44.34
04/02/2020,47.03,796084,46.5,48.47,45.835
04/01/2020,46.535,1955756,47.775,48.115,46.005
03/31/2020,49.97,1274556,49.815,50.66,49.015
03/30/2020,49.86,1991684,49.285,50.065,47.9804
03/27/2020,48.975,1306866,49.38,50.5,48.36
03/26/2020,51.09,2995446,48.445,51.635,48.27
03/25/2020,47.85,1953916,48.025,50.05,46.23
03/24/2020,47.795,2207928,46.135,47.838,45.005
03/23/2020,44.17,2353274,45.33,45.565,42.8134
03/20/2020,45.285,1533210,47.62,48.6063,44.785
03/19/2020,47.205,2260706,44.365,47.99,43.215
03/18/2020,45.165,1732918,48.58,48.58,43.505
03/17/2020,50.015,2032058,48.12,50.435,45.9557
03/16/2020,52.185,1876404,53.875,53.875,45.5001
03/13/2020,54.125,2230286,52.55,54.125,49.44
03/12/2020,49.82,2239490,53.37,53.6746,49.195
03/11/2020,56.43,1823226,58.625,58.89,55.7533
03/10/2020,60.2,1433572,60.62,60.81,57.535
03/09/2020,58.42,1341584,61.43,62.5,58.42
03/06/2020,65.475,614334,64.89,66.3771,64.04
03/05/2020,66.75,644066,67.93,68.0546,66.005
03/04/2020,69.43,563036,68.735,69.465,67.675
03/03/2020,67.505,632986,69.265,70.2127,66.835
03/02/2020,69.215,644228,67.925,69.215,66.7178
02/28/2020,67.685,1270140,66.695,68.245,66.365
02/27/2020,68.51,1150260,69.7,71.37,68.2553
02/26/2020,71.105,1269112,72.685,73.05,70.975
02/25/2020,72.255,333356,75.345,75.355,72.0322
02/24/2020,74.955,228058,75.005,75.2767,74.51
02/21/2020,77.205,231530,77.795,77.795,76.925
02/20/2020,78.125,216684,77.565,78.335,77.495
02/19/2020,77.7,191364,77.8,77.94,77.4006
02/18/2020,77.445,164464,77.685,77.8219,76.8952
02/14/2020,77.875,270352,78.33,78.33,77.595
02/13/2020,78.275,167996,77.8,78.32,77.7979
02/12/2020,78.13,315088,78.16,78.36,77.795
02/11/2020,77.52,311104,77.26,77.975,77.1509
02/10/2020,76.72,265254,76.745,76.815,76.4562
02/07/2020,76.835,346076,77.685,77.6925,76.615
02/06/2020,78.07,223064,78.935,78.995,78.04
02/05/2020,78.52,332406,77.62,78.635,77.5708
02/04/2020,76.785,279902,77.025,77.1804,76.785
02/03/2020,75.93,528906,75.75,76.35,75.66
01/31/2020,75.33,316096,76.73,76.74,75.075
01/30/2020,76.995,511210,76.45,77.035,76.055
01/29/2020,77.075,523382,77.88,78.0729,77.05
01/28/2020,77.68,198736,77.675,78.04,77.4313
01/27/2020,77.15,444162,77.22,77.665,76.8492
01/24/2020,78.29,862178,79.895,79.895,77.815
01/23/2020,79.735,290020,79.485,79.85,78.6266
