Date,Close/Last,Volume,Open,High,Low
06/28/2021,54.39,57118,54.33,54.39,54.31
06/25/2021,54.25,358064,54.37,54.37,54.18
06/24/2021,54.36,148822,54.33,54.3799,54.33
06/23/2021,54.34,70258,54.36,54.374,54.32
06/22/2021,54.38,92631,54.24,54.38,54.24
06/21/2021,54.44,72120,54.07,54.44,54.07
06/18/2021,54.49,134972,54.32,54.49,54.306
06/17/2021,54.26,214817,54.18,54.42,54.17
06/16/2021,54.16,211350,54.31,54.3486,54.12
06/15/2021,54.31,336408,54.27,54.31,54.25
06/14/2021,54.295,154498,54.4,54.41,54.295
06/11/2021,54.46,88925,54.47,54.49,54.44
06/10/2021,54.47,96217,54.31,54.47,54.29
06/09/2021,54.36,185241,54.36,54.401,54.33
06/08/2021,54.24,50371,54.26,54.26,54.2203
06/07/2021,54.16,155589,54.15,54.17,54.145
06/04/2021,54.17,59419,54.02,54.17,54.02
06/03/2021,53.99,46608,54.02,54.03,53.965
06/02/2021,54.06,62411,54.07,54.09,54.055
06/01/2021,54.01,33650,53.97,54.01,53.901
05/28/2021,54.03,264696,54.07,54.13,54.03
05/27/2021,54.09,161767,54.08,54.09,54.05
05/26/2021,54.14,113062,54.17,54.2099,54.12
05/25/2021,54.18,120274,54.09,54.19,54.09
05/24/2021,54.04,65794,54.01,54.06,54.01
05/21/2021,53.98,151310,54.01,54.02,53.9465
05/20/2021,53.95,177523,53.85,53.96,53.84
05/19/2021,53.8,198463,53.88,53.92,53.79
05/18/2021,53.86,85024,53.87,53.88,53.825
05/17/2021,53.92,374087,53.94,53.96,53.9
05/14/2021,53.93,310689,53.94,53.96,53.885
05/13/2021,53.84,217692,53.79,53.855,53.74
05/12/2021,53.74,562382,53.83,53.83,53.73
05/11/2021,53.94,192543,53.94,53.965,53.9099
05/10/2021,54.05,188481,54.15,54.18,54.045
05/07/2021,54.13,316204,54.24,54.274,54.1252
05/06/2021,54.16,162852,54.09,54.1722,54.09
05/05/2021,54.12,174110,54.04,54.135,54.04
05/04/2021,54.08,247428,54.11,54.17,54.07
05/03/2021,54.02,609707,54.01,54.1,54.005
04/30/2021,54.06,390481,54.02,54.06,53.9686
04/29/2021,53.975,144223,53.88,53.98,53.87
04/28/2021,54.01,275055,53.98,54.01,53.92
04/27/2021,53.99,127686,54.08,54.08,53.98
04/26/2021,54.11,115093,54.14,54.165,54.11
04/23/2021,54.15,296800,54.15,54.165,54.1
04/22/2021,54.14,372634,54.16,54.1631,54.06
04/21/2021,54.11,178314,54.1,54.11,54.0401
04/20/2021,54.07,129991,53.99,54.0902,53.975
04/19/2021,54,211673,53.99,54.0399,53.965
04/16/2021,54.05,391205,54.11,54.12,54.05
04/15/2021,54.2,353695,54.12,54.28,54.12
04/14/2021,54.02,2473122,53.98,54.025,53.9231
04/13/2021,53.99,175044,53.89,54,53.88
04/12/2021,53.9,2169347,53.84,53.915,53.83
04/09/2021,53.92,133671,53.88,53.97,53.85
04/08/2021,54.04,358193,53.86,54.04,53.86
04/07/2021,53.88,578162,53.92,53.96,53.84
04/06/2021,53.94,2099863,53.8,53.98,53.78
04/05/2021,53.72,113391,53.72,53.74,53.67
04/01/2021,53.82,126383,53.72,53.82,53.7
03/31/2021,53.7,358420,53.68,53.72,53.6202
03/30/2021,53.66,78433,53.56,53.68,53.5398
03/29/2021,53.6,136940,53.68,53.7,53.56
03/26/2021,53.68,64794,53.68,53.74,53.68
03/25/2021,53.76,111006,53.88,53.9,53.74
03/24/2021,53.84,44880,53.72,53.86,53.72
03/23/2021,53.72,81167,53.62,53.76,53.6004
03/22/2021,53.6,70894,53.52,53.6,53.52
03/19/2021,53.5,240896,53.4,53.52,53.4
03/18/2021,53.5,101222,53.46,53.52,53.38
03/17/2021,53.7,174590,53.58,53.7,53.5002
03/16/2021,53.66,74927,53.72,53.74,53.62
03/15/2021,53.66,280047,53.62,53.703,53.62
03/12/2021,53.6,125291,53.68,53.72,53.56
03/11/2021,53.94,103246,53.9,53.94,53.85
03/10/2021,53.92,123337,53.86,53.9398,53.84
03/09/2021,53.88,956059,53.88,53.94,53.78
03/08/2021,53.8,254590,53.9,53.94,53.7796
03/05/2021,54,562569,53.9,54.02,53.88
03/04/2021,53.96,61514,54.12,54.1772,53.92
03/03/2021,54.18,37582,54.22,54.24,54.11
03/02/2021,54.32,284326,54.28,54.32,54.2402
03/01/2021,54.26,61167,54.28,54.3,54.2
02/26/2021,54.36,1039248,54.06,54.38,54.029
02/25/2021,54,114726,54.26,54.26,53.88
02/24/2021,54.44,103158,54.28,54.46,54.22
02/23/2021,54.48,72738,54.36,54.48,54.34
02/22/2021,54.46,103472,54.52,54.58,54.42
02/19/2021,54.6,353130,54.72,54.72,54.542
02/18/2021,54.76,72165,54.76,54.8,54.7
02/17/2021,54.8,885099,54.74,54.8598,54.7
02/16/2021,54.72,94575,54.84,54.84,54.68
02/12/2021,54.94,95943,55.02,55.02,54.92
