Date,Close/Last,Volume,Open,High,Low
06/28/2021,35.2507,319,35.231,35.2507,35.231
06/25/2021,35.2632,198,35.2632,35.2632,35.2632
06/24/2021,35.03,613,35.0072,35.03,34.9599
06/23/2021,34.88,1357,35.05,35.05,34.88
06/22/2021,35.1243,1805,35.36,35.36,34.99
06/21/2021,35.1672,63,35.1672,35.1672,35.1672
06/18/2021,34.7092,721,34.9199,34.9199,34.7092
06/17/2021,35.27,2102,35.27,35.27,35.13
06/16/2021,35.3016,305,35.32,35.35,35.3016
06/15/2021,35.5817,1675,35.58,35.6,35.541
06/14/2021,35.6107,170,35.5645,35.6107,35.5645
06/11/2021,35.661,594,35.77,35.77,35.66
06/10/2021,35.6615,6,35.6615,35.6615,35.6615
06/09/2021,35.43,384,35.455,35.455,35.43
06/08/2021,35.3744,489,35.289,35.3744,35.289
06/07/2021,35.425,865,35.45,35.45,35.425
06/04/2021,35.4954,242,35.425,35.4954,35.425
06/03/2021,35.3323,1032,35.16,35.3323,35.16
06/02/2021,35.2322,231,35.32,35.32,35.2322
06/01/2021,35.16,883,35.171,35.171,35.13
05/28/2021,35.25,276,35.25,35.25,35.25
05/27/2021,35.16,728,35.28,35.28,35.081
05/26/2021,35.18,2162,35.1135,35.23,35.1135
05/25/2021,35.21,1294,35.26,35.2695,35.21
05/24/2021,35.37,1117,35.43,35.45,35.37
05/21/2021,35.2347,524,35.46,35.46,35.2104
05/20/2021,35.23,397,35.22,35.23,35.22
05/19/2021,34.8776,3675,34.739,34.8776,34.739
05/18/2021,35.0487,26,35.0487,35.0487,35.0487
05/17/2021,35.21,1028,35.209,35.24,35.18
05/14/2021,35.34,466,35.289,35.34,35.289
05/13/2021,35.0432,1774,34.879,35.099,34.85
05/12/2021,34.558,313,34.558,34.558,34.558
05/11/2021,35.1251,505,35.16,35.16,35.1251
05/10/2021,35.5264,260,35.65,35.78,35.5264
05/07/2021,35.4368,657,35.48,35.48,35.41
05/06/2021,35.1906,6017,35.1,35.1906,35.06
05/05/2021,35,29589,34.81,35,34.81
05/04/2021,34.9764,1672,35.04,35.04,34.901
05/03/2021,35.036,986,35.17,35.17,35.036
04/30/2021,34.779,5212,34.9,34.9,34.77
04/29/2021,34.8868,2166,34.83,34.8868,34.78
04/28/2021,34.7319,4119,34.715,34.7319,34.68
04/27/2021,34.69,1935,34.75,34.75,34.69
04/26/2021,34.7969,3565,34.801,34.88,34.7969
04/23/2021,34.9285,575,34.96,34.96,34.9285
04/22/2021,34.7727,950,34.95,34.95,34.77
04/21/2021,34.951,2050,34.93,34.998,34.9163
04/20/2021,34.75,1351,34.72,34.75,34.71
04/19/2021,34.5829,383,34.58,34.5829,34.58
04/16/2021,34.7282,3604,34.71,34.7282,34.71
04/15/2021,34.4668,154,34.4668,34.4668,34.4668
04/14/2021,34.0809,543,34.071,34.11,34.071
04/13/2021,34.07,5274,33.87,34.07,33.87
04/12/2021,33.997,576,33.98,34.0009,33.98
04/09/2021,33.9001,701,33.87,33.9001,33.76
04/08/2021,33.81,1989,33.66,33.842,33.66
04/07/2021,33.8148,2388,33.93,33.93,33.8148
04/06/2021,33.9177,658,33.93,33.98,33.9177
04/05/2021,33.9191,4046,33.83,33.9191,33.82
04/01/2021,33.58,4921,33.43,33.58,33.41
03/31/2021,33.4665,66,33.4665,33.4665,33.4665
03/30/2021,33.4504,26,33.4504,33.4504,33.4504
03/29/2021,33.7278,212,33.7278,33.7278,33.7278
03/26/2021,33.5484,435,33.479,33.5484,33.479
03/25/2021,33.0651,709,32.65,33.0651,32.65
03/24/2021,32.7889,1402,32.71,32.98,32.71
03/23/2021,32.7841,208,32.97,32.97,32.7841
03/22/2021,32.9515,527,33.25,33.25,32.871
03/19/2021,32.8305,1205,32.8706,32.8706,32.8305
03/18/2021,32.7573,1148,33.11,33.11,32.7573
03/17/2021,32.9672,1045,32.93,32.97,32.9
03/16/2021,33.0797,781,33.1,33.11,33.0508
03/15/2021,33.1515,2254,33,33.1515,32.9487
03/12/2021,32.8433,1210,32.7294,32.8433,32.7294
03/11/2021,32.6445,299,32.781,32.781,32.6445
03/10/2021,32.5961,1932,32.44,32.69,32.44
03/09/2021,32.3136,136,32.4701,32.4701,32.3136
03/08/2021,32.2452,2526,32.14,32.51,32.14
03/05/2021,32.0582,3253,31.84,32.15,31.79
03/04/2021,31.2946,213,31.71,31.71,31.2946
03/03/2021,31.6322,1032,32,32,31.6322
03/02/2021,31.9163,3085,31.9036,32.011,31.9036
03/01/2021,31.948,13,31.948,31.948,31.948
02/26/2021,31.5263,407,31.69,31.69,31.5263
02/25/2021,31.8198,933,32.37,32.37,31.8198
02/24/2021,32.291,176,32.349,32.349,32.291
02/23/2021,32.1729,376,31.99,32.1729,31.99
02/22/2021,32.09,179,32.09,32.09,32.09
02/19/2021,32.1904,242,32.34,32.34,32.1904
02/18/2021,32.4119,461,32.42,32.5069,32.4119
02/17/2021,32.4581,30,32.4581,32.4581,32.4581
02/16/2021,32.4178,213,32.4178,32.4178,32.4178
02/12/2021,32.59,1583,32.4701,32.59,32.43
02/11/2021,32.4304,866,32.4101,32.4304,32.4101
02/10/2021,32.48,2363,32.42,32.48,32.42
02/09/2021,32.3873,240,32.4,32.4,32.3873
02/08/2021,32.3818,1705,32.34,32.3818,32.3065
02/05/2021,32.2344,1334,32.14,32.3,32.14
02/04/2021,31.99,1548,31.75,32.0295,31.75
02/03/2021,31.826,1302,31.821,31.869,31.821
02/02/2021,31.8484,3812,31.831,32.04,31.831
02/01/2021,31.5599,5434,31.37,31.6,31.37
01/29/2021,31.11,1154,31.39,31.39,31.11
01/28/2021,31.6791,312,31.8799,31.8799,31.6791
01/27/2021,31.4795,799,31.66,31.6847,31.4795
01/26/2021,32.1107,51,32.1107,32.1107,32.1107
01/25/2021,32.1903,248,32.0676,32.1903,32.0676
01/22/2021,32.0916,4347,31.942,32.0916,31.942
01/21/2021,32.1178,205,32.135,32.135,32.1178
01/20/2021,32.2948,661,32.19,32.2948,32.19
01/19/2021,32.11,3175,32.24,32.24,32.06
01/15/2021,31.9916,4733,31.8816,31.9916,31.8816
01/14/2021,32.0154,463,32.1,32.14,32.0154
01/13/2021,32.1026,9,32.1026,32.1026,32.1026
01/12/2021,32.0875,183,32.0262,32.0875,32.0262
01/11/2021,32.104,580,32.0442,32.15,32.0442
01/08/2021,32.177,1505,32.0729,32.177,32.0729
01/07/2021,32.1055,1982,32.0651,32.24,32.0651
01/06/2021,31.9839,612,32,32,31.931
01/05/2021,31.4958,484,31.36,31.4958,31.36
01/04/2021,31.3444,8552,31.1498,31.3444,31.08
12/31/2020,31.7,1120,31.655,31.7,31.655
12/30/2020,31.4806,301,31.5,31.5,31.4806
12/29/2020,31.42,6577,31.5299,31.5299,31.35
12/28/2020,31.4719,897,31.8,31.8,31.4719
12/24/2020,31.3982,362,31.3,31.3982,31.3
12/23/2020,31.3279,1254,30.87,31.38,30.87
12/22/2020,31.2117,119,31.2117,31.2117,31.2117
12/21/2020,31.6714,440,31.86,31.86,31.4334
12/18/2020,32.002,23,32.002,32.002,32.002
12/17/2020,32.0302,1879,31.98,32.054,31.98
12/16/2020,31.7972,191,31.9,31.9,31.7972
12/15/2020,31.8559,347,31.891,31.891,31.8559
12/14/2020,31.45,1321,31.66,31.66,31.45
12/11/2020,31.6564,3643,31.52,31.67,31.5147
