Date,Close/Last,Volume,Open,High,Low
06/28/2021,44.3746,22540,44.89,44.89,44.0644
06/25/2021,44.7876,17842,44.71,45.0699,44.71
06/24/2021,44.82,5622,44.44,44.82,44.27
06/23/2021,44.1012,5465,44.12,44.34,44.1012
06/22/2021,44.0009,7194,43.88,44.0009,43.585
06/21/2021,43.9783,10525,43.22,44.06,43.22
06/18/2021,42.9952,7661,43.42,43.46,42.9434
06/17/2021,43.9972,5297,44.67,44.67,43.79
06/16/2021,44.8089,8578,44.6798,44.921,44.55
06/15/2021,44.9077,5038,44.94,44.95,44.55
06/14/2021,44.845,9718,45.08,45.08,44.71
06/11/2021,45.0467,13581,44.93,45.0467,44.84
06/10/2021,44.7249,8159,45.14,45.14,44.6705
06/09/2021,44.968,6548,45.32,45.32,44.96
06/08/2021,45.21,10682,44.92,45.31,44.77
06/07/2021,44.7571,7159,44.63,44.81,44.591
06/04/2021,44.4839,11463,44.32,44.4839,44.212
06/03/2021,44.245,10353,44.02,44.34,44.02
06/02/2021,44.4558,10417,44.73,44.73,44.335
06/01/2021,44.63,11076,44.34,44.63,44.3199
05/28/2021,43.945,15330,44.24,44.24,43.875
05/27/2021,44.0078,11247,43.89,44.1,43.89
05/26/2021,43.5177,16583,42.99,43.58,42.99
05/25/2021,42.74,8696,43.44,43.53,42.74
05/24/2021,43.2748,13610,43.34,43.44,43.22
05/21/2021,43.11,20261,43.41,43.5,43.011
05/20/2021,42.97,9827,42.9,42.97,42.48
05/19/2021,42.8,18746,42.3,42.8,42.01
05/18/2021,43.0694,13137,43.57,43.599,43.0694
05/17/2021,43.515,9915,43.2,43.54,43.1
05/14/2021,43.43,12995,42.91,43.43,42.7281
05/13/2021,42.38,6121,41.8,42.4235,41.8
05/12/2021,41.665,5557,42.56,43.01,41.61
05/11/2021,42.9,30389,42.25,43.0999,42.25
05/10/2021,43.2383,6383,43.94,44.2177,43.2383
05/07/2021,44.06,19566,43.67,44.06,43.67
05/06/2021,43.47,17437,43.37,43.47,42.84
05/05/2021,43.35,11801,43.61,43.61,43.07
05/04/2021,43.37,11001,43.39,43.39,42.969
05/03/2021,43.5364,11114,43.319,43.6501,43.2845
04/30/2021,42.9456,10353,43.2656,43.505,42.93
04/29/2021,43.6633,4674,44.01,44.01,43.435
04/28/2021,43.7247,18272,43.7,43.839,43.47
04/27/2021,43.6334,12417,43.84,43.84,43.501
04/26/2021,43.61,20795,43.65,43.8599,43.581
04/23/2021,43.35,37926,42.88,43.56,42.73
04/22/2021,42.7176,37376,42.85,43.23,42.69
04/21/2021,42.96,11180,42.02,42.96,41.86
04/20/2021,42.03,18980,42.71,42.87,41.8
04/19/2021,42.968,50421,43.37,43.37,42.7
04/16/2021,43.52,12306,43.69,43.69,43.18
04/15/2021,43.2853,15187,43.53,43.53,43.03
04/14/2021,43.09,65177,42.83,43.5135,42.83
04/13/2021,42.67,8576,42.8,42.8,42.41
04/12/2021,42.8478,6757,42.92,42.92,42.5915
04/09/2021,42.85,20831,42.8,42.85,42.629
04/08/2021,42.79,16471,42.62,42.86,42.2603
04/07/2021,42.52,21492,42.975,43.0097,42.48
04/06/2021,43.08,6773,43.35,43.52,43.08
04/05/2021,43.3,10051,43.59,43.59,43.06
04/01/2021,43.04,58045,42.56,43.04,42.5
03/31/2021,42.31,15862,41.83,42.59,41.83
03/30/2021,41.8112,3229,41.6391,41.88,41.6391
03/29/2021,41.4581,15010,42.36,42.38,41.4581
03/26/2021,42.4003,10909,41.67,42.4003,41.67
03/25/2021,41.3925,15046,40.29,41.5077,39.9299
03/24/2021,40.6948,48190,41.57,42.15,40.69
03/23/2021,41.2,11603,42.28,42.3623,41.0982
03/22/2021,42.74,11925,43.39,43.39,42.6
03/19/2021,43.2186,14076,42.75,43.39,42.395
03/18/2021,42.83,31806,43.88,44.2151,42.6796
03/17/2021,44.15,6822,43.55,44.15,43.33
03/16/2021,43.7948,13417,44.42,44.42,43.76
03/15/2021,44.5,32745,44.36,44.5,44.01
03/12/2021,44.32,18166,44.21,44.32,43.8501
03/11/2021,44.0501,18617,43.95,44.14,43.7989
03/10/2021,43.37,79983,42.92,43.47,42.835
03/09/2021,42.53,111562,42.63,42.76,42.41
03/08/2021,41.973,92534,41.9406,42.43,41.85
03/05/2021,41.6053,106548,41.13,41.6053,40.28
03/04/2021,40.47,8290,41.37,41.42,40.25
03/03/2021,41.5609,8743,41.75,42.06,41.4432
03/02/2021,41.63,15767,42.41,42.41,41.63
03/01/2021,42.326,7445,41.92,42.43,41.92
02/26/2021,41.0883,18773,41.07,41.33,40.34
02/25/2021,41.2549,12552,42.64,42.72,41.1
02/24/2021,42.64,19593,41.53,42.73,41.53
02/23/2021,41.56,13128,41.14,41.7,40.6
02/22/2021,41.8339,11422,41.881,42.239,41.795
02/19/2021,41.79,499551,41.37,41.966,41.37
02/18/2021,41.1352,16454,41.51,41.51,41
02/17/2021,41.8409,11133,41.69,41.91,41.46
02/16/2021,42.133,27466,42.76,42.76,42.095
02/12/2021,42.33,13033,41.932,42.3482,41.85
02/11/2021,42.12,12160,42.16,42.27,41.69
02/10/2021,41.8961,17817,41.871,42.22,41.76
02/09/2021,42.0304,8096,41.73,42.192,41.73
02/08/2021,41.8308,26804,41.17,41.8308,41.1499
02/05/2021,40.7214,7270,40.64,40.735,40.25
02/04/2021,40.17,4959,39.64,40.17,39.64
02/03/2021,39.5,5186,39.39,39.5,39.06
02/02/2021,39.3706,13090,39.11,39.39,38.891
02/01/2021,38.9739,18937,38.54,38.9739,38
01/29/2021,38.0285,14196,38.4492,38.75,37.855
01/28/2021,38.5755,31543,38.83,38.9799,38.235
01/27/2021,38.5505,14555,38.62,39.16,38.18
01/26/2021,39.46,17844,39.91,39.91,39.3201
01/25/2021,39.6031,10451,39.84,40.2138,39.3314
01/22/2021,39.77,10349,38.99,39.77,38.955
01/21/2021,39.3,105185,39.79,39.85,39.272
01/20/2021,39.6547,16584,39.69,39.7792,39.36
01/19/2021,39.41,18702,39.32,39.49,39.21
01/15/2021,38.9583,41722,38.7,39.2199,38.6802
01/14/2021,39.6011,15690,39.5509,39.84,39.5509
01/13/2021,38.93,92004,39.35,39.35,38.85
01/12/2021,39.2835,9069,38.91,39.2835,38.91
01/11/2021,38.54,10964,37.9,38.5642,37.9
01/08/2021,38.41,49911,38.9,38.9,37.88
01/07/2021,38.63,11031,38.56,38.65,38.47
01/06/2021,38.1726,10687,36.96,38.5,36.96
01/05/2021,36.58,32791,35.81,36.81,35.81
01/04/2021,35.88,62345,36.34,36.34,35.36
12/31/2020,36.02,8956,35.87,36.19,35.87
12/30/2020,36.1183,13732,35.89,36.188,35.89
12/29/2020,35.6709,10607,36.27,36.275,35.53
12/28/2020,36.3,8142,36.73,36.73,36.29
12/24/2020,36.2836,7896,36.32,36.32,36.16
12/23/2020,36.3019,9392,36.16,36.36,36.16
12/22/2020,36.0129,8004,35.97,36.03,35.881
12/21/2020,35.9459,11022,35.53,35.9977,35.37
12/18/2020,36.1382,14305,36.4,36.5399,36.0565
12/17/2020,36.2727,12335,36.12,36.2727,35.9519
12/16/2020,35.8338,6376,36.05,36.05,35.685
12/15/2020,35.94,13129,35.17,35.9499,35.17
12/14/2020,35.0761,17531,35.53,35.53,35.0761
12/11/2020,35.1076,6967,35.1984,35.1999,34.84
12/10/2020,35.31,12904,34.86,35.3899,34.86
12/09/2020,35.08,247331,35.49,35.49,34.8901
12/08/2020,35.3268,211122,34.9,35.34,34.9
12/07/2020,34.91,17017,34.84,34.98,34.84
12/04/2020,35.0254,13684,34.31,35.0254,34.31
12/03/2020,34.13,99453,34.14,34.3899,34.01
12/02/2020,34.024,49778,33.73,34.0699,33.73
12/01/2020,33.94,29011,34.22,34.22,33.7633
11/30/2020,33.66,7928,34.23,34.23,33.55
11/27/2020,34.35,6245,34.4,34.4,34.12
11/25/2020,34.28,15351,34.29,34.365,34.09
11/24/2020,34.51,17741,34.21,34.55,34.1735
11/23/2020,33.7827,16478,33.4227,33.95,33.4227
11/20/2020,33.1,13042,33.05,33.14,32.86
11/19/2020,33.1057,16717,32.76,33.12,32.7299
11/18/2020,32.8667,17017,33.485,33.589,32.8667
11/17/2020,33.37,16794,32.94,33.4,32.6275
11/16/2020,33.24,22327,32.91,33.26,32.8916
11/13/2020,32.38,10002,31.93,32.38,31.93
11/12/2020,31.7,34274,32.0028,32.08,31.4526
11/11/2020,32.25,38475,32.3236,32.3236,32.0302
11/10/2020,32.26,32171,32,32.41,31.8319
11/09/2020,31.64,15237,32.81,32.81,31.64
11/06/2020,30.79,26845,31.16,31.16,30.6901
11/05/2020,31,7192,30.44,31.03,30.44
11/04/2020,30.08,10768,30.06,30.44,29.6697
11/03/2020,30.29,13312,29.96,30.36,29.96
11/02/2020,29.5007,84569,29.12,29.5007,29.12
10/30/2020,28.94,402356,29.182,29.182,28.5905
10/29/2020,29.2869,7724,28.83,29.34,28.83
10/28/2020,28.9207,26768,29.111,29.2298,28.9207
10/27/2020,29.8813,27805,30.08,30.08,29.861
10/26/2020,30.1673,11763,30.33,30.34,29.98
10/23/2020,30.8446,29005,30.76,30.8599,30.655
10/22/2020,30.6175,10313,30.5599,30.6599,30.47
10/21/2020,30.2938,6825,30.42,30.59,30.2938
