Date,Close/Last,Volume,Open,High,Low
07/02/2021,40.645,3552,40.7,40.7,40.56
07/01/2021,40.645,4105,40.805,40.81,40.6345
06/30/2021,40.655,3395,40.525,40.67,40.455
06/29/2021,40.525,77,40.525,40.525,40.525
06/28/2021,40.55,427,40.495,40.55,40.495
06/25/2021,40.475,1894,40.54,40.54,40.475
06/24/2021,40.477,1315,40.46,40.48,40.418
06/23/2021,40.45,312,40.5395,40.5395,40.45
06/22/2021,40.375,1296,40.399,40.43,40.375
06/21/2021,40.43,448,40.43,40.43,40.43
06/18/2021,40.32,5,40.32,40.32,40.32
06/17/2021,40.27,2356,40.64,40.64,40.21
06/16/2021,40.7149,1475,40.7499,40.75,40.7149
06/15/2021,40.815,1854,40.83,40.83,40.79
06/14/2021,41.025,33,41.025,41.025,41.025
06/11/2021,41.11,128,41.1246,41.1246,41.11
06/10/2021,41.1758,402,41.265,41.265,41.1758
06/09/2021,41.225,235,41.24,41.24,41.22
06/08/2021,41.35,475,41.35,41.35,41.35
06/07/2021,41.29,97,41.29,41.29,41.29
06/04/2021,41.26,726,41.2,41.308,41.2
06/03/2021,41.13,3,41.13,41.13,41.13
06/02/2021,41.2652,1481,41.4,41.4,41.2652
06/01/2021,41.31,1462,41.4499,41.4499,41.31
05/28/2021,41.105,2604,41.17,41.17,41.105
05/27/2021,41.055,114,41.055,41.055,41.055
05/26/2021,40.8436,814,40.86,40.86,40.8308
05/25/2021,40.77,199,40.77,40.77,40.77
05/24/2021,40.785,480,40.8,40.8,40.7781
05/21/2021,40.795,147,40.8489,40.8489,40.795
05/20/2021,40.825,172,40.825,40.825,40.825
05/19/2021,40.8569,260,40.82,40.8569,40.82
05/18/2021,41.0214,231,41.0214,41.0214,41.0214
05/17/2021,40.935,569,40.99,40.995,40.935
05/14/2021,40.87,2,40.87,40.87,40.87
05/13/2021,40.8563,712,41.04,41.04,40.8563
05/12/2021,41.14,349,41.14,41.215,41.14
05/11/2021,41.17,4754,41.202,41.24,41.17
05/10/2021,41.085,473,41.1047,41.1047,41.085
05/07/2021,41.175,114,41.175,41.175,41.175
05/06/2021,41.103,523,41.17,41.17,41.103
05/05/2021,41.09,50,41.09,41.09,41.09
05/04/2021,41.075,389,41.11,41.1299,41.075
05/03/2021,41.02,2242,40.955,41.09,40.955
04/30/2021,40.995,233,40.99,40.995,40.99
04/29/2021,40.85,1273,40.9107,40.9107,40.78
04/28/2021,40.71,1794,40.7,40.803,40.7
04/27/2021,40.665,315,40.61,40.665,40.61
04/26/2021,40.66,2817,40.7,40.7,40.66
04/23/2021,40.655,472,40.7,40.7,40.655
04/22/2021,40.7,4270,40.87,40.87,40.7
04/21/2021,40.7,487,40.75,40.76,40.7
04/20/2021,40.725,2276,40.64,40.78,40.64
04/19/2021,40.76,13795,40.78,40.78,40.6819
04/16/2021,40.73,49,40.73,40.73,40.73
04/15/2021,40.685,457,40.7884,40.7884,40.664
04/14/2021,40.905,54,40.905,40.905,40.905
04/13/2021,40.9141,2919,41.07,41.07,40.8885
04/12/2021,41.0793,147,41.0793,41.0793,41.0793
04/09/2021,41.08,124,41.08,41.08,41.08
04/08/2021,41.09,876,41.16,41.16,41.09
04/07/2021,41.155,141,41.155,41.155,41.155
04/06/2021,41.27,595,41.31,41.31,41.14
04/05/2021,41.2507,2239,41.04,41.2507,41.04
04/01/2021,41.22,1050,41.45,41.45,41.22
03/31/2021,41.315,690,41.1081,41.315,41.1081
03/30/2021,41.1,224,41.088,41.1,41.088
03/29/2021,41.235,1149,41.23,41.2541,41.23
03/26/2021,41.23,125,41.23,41.23,41.23
03/25/2021,41.07,160,41.07,41.07,41.07
03/24/2021,41.175,304,41.215,41.215,41.175
03/23/2021,41.195,528,41.238,41.3,41.195
03/22/2021,41.37,6120,41.55,41.55,41.37
03/19/2021,41.45,589,41.38,41.45,41.38
03/18/2021,41.3908,102,41.3908,41.3908,41.3908
03/17/2021,41.62,128,41.62,41.62,41.62
03/16/2021,41.603,428,41.63,41.63,41.565
03/15/2021,41.66,2195,41.64,41.67,41.585
03/12/2021,41.635,782,41.71,41.71,41.635
03/11/2021,41.485,4825,41.4524,41.485,41.3318
03/10/2021,41.33,57,41.33,41.33,41.33
03/09/2021,41.33,3301,41.41,41.41,41.33
03/08/2021,41.49,65,41.49,41.49,41.49
03/05/2021,41.395,85,41.395,41.395,41.395
03/04/2021,41.305,162,41.36,41.36,41.305
03/03/2021,41.315,41,41.315,41.315,41.315
03/02/2021,41.33,55,41.33,41.33,41.33
03/01/2021,41.305,456,41.455,41.455,41.305
02/26/2021,41.44,1666,41.55,41.56,41.44
02/25/2021,41.83,1172,41.75,41.87,41.75
02/24/2021,41.75,1029,41.78,41.79,41.67
02/23/2021,41.57,1647,41.49,41.62,41.49
02/22/2021,41.575,2130,41.37,41.6,41.37
02/19/2021,41.315,472,41.3799,41.3799,41.315
02/18/2021,41.215,2364,41.3,41.3,41.215
02/17/2021,41.23,N/A,41.23,41.23,41.23
02/16/2021,41.23,1375,41.05,41.23,41.05
02/12/2021,40.935,112,40.935,40.935,40.935
02/11/2021,40.885,1837,40.835,40.92,40.835
02/10/2021,40.725,4957,41.01,41.01,40.67
02/09/2021,40.9,125,40.9,40.9,40.9
02/08/2021,40.825,3316,40.84,40.855,40.7116
02/05/2021,40.68,7483,40.66,40.68,40.66
02/04/2021,40.535,112,40.535,40.535,40.535
02/03/2021,40.615,6274,40.6,40.615,40.6
02/02/2021,40.455,11142,40.44,40.46,40.3401
02/01/2021,40.455,90,40.455,40.455,40.455
01/29/2021,40.54,108,40.63,40.63,40.54
01/28/2021,40.55,666,40.55,40.55,40.55
01/27/2021,40.49,866,40.539,40.54,40.44
01/26/2021,40.66,88,40.66,40.66,40.66
01/25/2021,40.52,1060,40.32,40.544,40.32
01/22/2021,40.52,317,40.6,40.6,40.52
01/21/2021,40.7649,167,40.7649,40.7649,40.7649
01/20/2021,40.68,242,40.7699,40.7699,40.68
01/19/2021,40.66,8,40.66,40.66,40.66
01/15/2021,40.62,119,40.595,40.62,40.595
01/14/2021,40.88,3492,40.64,40.88,40.6179
01/13/2021,40.585,309,40.53,40.585,40.53
01/12/2021,40.665,7,40.665,40.665,40.665
01/11/2021,40.3396,291,40.3163,40.3396,40.2895
01/08/2021,40.48,7528,40.525,40.525,40.4601
01/07/2021,40.495,8677,40.401,40.495,40.4
01/06/2021,40.5545,2054,40.47,40.5545,40.46
01/05/2021,40.5,338,40.3358,40.5,40.3358
01/04/2021,40.17,509,40.25,40.25,40.17
12/31/2020,40.2725,826,40.2872,40.355,40.2725
12/30/2020,40.235,1410,40.0901,40.28,40.0901
12/29/2020,40.0551,513,40.0397,40.0551,40.0397
12/28/2020,39.9138,369,39.91,39.9138,39.88
12/24/2020,39.9576,541,39.945,39.9576,39.945
12/23/2020,39.9395,283,39.88,39.9395,39.88
12/22/2020,39.62,419,39.63,39.645,39.62
12/21/2020,39.8231,329,39.72,39.8231,39.72
12/18/2020,39.8651,166,39.8,39.8651,39.8
12/17/2020,39.885,1959,39.72,39.885,39.71
12/16/2020,39.685,234,39.6975,39.6975,39.685
12/15/2020,39.665,71,39.665,39.665,39.665
12/14/2020,39.575,1170,39.685,39.685,39.575
12/11/2020,39.5451,1567,39.32,39.5451,39.32
12/10/2020,39.57,1390,39.535,39.57,39.52
12/09/2020,39.485,2965,39.38,39.485,39.37
12/08/2020,39.37,1475,39.3786,39.3786,39.37
12/07/2020,39.495,9917,39.4742,39.4991,39.43
12/04/2020,39.535,2199,39.6,39.6,39.483
12/03/2020,39.52,372,39.57,39.57,39.52
12/02/2020,39.5,11,39.5,39.5,39.5
12/01/2020,39.52,957,39.58,39.58,39.52
11/30/2020,39.4216,550,39.4,39.505,39.4
11/27/2020,39.4898,204,39.4999,39.4999,39.4898
11/25/2020,39.4987,1180,39.61,39.61,39.45
11/24/2020,39.475,515,39.4001,39.475,39.4001
11/23/2020,39.5555,815,39.5588,39.567,39.49
11/20/2020,39.5297,1777,39.56,39.57,39.5297
11/19/2020,39.472,508,39.5,39.5,39.472
11/18/2020,39.5947,158,39.54,39.5947,39.54
11/17/2020,39.57,497,39.62,39.62,39.57
11/16/2020,39.62,108,39.635,39.635,39.62
11/13/2020,39.67,1467,39.75,39.76,39.6561
11/12/2020,39.6546,708,39.705,39.71,39.6546
11/11/2020,39.77,N/A,39.77,39.77,39.77
11/10/2020,39.77,518,39.59,39.77,39.59
11/09/2020,39.66,1094,39.77,39.77,39.66
11/06/2020,39.735,7895,39.49,39.735,39.49
11/05/2020,39.74,2801,39.81,39.83,39.69
11/04/2020,39.59,495,39.62,39.62,39.4
11/03/2020,39.52,2054,39.65,39.65,39.43
11/02/2020,39.445,993,39.49,39.49,39.38
10/30/2020,39.45,2257,39.41,39.45,39.4
10/29/2020,39.57,4262,39.63,39.63,39.55
10/28/2020,39.72,670,39.65,39.72,39.65
10/27/2020,39.9002,1183,39.965,39.965,39.85
10/26/2020,39.87,372,39.7744,39.87,39.7744
10/23/2020,39.845,1640,39.865,39.87,39.73
10/22/2020,39.785,3957,39.96,39.96,39.74
10/21/2020,39.9,1494,39.999,40.01,39.85
10/20/2020,39.78,6,39.78,39.78,39.78
10/19/2020,39.72,941,39.775,39.775,39.72
10/16/2020,39.68,60,39.68,39.68,39.68
10/15/2020,39.65,672,39.65,39.6599,39.58
10/14/2020,39.625,672,39.55,39.6899,39.55
10/13/2020,39.565,2520,39.536,39.565,39.49
10/12/2020,39.62,1259,39.69,39.75,39.62
10/09/2020,39.66,301,39.7599,39.7599,39.66
10/08/2020,39.525,629,39.5072,39.525,39.5072
10/07/2020,39.525,6097,39.491,39.585,39.491
10/06/2020,39.4,259,39.485,39.485,39.4
10/05/2020,39.39,2465,39.48,39.48,39.39
10/02/2020,39.265,1038,39.28,39.38,39.2443
10/01/2020,39.265,553,39.34,39.34,39.2
09/30/2020,39.38,125,39.38,39.38,39.38
09/29/2020,39.175,372,39.19,39.1999,39.175
09/28/2020,39.17,513,39.18,39.19,39.1493
09/25/2020,39.12,4,39.12,39.12,39.12
09/24/2020,39.145,4155,39.16,39.175,39.09
09/23/2020,39.115,504,39.3,39.3,39.115
09/22/2020,39.355,1188,39.52,39.52,39.355
09/21/2020,39.425,1141,39.74,39.74,39.425
09/18/2020,39.83,102,39.8899,39.8899,39.83
09/17/2020,39.7001,7,39.7001,39.7001,39.7001
09/16/2020,39.6,450,39.48,39.6,39.48
09/15/2020,39.58,569,39.58,39.58,39.58
09/14/2020,39.485,1031,39.48,39.49,39.46
09/11/2020,39.45,577,39.33,39.45,39.33
09/10/2020,39.355,1101,39.4668,39.48,39.355
09/09/2020,39.3892,351,39.3873,39.3892,39.3873
09/08/2020,39.315,4937,39.37,39.37,39.21
09/04/2020,39.54,80,39.54,39.54,39.54
09/03/2020,39.505,102,39.505,39.505,39.505
09/02/2020,39.67,6355,39.81,39.83,39.37
09/01/2020,39.795,71,39.795,39.795,39.795
08/31/2020,39.78,174,39.78,39.78,39.78
08/28/2020,39.65,9502,39.645,39.71,39.6328
08/27/2020,39.4,133,39.4,39.4,39.4
08/26/2020,39.42,208,39.42,39.42,39.42
08/25/2020,39.375,339,39.375,39.375,39.375
08/24/2020,39.305,17,39.305,39.305,39.305
08/21/2020,39.38,2491,39.37,39.38,39.27
08/20/2020,39.45,3799,39.41,39.45,39.33
08/19/2020,39.405,255,39.405,39.405,39.405
08/18/2020,39.565,69,39.565,39.565,39.565
08/17/2020,39.52,1600,39.3,39.52,39.3
08/14/2020,39.235,3,39.235,39.235,39.235
08/13/2020,39.269,393,39.35,39.35,39.269
08/12/2020,39.2133,346,39.29,39.29,39.2133
08/11/2020,39.155,45,39.155,39.155,39.155
08/10/2020,39.335,161,39.3101,39.335,39.3101
08/07/2020,39.3601,5594,39.33,39.3601,39.33
08/06/2020,39.595,176,39.595,39.595,39.595
08/05/2020,39.5728,295,39.53,39.5728,39.53
