Date,Close/Last,Volume,Open,High,Low
07/02/2021,27.28,322980,27.28,27.28,27.24
07/01/2021,27.26,211948,27.24,27.26,27.23
06/30/2021,27.26,335420,27.27,27.27,27.2201
06/29/2021,27.21,190444,27.24,27.24,27.19
06/28/2021,27.16,281906,27.22,27.24,27.16
06/25/2021,27.21,253287,27.21,27.22,27.17
06/24/2021,27.2,295646,27.17,27.23,27.17
06/23/2021,27.2,560568,27.24,27.27,27.16
06/22/2021,27.23,395223,27.21,27.29,27.2
06/21/2021,27.23,601561,27.32,27.32,27.22
06/18/2021,27.33,393921,27.33,27.36,27.3072
06/17/2021,27.34,580926,27.34,27.38,27.29
06/16/2021,27.38,383061,27.43,27.43,27.31
06/15/2021,27.39,281022,27.44,27.45,27.39
06/14/2021,27.4,302798,27.4,27.44,27.4
06/11/2021,27.42,309864,27.44,27.44,27.4
06/10/2021,27.43,222373,27.43,27.44,27.42
06/09/2021,27.42,378220,27.36,27.4275,27.32
06/08/2021,27.33,430200,27.3,27.33,27.28
06/07/2021,27.28,216971,27.27,27.28,27.2367
06/04/2021,27.26,251332,27.2,27.27,27.2
06/03/2021,27.21,185153,27.22,27.22,27.195
06/02/2021,27.21,330087,27.19,27.21,27.1784
06/01/2021,27.19,345030,27.14,27.19,27.14
05/28/2021,27.18,167484,27.17,27.18,27.1279
05/27/2021,27.12,285914,27.13,27.17,27.12
05/26/2021,27.13,553004,27.12,27.16,27.12
05/25/2021,27.12,377374,27.12,27.14,27.11
05/24/2021,27.1,323845,27.11,27.12,27.07
05/21/2021,27.12,183128,27.14,27.15,27.11
05/20/2021,27.11,365898,27.1,27.14,27.09
05/19/2021,27.1,225271,27.13,27.14,27.09
05/18/2021,27.09,332726,27.12,27.1299,27.08
05/17/2021,27.08,489685,27.07,27.13,27.0565
05/14/2021,27.09,227940,27.08,27.09,27.0536
05/13/2021,27.03,313376,27.03,27.07,27.03
05/12/2021,27.06,434030,27.04,27.1,27.03
05/11/2021,27.07,338958,27.1,27.11,27.06
05/10/2021,27.11,443411,27.12,27.16,27.11
05/07/2021,27.11,234410,27.09,27.14,27.09
05/06/2021,27.1,327144,27.08,27.12,27.08
05/05/2021,27.08,211217,27.08,27.105,27.04
05/04/2021,27.07,294705,27.04,27.07,27.03
05/03/2021,27.03,295442,27.02,27.07,27.02
04/30/2021,27.02,275770,27.02,27.0516,27.0028
04/29/2021,27,400902,27.03,27.05,27
04/28/2021,27.06,319162,27.1,27.1,27.05
04/27/2021,27.06,384259,27.11,27.11,27.06
04/26/2021,27.12,406894,27.12,27.13,27.08
04/23/2021,27.11,274233,27.1,27.13,27.07
04/22/2021,27.1,455462,27.05,27.1,27.04
04/21/2021,27.05,311226,27.09,27.09,27.02
04/20/2021,27.06,369236,27.02,27.08,27.02
04/19/2021,27.03,394303,27.06,27.08,27
04/16/2021,27.1,227160,27.14,27.14,27.1
04/15/2021,27.13,606943,27.08,27.15,27.06
04/14/2021,27.02,464738,26.98,27.05,26.98
04/13/2021,26.98,283031,26.98,26.996,26.95
04/12/2021,26.94,399660,26.94,26.975,26.9293
04/09/2021,26.93,237005,26.94,26.95,26.91
04/08/2021,26.93,369172,26.88,26.945,26.84
04/07/2021,26.83,427910,26.8,26.869,26.8
04/06/2021,26.83,341121,26.82,26.83,26.78
04/05/2021,26.8,277786,26.81,26.82,26.77
04/01/2021,26.81,309744,26.77,26.81,26.74
03/31/2021,26.76,246185,26.75,26.77,26.73
03/30/2021,26.76,415761,26.75,26.78,26.72
03/29/2021,26.78,483978,26.79,26.79,26.74
03/26/2021,26.75,361839,26.75,26.78,26.7201
03/25/2021,26.73,332982,26.78,26.78,26.72
03/24/2021,26.71,640190,26.67,26.755,26.64
03/23/2021,26.71,289234,26.65,26.71,26.6
03/22/2021,26.65,264361,26.63,26.65,26.59
03/19/2021,26.68,379296,26.64,26.685,26.56
03/18/2021,26.6,575135,26.65,26.66,26.53
03/17/2021,26.7684,446886,26.81,26.82,26.74
03/16/2021,26.845,370507,26.82,26.85,26.785
03/15/2021,26.805,685194,26.77,26.82,26.75
03/12/2021,26.78,1074084,26.8,26.8,26.7
03/11/2021,26.85,536443,26.8,26.89,26.78
03/10/2021,26.83,814423,26.77,26.83,26.7
03/09/2021,26.77,258570,26.67,26.775,26.66
03/08/2021,26.7,417519,26.64,26.7,26.6184
03/05/2021,26.65,921744,26.66,26.66,26.59
03/04/2021,26.66,458048,26.59,26.665,26.59
03/03/2021,26.61,340191,26.61,26.61,26.5501
03/02/2021,26.63,386396,26.57,26.64,26.5696
03/01/2021,26.58,296829,26.6,26.62,26.519
02/26/2021,26.6,380832,26.53,26.6,26.5
02/25/2021,26.56,395047,26.63,26.65,26.51
02/24/2021,26.68,951855,26.74,26.74,26.64
02/23/2021,26.8,350344,26.72,26.81,26.7
02/22/2021,26.76,484942,27.03,27.05,26.75
02/19/2021,27.03,524735,27.14,27.14,27.02
02/18/2021,27.14,429666,27.24,27.27,27.11
02/17/2021,27.27,315027,27.26,27.33,27.195
02/16/2021,27.27,470023,27.34,27.34,27.27
02/12/2021,27.34,286975,27.37,27.38,27.34
02/11/2021,27.38,287225,27.38,27.3932,27.35
02/10/2021,27.38,924395,27.33,27.38,27.32
02/09/2021,27.34,287444,27.28,27.34,27.28
02/08/2021,27.29,266175,27.29,27.295,27.26
02/05/2021,27.27,303734,27.23,27.28,27.23
02/04/2021,27.26,545037,27.23,27.26,27.185
02/03/2021,27.24,307967,27.25,27.26,27.22
02/02/2021,27.25,449745,27.26,27.27,27.21
02/01/2021,27.26,814676,27.24,27.26,27.22
01/29/2021,27.2,325051,27.25,27.2574,27.2
01/28/2021,27.24,166893,27.24,27.26,27.22
01/27/2021,27.24,429896,27.2,27.24,27.18
01/26/2021,27.2,407404,27.12,27.2,27.08
01/25/2021,27.15,622379,27.1,27.16,27.09
01/22/2021,27.12,242108,27.1,27.12,27.07
01/21/2021,27.1,213643,27.09,27.1,27.05
01/20/2021,27.09,647858,27.07,27.09,27.04
01/19/2021,27.03,777425,27.06,27.1,27.03
01/15/2021,27.1,312802,27.1,27.125,27.06
01/14/2021,27.05,551999,27.09,27.11,27.0415
01/13/2021,27.08,457813,27.07,27.09,27.02
01/12/2021,27.06,836368,27.03,27.07,27
01/11/2021,27.01,566739,27.06,27.06,26.97
01/08/2021,27.04,639591,27.06,27.13,27.04
01/07/2021,27.05,525096,27.09,27.1198,27.04
01/06/2021,27.1,639076,27.15,27.16,27.05
01/05/2021,27.16,304506,27.14,27.17,27.12
01/04/2021,27.14,182531,27.1,27.14,27.1
12/31/2020,27.11,194746,27.14,27.14,27.1028
12/30/2020,27.14,288867,27.1,27.14,27.095
12/29/2020,27.12,177493,27.14,27.14,27.1086
12/28/2020,27.1,271761,27.11,27.14,27.1
12/24/2020,27.14,173748,27.1,27.14,27.09
12/23/2020,27.08,210701,27.1,27.1251,27.08
12/22/2020,27.11,330216,27.12,27.1399,27.11
12/21/2020,27.1,237176,27.1,27.1219,27.07
12/18/2020,27.13,274864,27.16,27.16,27.13
