Date,Close/Last,Volume,Open,High,Low
07/06/2021,27.34,N/A,27.34,27.34,27.34
07/02/2021,27.35,N/A,27.35,27.35,27.35
07/01/2021,27.31,N/A,27.31,27.31,27.31
06/30/2021,27.28,N/A,27.28,27.28,27.28
06/29/2021,27.27,N/A,27.27,27.27,27.27
06/28/2021,27.28,N/A,27.28,27.28,27.28
06/25/2021,27.26,N/A,27.26,27.26,27.26
06/24/2021,27.23,N/A,27.23,27.23,27.23
06/23/2021,27.19,N/A,27.19,27.19,27.19
06/22/2021,27.22,N/A,27.22,27.22,27.22
06/21/2021,27.21,N/A,27.21,27.21,27.21
06/19/2021,27.13,N/A,27.13,27.13,27.13
06/18/2021,27.13,N/A,27.13,27.13,27.13
06/17/2021,27.21,N/A,27.21,27.21,27.21
06/16/2021,27.25,N/A,27.25,27.25,27.25
06/15/2021,27.34,N/A,27.34,27.34,27.34
06/14/2021,27.37,N/A,27.37,27.37,27.37
06/11/2021,27.39,N/A,27.39,27.39,27.39
06/10/2021,27.39,N/A,27.39,27.39,27.39
06/09/2021,27.34,N/A,27.34,27.34,27.34
06/08/2021,27.33,N/A,27.33,27.33,27.33
06/07/2021,27.32,N/A,27.32,27.32,27.32
06/04/2021,27.29,N/A,27.29,27.29,27.29
06/03/2021,27.24,N/A,27.24,27.24,27.24
06/02/2021,27.25,N/A,27.25,27.25,27.25
06/01/2021,27.24,N/A,27.24,27.24,27.24
05/28/2021,27.27,N/A,27.27,27.27,27.27
05/27/2021,27.25,N/A,27.25,27.25,27.25
05/26/2021,27.26,N/A,27.26,27.26,27.26
05/25/2021,27.25,N/A,27.25,27.25,27.25
05/24/2021,27.27,N/A,27.27,27.27,27.27
05/21/2021,27.24,N/A,27.24,27.24,27.24
05/20/2021,27.25,N/A,27.25,27.25,27.25
05/19/2021,27.17,N/A,27.17,27.17,27.17
05/18/2021,27.21,N/A,27.21,27.21,27.21
05/17/2021,27.23,N/A,27.23,27.23,27.23
05/14/2021,27.24,N/A,27.24,27.24,27.24
05/13/2021,27.17,N/A,27.17,27.17,27.17
05/12/2021,27.09,N/A,27.09,27.09,27.09
05/11/2021,27.23,N/A,27.23,27.23,27.23
05/10/2021,27.31,N/A,27.31,27.31,27.31
05/07/2021,27.32,N/A,27.32,27.32,27.32
05/06/2021,27.27,N/A,27.27,27.27,27.27
05/05/2021,27.21,N/A,27.21,27.21,27.21
05/04/2021,27.19,N/A,27.19,27.19,27.19
05/03/2021,27.22,N/A,27.22,27.22,27.22
04/30/2021,27.16,N/A,27.16,27.16,27.16
04/29/2021,27.2,N/A,27.2,27.2,27.2
04/28/2021,27.17,N/A,27.17,27.17,27.17
04/27/2021,27.19,N/A,27.19,27.19,27.19
04/26/2021,27.22,N/A,27.22,27.22,27.22
04/23/2021,27.24,N/A,27.24,27.24,27.24
04/22/2021,27.22,N/A,27.22,27.22,27.22
04/21/2021,27.23,N/A,27.23,27.23,27.23
04/20/2021,27.22,N/A,27.22,27.22,27.22
04/19/2021,27.23,N/A,27.23,27.23,27.23
04/16/2021,27.26,N/A,27.26,27.26,27.26
04/15/2021,27.23,N/A,27.23,27.23,27.23
04/14/2021,27.14,N/A,27.14,27.14,27.14
04/13/2021,27.14,N/A,27.14,27.14,27.14
04/12/2021,27.12,N/A,27.12,27.12,27.12
04/09/2021,27.14,N/A,27.14,27.14,27.14
04/08/2021,27.14,N/A,27.14,27.14,27.14
04/07/2021,27.12,N/A,27.12,27.12,27.12
04/06/2021,27.14,N/A,27.14,27.14,27.14
04/05/2021,27.13,N/A,27.13,27.13,27.13
04/01/2021,27.07,N/A,27.07,27.07,27.07
03/31/2021,26.98,N/A,26.98,26.98,26.98
03/30/2021,27.02,N/A,27.02,27.02,27.02
03/29/2021,27.07,N/A,27.07,27.07,27.07
03/26/2021,27.07,N/A,27.07,27.07,27.07
03/25/2021,26.94,N/A,26.94,26.94,26.94
03/24/2021,26.88,N/A,26.88,26.88,26.88
03/23/2021,26.92,N/A,26.92,26.92,26.92
03/22/2021,26.97,N/A,26.97,26.97,26.97
03/19/2021,26.92,N/A,26.92,26.92,26.92
03/18/2021,26.88,N/A,26.88,26.88,26.88
03/17/2021,26.94,N/A,26.94,26.94,26.94
03/16/2021,26.95,N/A,26.95,26.95,26.95
03/15/2021,26.93,N/A,26.93,26.93,26.93
03/12/2021,26.88,N/A,26.88,26.88,26.88
03/11/2021,26.89,N/A,26.89,26.89,26.89
03/10/2021,26.84,N/A,26.84,26.84,26.84
03/09/2021,26.78,N/A,26.78,26.78,26.78
03/08/2021,26.73,N/A,26.73,26.73,26.73
03/05/2021,26.73,N/A,26.73,26.73,26.73
03/04/2021,26.6,N/A,26.6,26.6,26.6
03/03/2021,26.71,N/A,26.71,26.71,26.71
03/02/2021,26.78,N/A,26.78,26.78,26.78
03/01/2021,26.81,N/A,26.81,26.81,26.81
02/26/2021,26.65,N/A,26.65,26.65,26.65
02/25/2021,26.74,N/A,26.74,26.74,26.74
02/24/2021,26.87,N/A,26.87,26.87,26.87
02/23/2021,26.88,N/A,26.88,26.88,26.88
02/22/2021,26.89,N/A,26.89,26.89,26.89
02/19/2021,26.93,N/A,26.93,26.93,26.93
02/18/2021,26.97,N/A,26.97,26.97,26.97
02/17/2021,27.01,N/A,27.01,27.01,27.01
02/16/2021,27,N/A,27,27,27
02/12/2021,27.07,N/A,27.07,27.07,27.07
02/11/2021,27.07,N/A,27.07,27.07,27.07
02/10/2021,27.08,N/A,27.08,27.08,27.08
02/09/2021,27.09,N/A,27.09,27.09,27.09
02/08/2021,27.07,N/A,27.07,27.07,27.07
02/05/2021,27.01,N/A,27.01,27.01,27.01
02/04/2021,26.94,N/A,26.94,26.94,26.94
02/03/2021,26.9,N/A,26.9,26.9,26.9
02/02/2021,26.94,N/A,26.94,26.94,26.94
02/01/2021,26.92,N/A,26.92,26.92,26.92
01/29/2021,26.85,N/A,26.85,26.85,26.85
01/28/2021,26.95,N/A,26.95,26.95,26.95
01/27/2021,26.99,N/A,26.99,26.99,26.99
01/26/2021,27.11,N/A,27.11,27.11,27.11
01/25/2021,27.09,N/A,27.09,27.09,27.09
01/22/2021,27.02,N/A,27.02,27.02,27.02
01/21/2021,27.02,N/A,27.02,27.02,27.02
01/20/2021,27.06,N/A,27.06,27.06,27.06
01/19/2021,27.01,N/A,27.01,27.01,27.01
01/15/2021,26.95,N/A,26.95,26.95,26.95
01/14/2021,26.97,N/A,26.97,26.97,26.97
01/13/2021,26.92,N/A,26.92,26.92,26.92
01/12/2021,26.93,N/A,26.93,26.93,26.93
01/11/2021,26.93,N/A,26.93,26.93,26.93
01/08/2021,26.94,N/A,26.94,26.94,26.94
01/07/2021,26.94,N/A,26.94,26.94,26.94
01/06/2021,26.88,N/A,26.88,26.88,26.88
01/05/2021,26.82,N/A,26.82,26.82,26.82
01/04/2021,26.8,N/A,26.8,26.8,26.8
12/31/2020,26.84,N/A,26.84,26.84,26.84
12/30/2020,26.81,N/A,26.81,26.81,26.81
12/29/2020,26.81,N/A,26.81,26.81,26.81
12/28/2020,26.81,N/A,26.81,26.81,26.81
12/24/2020,26.82,N/A,26.82,26.82,26.82
12/23/2020,26.8,N/A,26.8,26.8,26.8
12/22/2020,26.78,N/A,26.78,26.78,26.78
12/21/2020,26.78,N/A,26.78,26.78,26.78
12/18/2020,26.82,N/A,26.82,26.82,26.82
12/17/2020,26.82,N/A,26.82,26.82,26.82
12/16/2020,26.75,N/A,26.75,26.75,26.75
12/15/2020,26.73,N/A,26.73,26.73,26.73
12/14/2020,26.68,N/A,26.68,26.68,26.68
12/11/2020,26.67,N/A,26.67,26.67,26.67
12/10/2020,26.6587,N/A,26.6587,26.6587,26.6587
12/09/2020,26.6489,N/A,26.6489,26.6489,26.6489
12/08/2020,26.6685,N/A,26.6685,26.6685,26.6685
12/07/2020,26.6391,N/A,26.6391,26.6391,26.6391
12/04/2020,26.6194,N/A,26.6194,26.6194,26.6194
12/03/2020,26.5802,N/A,26.5802,26.5802,26.5802
12/02/2020,26.5606,N/A,26.5606,26.5606,26.5606
12/01/2020,26.6096,N/A,26.6096,26.6096,26.6096
11/30/2020,26.5704,N/A,26.5704,26.5704,26.5704
11/27/2020,26.5998,N/A,26.5998,26.5998,26.5998
11/25/2020,26.5606,N/A,26.5606,26.5606,26.5606
11/24/2020,26.5606,N/A,26.5606,26.5606,26.5606
11/23/2020,26.5311,N/A,26.5311,26.5311,26.5311
11/20/2020,26.5213,N/A,26.5213,26.5213,26.5213
11/19/2020,26.5017,N/A,26.5017,26.5017,26.5017
11/18/2020,26.4625,N/A,26.4625,26.4625,26.4625
11/17/2020,26.5115,N/A,26.5115,26.5115,26.5115
11/16/2020,26.5213,N/A,26.5213,26.5213,26.5213
11/13/2020,26.4625,N/A,26.4625,26.4625,26.4625
11/12/2020,26.384,N/A,26.384,26.384,26.384
11/11/2020,26.3938,N/A,26.3938,26.3938,26.3938
11/10/2020,26.3349,N/A,26.3349,26.3349,26.3349
11/09/2020,26.2957,N/A,26.2957,26.2957,26.2957
11/06/2020,26.4232,N/A,26.4232,26.4232,26.4232
11/05/2020,26.4428,N/A,26.4428,26.4428,26.4428
11/04/2020,26.3545,N/A,26.3545,26.3545,26.3545
11/03/2020,26.2073,N/A,26.2073,26.2073,26.2073
11/02/2020,26.1387,N/A,26.1387,26.1387,26.1387
10/30/2020,26.0504,N/A,26.0504,26.0504,26.0504
10/29/2020,26.0798,N/A,26.0798,26.0798,26.0798
10/28/2020,26.0798,N/A,26.0798,26.0798,26.0798
10/27/2020,26.2466,N/A,26.2466,26.2466,26.2466
10/26/2020,26.2564,N/A,26.2564,26.2564,26.2564
10/23/2020,26.3349,N/A,26.3349,26.3349,26.3349
10/22/2020,26.3055,N/A,26.3055,26.3055,26.3055
10/21/2020,26.3545,N/A,26.3545,26.3545,26.3545
10/20/2020,26.3643,N/A,26.3643,26.3643,26.3643
10/19/2020,26.3741,N/A,26.3741,26.3741,26.3741
10/16/2020,26.4723,N/A,26.4723,26.4723,26.4723
10/15/2020,26.4723,N/A,26.4723,26.4723,26.4723
10/14/2020,26.4821,N/A,26.4821,26.4821,26.4821
10/13/2020,26.4919,N/A,26.4919,26.4919,26.4919
10/12/2020,26.5017,N/A,26.5017,26.5017,26.5017
