Date,Close/Last,Volume,Open,High,Low
07/02/2021,28.85,9226,28.82,28.86,28.66
07/01/2021,28.7,14688,28.76,28.822,28.62
06/30/2021,28.56,17873,28.45,28.57,28.385
06/29/2021,28.48,60731,28.61,28.619,28.41
06/28/2021,28.52,28332,28.77,28.77,28.4701
06/25/2021,28.78,33430,28.92,28.92,28.69
06/24/2021,28.77,56254,28.72,28.78,28.61
06/23/2021,28.61,14363,28.81,28.82,28.61
06/22/2021,28.61,22409,28.5,28.64,28.494
06/21/2021,28.72,21082,28.47,28.7699,28.4139
06/18/2021,28.25,13592,28.47,28.479,28.25
06/17/2021,28.6324,11894,29,29,28.45
06/16/2021,29.2,26787,29.419,29.51,29.2
06/15/2021,29.46,21532,29.46,29.46,29.305
06/14/2021,29.5,20036,29.55,29.58,29.39
06/11/2021,29.56,23806,29.53,29.56,29.45
06/10/2021,29.5415,19643,29.45,29.6127,29.415
06/09/2021,29.5,15307,29.58,29.589,29.5
06/08/2021,29.55,16881,29.44,29.58,29.339
06/07/2021,29.44,18574,29.5,29.5011,29.361
06/04/2021,29.43,11352,29.25,29.43,29.25
06/03/2021,29.22,21236,29.08,29.22,29.051
06/02/2021,29.4,59758,29.39,29.409,29.2101
06/01/2021,29.26,32409,29.04,29.29,29.04
05/28/2021,28.84,37401,28.95,28.95,28.73
05/27/2021,28.8,105468,28.73,28.8,28.7
05/26/2021,28.63,66557,28.57,28.649,28.44
05/25/2021,28.56,10745,28.81,28.81,28.51
05/24/2021,28.77,14196,28.52,28.779,28.52
05/21/2021,28.54,84269,28.5632,28.6687,28.4517
05/20/2021,28.465,202262,28.42,28.58,28.34
05/19/2021,28.47,157687,28.54,28.54,28.28
05/18/2021,28.98,35113,29.17,29.179,28.895
05/17/2021,29.08,40410,28.85,29.08,28.82
05/14/2021,28.8256,91230,28.709,29.3,28.709
05/13/2021,28.4968,32905,28.67,28.67,28.3115
05/12/2021,28.6454,329613,28.94,29.06,28.635
05/11/2021,28.9499,69269,28.79,29.02,28.7
05/10/2021,29.0146,15203,29.3,29.3199,29.0143
05/07/2021,29.09,21341,28.82,29.09,28.74
05/06/2021,28.7303,15650,28.72,28.76,28.5
05/05/2021,28.5117,25346,28.47,28.62,28.45
05/04/2021,28.2723,25174,28.25,28.2992,28.1076
05/03/2021,28.16,30304,28.05,28.229,28.003
04/30/2021,27.82,16349,27.92,27.95,27.775
04/29/2021,28.1,29433,28.22,28.22,27.93
04/28/2021,28.012,8756,27.83,28.0599,27.83
04/27/2021,27.837,9690,27.8,27.87,27.77
04/26/2021,27.8061,20120,27.69,27.82,27.6893
04/23/2021,27.64,7060,27.4435,27.66,27.4435
04/22/2021,27.43,6799,27.439,27.55,27.3899
04/21/2021,27.52,7966,27.26,27.52,27.26
04/20/2021,27.37,14787,27.6,27.6,27.264
04/19/2021,27.62,14563,27.77,27.77,27.5164
04/16/2021,27.6199,17106,27.6,27.659,27.5338
04/15/2021,27.54,10660,27.54,27.55,27.405
04/14/2021,27.38,225098,27.04,27.47,27.04
04/13/2021,27.01,13417,27.05,27.05,26.88
04/12/2021,26.8421,10440,26.87,26.93,26.8
04/09/2021,26.96,14758,26.94,26.97,26.88
04/08/2021,27,7114,26.959,27.05,26.8929
04/07/2021,26.93,49026,26.95,26.99,26.83
04/06/2021,26.9171,45299,27.005,27.05,26.88
04/05/2021,26.98,37836,27.22,27.22,26.88
04/01/2021,26.8955,8493,26.63,26.93,26.63
03/31/2021,26.65,8946,26.54,26.73,26.54
03/30/2021,26.605,4587,26.6,26.625,26.541
03/29/2021,26.7642,18765,26.58,26.83,26.57
03/26/2021,26.88,67211,26.49,26.88,26.49
03/25/2021,26.3763,4496,26.1509,26.3763,26.075
03/24/2021,26.4595,14254,26.58,26.5899,26.44
03/23/2021,26.22,27768,26.53,26.53,26.15
03/22/2021,26.7201,5621,26.68,26.79,26.68
03/19/2021,26.7899,3952,26.72,26.88,26.61
03/18/2021,26.6495,7439,27.12,27.12,26.6201
03/17/2021,27.33,6079,27.16,27.33,27.0792
