Date,Close/Last,Volume,Open,High,Low
07/02/2021,77.6,348084,77.79,77.79,77.2202
07/01/2021,77.79,549647,77.55,77.98,77.3
06/30/2021,77.17,753528,76.64,77.22,76.64
06/29/2021,76.79,1066332,77.61,77.89,76.69
06/28/2021,77.16,631713,78.26,78.26,76.94
06/25/2021,78.32,412656,77.74,78.4955,77.46
06/24/2021,77.44,251533,76.96,77.585,76.55
06/23/2021,76.65,355637,76.85,77.079,76.63
06/22/2021,76.62,462010,76.64,76.93,75.945
06/21/2021,76.66,416691,75.41,76.71,75.41
06/18/2021,75.08,976303,76.12,76.14,75.05
06/17/2021,77.03,877897,79.75,79.88,76.61
06/16/2021,79.57,444118,79.69,79.89,78.91
06/15/2021,79.87,462561,79.7,80.16,79.2475
06/14/2021,79.58,513314,80.43,80.51,79.22
06/11/2021,80.49,286397,80.44,80.72,80.22
06/10/2021,80.16,347584,81.39,81.62,80.11
06/09/2021,80.84,317695,81.58,81.58,80.82
06/08/2021,81.78,534562,81.56,81.89,80.73
06/07/2021,81.7,491579,82.19,82.27,81.5399
06/04/2021,82.01,656634,82.24,82.24,81.37
06/03/2021,81.97,549785,81.37,82.18,81.1
06/02/2021,81.62,517066,81.63,81.76,81
06/01/2021,81.35,1395461,81.21,81.5057,80.98
05/28/2021,80.51,4310785,81,81,80.03
05/27/2021,80.7,757734,80.38,80.89,80.305
05/26/2021,79.73,553415,79.33,79.78,78.91
05/25/2021,79.13,605239,80.47,80.69,79
05/24/2021,80.22,853667,80.37,80.5,79.82
05/21/2021,79.99,788532,79.83,80.54,79.7
05/20/2021,79.38,753582,79.53,79.73,78.8
05/19/2021,79.44,994657,79.07,79.4999,78.09
05/18/2021,80.17,1063973,81.14,81.335,80.14
05/17/2021,81.19,1133533,80.64,81.28,80.37
05/14/2021,80.76,891128,79.89,80.89,79.85
05/13/2021,79.41,1254999,77.98,79.76,77.8
05/12/2021,78.09,780220,79.56,79.91,77.95
05/11/2021,79.34,1187298,79.89,80.535,78.88
05/10/2021,80.79,1117207,81.14,81.95,80.765
