Date,Close/Last,Volume,Open,High,Low
07/02/2021,39.9,1269128,39.87,39.94,39.74
07/01/2021,39.82,3692235,39.65,39.84,39.62
06/30/2021,39.54,2079413,39.34,39.59,39.34
06/29/2021,39.35,5409563,39.58,39.68,39.3316
06/28/2021,39.49,2493333,39.73,39.73,39.353
06/25/2021,39.73,2063461,39.55,39.78,39.48
06/24/2021,39.45,1758965,39.38,39.48,39.2684
06/23/2021,39.17,2153659,39.3,39.33,39.165
06/22/2021,39.26,4692349,39.25,39.38,39.051
06/21/2021,39.21,2315295,38.75,39.24,38.7316
06/18/2021,38.68,3734108,39.03,39.06,38.67
06/17/2021,39.41,2857213,39.91,39.99,39.21
06/16/2021,39.9,4681683,40.18,40.1829,39.74
06/15/2021,40.2,14340590,40.23,40.28,40.05
06/14/2021,40.16,1179719,40.3,40.34,39.96
06/11/2021,40.36,1142452,40.39,40.42,40.215
06/10/2021,40.28,1131625,40.51,40.58,40.233
06/09/2021,40.29,2472109,40.43,40.4667,40.27
06/08/2021,40.42,7541503,40.46,40.4896,40.24
06/07/2021,40.48,2063341,40.66,40.665,40.43
06/04/2021,40.6,1994873,40.6,40.64,40.445
06/03/2021,40.45,1440074,40.26,40.52,40.17
06/02/2021,40.44,3749247,40.46,40.4907,40.2714
06/01/2021,40.37,1916159,40.55,40.59,40.27
05/28/2021,40.22,6248592,40.3,40.34,40.15
05/27/2021,40.17,1784456,40.22,40.31,40.1
05/26/2021,40.01,1779951,40,40.05,39.84
05/25/2021,39.93,2943518,40.23,40.27,39.875
05/24/2021,40.15,1787387,40.12,40.26,40.02
05/21/2021,39.95,2393040,39.98,40.18,39.8501
05/20/2021,39.79,1525502,39.62,39.95,39.52
05/19/2021,39.6,3776365,39.45,39.6,39.07
05/18/2021,39.84,1569747,40.19,40.22,39.8101
05/17/2021,40.19,2618834,40.17,40.29,40.02
05/14/2021,40.19,2636391,39.9,40.29,39.9
05/13/2021,39.72,5688764,39.18,39.91,39.16
05/12/2021,39.19,4961425,39.83,39.8987,39.1407
05/11/2021,39.89,16373450,40.05,40.21,39.6356
05/10/2021,40.44,4000024,40.63,40.855,40.41
05/07/2021,40.43,1696713,40.02,40.4599,39.95
05/06/2021,40.11,3211629,39.83,40.12,39.64
05/05/2021,39.78,1799381,39.76,39.87,39.59
05/04/2021,39.64,3344788,39.46,39.65,39.2807
05/03/2021,39.6,3468135,39.57,39.74,39.48
04/30/2021,39.34,4236865,39.38,39.4201,39.185
04/29/2021,39.53,3265281,39.39,39.56,39.23
04/28/2021,39.18,1954845,39.17,39.259,39.12
04/27/2021,39.13,2488066,39.07,39.17,38.94
04/26/2021,39.05,1488244,39.11,39.25,39
04/23/2021,39.05,2123708,38.78,39.19,38.7
04/22/2021,38.75,2374943,39.04,39.105,38.6671
04/21/2021,39.03,2470127,38.54,39.085,38.54
04/20/2021,38.6,2464117,38.81,38.81,38.4858
04/19/2021,38.96,4781358,39.04,39.07,38.85
04/16/2021,39.07,2003639,39.06,39.14,38.9791
04/15/2021,38.86,2203890,38.78,38.89,38.65
04/14/2021,38.66,3054773,38.49,38.8299,38.47
04/13/2021,38.49,1958451,38.56,38.595,38.33
04/12/2021,38.67,1964832,38.66,38.72,38.5483
04/09/2021,38.62,3637394,38.48,38.66,38.41
04/08/2021,38.41,2401997,38.45,38.45,38.25
04/07/2021,38.45,3421513,38.493,38.61,38.33
04/06/2021,38.47,1745885,38.45,38.61,38.43
04/05/2021,38.51,2517036,38.45,38.59,38.3798
04/01/2021,38.15,2805791,37.91,38.17,37.85
03/31/2021,37.9,4092541,38.05,38.11,37.87
03/30/2021,38.09,3913772,37.99,38.17,37.97
03/29/2021,38.08,2264517,37.96,38.225,37.8101
03/26/2021,38.15,2830253,37.78,38.2,37.667
03/25/2021,37.56,10857030,36.99,37.62,36.815
03/24/2021,37.09,6023728,37.17,37.5597,37.09
03/23/2021,37.08,2975743,37.36,37.49,36.96
03/22/2021,37.56,4143029,37.51,37.64,37.37
03/19/2021,37.79,2280948,37.93,38,37.54
03/18/2021,37.97,3410036,38.18,38.4596,37.91
03/17/2021,38.21,1512645,38.06,38.21,37.85
03/16/2021,38.03,2624240,38.16,38.18,37.93
03/15/2021,38.29,2598707,38.21,38.3,37.9
03/12/2021,38.13,2255687,37.93,38.14,37.89
03/11/2021,37.79,2597668,37.82,38.055,37.67
03/10/2021,37.76,4807324,37.38,37.88,37.38
03/09/2021,37.28,8468685,37.47,37.6799,37.24
03/08/2021,37.36,5184256,37.14,37.76,37.0399
03/05/2021,36.91,11000010,36.55,37.0499,36.02
03/04/2021,36.17,7431284,36.54,36.73,35.68
03/03/2021,36.54,3434597,36.55,36.89,36.52
03/02/2021,36.52,2223798,36.67,36.77,36.48
03/01/2021,36.63,2759238,36.37,36.845,36.37
02/26/2021,35.88,4314110,36.37,36.37,35.74
