Date,Close/Last,Volume,Open,High,Low
07/02/2021,52.11,208391,52.1,52.11,52.01
07/01/2021,52.01,272016,52.04,52.06,51.97
06/30/2021,52.11,338114,52.14,52.14,52
06/29/2021,52.05,374614,52.05,52.08,52.03
06/28/2021,52.09,385194,52.06,52.09,52.04
06/25/2021,52.01,403971,52.06,52.06,51.95
06/24/2021,52.03,331963,51.98,52.09,51.98
06/23/2021,52.04,575783,52.11,52.15,51.98
06/22/2021,52.15,443425,52.18,52.18,52.0708
06/21/2021,52.15,520451,52.19,52.21,52.1
06/18/2021,52.19,474650,52.18,52.25,52.17
06/17/2021,52.23,780367,52.22,52.24,52.18
06/16/2021,52.23,438980,52.26,52.35,52.15
06/15/2021,52.28,572248,52.37,52.39,52.28
06/14/2021,52.36,384131,52.37,52.395,52.3
06/11/2021,52.35,385821,52.37,52.39,52.33
06/10/2021,52.39,697098,52.34,52.39,52.3072
06/09/2021,52.36,1044959,52.25,52.3757,52.22
06/08/2021,52.22,372842,52.13,52.22,52.13
06/07/2021,52.13,440226,52.12,52.14,52.08
06/04/2021,52.13,2998926,52.06,52.13,52.01
06/03/2021,52.01,274659,52.05,52.05,51.99
06/02/2021,52.02,346484,52.02,52.0799,51.99
06/01/2021,52.03,192435,52.07,52.07,51.9305
05/28/2021,52.09,127342,52.07,52.1052,52.005
05/27/2021,52.03,127009,52.03,52.05,52.0028
05/26/2021,52.03,299364,52.03,52.0576,51.99
05/25/2021,51.98,394541,51.93,52,51.89
05/24/2021,51.93,276070,51.91,51.97,51.91
05/21/2021,51.92,217701,51.97,51.97,51.89
05/20/2021,51.9,665948,51.91,51.94,51.86
05/19/2021,51.86,189637,51.99,51.99,51.85
05/18/2021,51.96,109667,51.98,51.98,51.92
05/17/2021,51.93,146033,51.91,51.98,51.89
05/14/2021,51.95,137517,51.93,51.97,51.85
05/13/2021,51.91,207993,51.9,51.93,51.81
05/12/2021,51.88,275022,51.88,51.9378,51.87
05/11/2021,51.95,430435,51.99,52.01,51.91
05/10/2021,51.97,411102,52.02,52.122,51.97
05/07/2021,52.02,338244,52,52.09,52
05/06/2021,51.99,210853,51.96,52.03,51.95
05/05/2021,51.98,127513,51.98,51.99,51.88
05/04/2021,51.91,271176,51.95,51.97,51.9
05/03/2021,51.91,210375,51.91,51.9837,51.91
04/30/2021,51.99,205695,51.98,52.02,51.98
04/29/2021,52.04,441627,52.1,52.1,52
04/28/2021,52.15,315199,52.17,52.17,52.07
04/27/2021,52.1,306951,52.13,52.18,52.09
04/26/2021,52.16,303740,52.17,52.18,52.11
04/23/2021,52.14,456707,52.12,52.25,52.12
04/22/2021,52.15,506092,52.09,52.19,52.09
04/21/2021,52.09,142921,52.14,52.14,52.08
04/20/2021,52.11,302593,52.07,52.125,52.07
04/19/2021,52.08,335927,52.1,52.13,52.06
04/16/2021,52.1,309369,52.12,52.135,52.09
04/15/2021,52.14,559067,52.05,52.17,52.04
04/14/2021,51.95,398982,51.92,51.99,51.9
04/13/2021,51.92,424296,51.87,51.95,51.8238
04/12/2021,51.84,507090,51.85,51.87,51.82
04/09/2021,51.81,2115413,51.84,51.85,51.74
04/08/2021,51.81,238865,51.75,51.8478,51.7286
04/07/2021,51.71,261370,51.68,51.73,51.63
04/06/2021,51.66,267891,51.67,51.68,51.6
04/05/2021,51.61,473826,51.64,51.66,51.555
04/01/2021,51.65,347849,51.55,51.66,51.55
03/31/2021,51.66,138833,51.65,51.672,51.63
03/30/2021,51.63,359438,51.58,51.67,51.58
03/29/2021,51.64,291554,51.67,51.69,51.63
03/26/2021,51.65,289760,51.61,51.67,51.6
03/25/2021,51.63,482213,51.66,51.71,51.611
03/24/2021,51.62,389129,51.55,51.6479,51.52
03/23/2021,51.57,735261,51.49,51.61,51.46
03/22/2021,51.49,261826,51.49,51.49,51.41
03/19/2021,51.43,366750,51.34,51.48,51.34
03/18/2021,51.42,360685,51.55,51.6,51.4
03/17/2021,51.66,506454,51.68,51.71,51.62
03/16/2021,51.75,409922,51.74,51.81,51.74
03/15/2021,51.76,286624,51.67,51.78,51.67
03/12/2021,51.66,308524,51.79,51.79,51.61
03/11/2021,51.82,393880,51.78,51.86,51.76
03/10/2021,51.73,477451,51.66,51.749,51.615
03/09/2021,51.61,448567,51.57,51.6499,51.57
03/08/2021,51.52,215855,51.57,51.89,51.49
