Date,Close/Last,Volume,Open,High,Low
07/06/2021,17.14,N/A,17.14,17.14,17.14
07/02/2021,17.19,N/A,17.19,17.19,17.19
07/01/2021,17.1,N/A,17.1,17.1,17.1
06/30/2021,17.1,N/A,17.1,17.1,17.1
06/29/2021,17.01,N/A,17.01,17.01,17.01
06/28/2021,16.98,N/A,16.98,16.98,16.98
06/25/2021,16.94,N/A,16.94,16.94,16.94
06/24/2021,17.01,N/A,17.01,17.01,17.01
06/23/2021,17,N/A,17,17,17
06/22/2021,17.04,N/A,17.04,17.04,17.04
06/21/2021,17.09,N/A,17.09,17.09,17.09
06/19/2021,17.04,N/A,17.04,17.04,17.04
06/18/2021,17.04,N/A,17.04,17.04,17.04
06/17/2021,17.1,N/A,17.1,17.1,17.1
06/16/2021,17.13,N/A,17.13,17.13,17.13
06/15/2021,17.26,N/A,17.26,17.26,17.26
06/14/2021,17.25,N/A,17.25,17.25,17.25
06/11/2021,17.3,N/A,17.3,17.3,17.3
06/10/2021,17.35,N/A,17.35,17.35,17.35
06/09/2021,17.33,N/A,17.33,17.33,17.33
06/08/2021,17.32,N/A,17.32,17.32,17.32
06/07/2021,17.28,N/A,17.28,17.28,17.28
06/04/2021,17.36,N/A,17.36,17.36,17.36
06/03/2021,17.26,N/A,17.26,17.26,17.26
06/02/2021,17.27,N/A,17.27,17.27,17.27
06/01/2021,17.23,N/A,17.23,17.23,17.23
05/28/2021,17.23,N/A,17.23,17.23,17.23
05/27/2021,17.23,N/A,17.23,17.23,17.23
05/26/2021,17.18,N/A,17.18,17.18,17.18
05/25/2021,17.22,N/A,17.22,17.22,17.22
05/24/2021,17.29,N/A,17.29,17.29,17.29
05/21/2021,17.26,N/A,17.26,17.26,17.26
05/20/2021,17.28,N/A,17.28,17.28,17.28
05/19/2021,17.24,N/A,17.24,17.24,17.24
05/18/2021,17.32,N/A,17.32,17.32,17.32
05/17/2021,17.42,N/A,17.42,17.42,17.42
05/14/2021,17.39,N/A,17.39,17.39,17.39
05/13/2021,17.4,N/A,17.4,17.4,17.4
05/12/2021,17.41,N/A,17.41,17.41,17.41
05/11/2021,17.34,N/A,17.34,17.34,17.34
05/10/2021,17.32,N/A,17.32,17.32,17.32
05/07/2021,17.28,N/A,17.28,17.28,17.28
05/06/2021,17.32,N/A,17.32,17.32,17.32
05/05/2021,17.31,N/A,17.31,17.31,17.31
05/04/2021,17.26,N/A,17.26,17.26,17.26
05/03/2021,17.17,N/A,17.17,17.17,17.17
04/30/2021,17.07,N/A,17.07,17.07,17.07
04/29/2021,17.08,N/A,17.08,17.08,17.08
04/28/2021,17.04,N/A,17.04,17.04,17.04
04/27/2021,16.95,N/A,16.95,16.95,16.95
04/26/2021,16.96,N/A,16.96,16.96,16.96
04/23/2021,17.01,N/A,17.01,17.01,17.01
04/22/2021,17.04,N/A,17.04,17.04,17.04
04/21/2021,17.05,N/A,17.05,17.05,17.05
04/20/2021,17,N/A,17,17,17
04/19/2021,16.98,N/A,16.98,16.98,16.98
04/16/2021,16.99,N/A,16.99,16.99,16.99
04/15/2021,16.94,N/A,16.94,16.94,16.94
04/14/2021,16.89,N/A,16.89,16.89,16.89
04/13/2021,16.87,N/A,16.87,16.87,16.87
04/12/2021,16.84,N/A,16.84,16.84,16.84
04/09/2021,16.88,N/A,16.88,16.88,16.88
04/08/2021,16.86,N/A,16.86,16.86,16.86
04/07/2021,16.87,N/A,16.87,16.87,16.87
04/06/2021,16.92,N/A,16.92,16.92,16.92
04/05/2021,16.89,N/A,16.89,16.89,16.89
04/01/2021,16.92,N/A,16.92,16.92,16.92
03/31/2021,16.88,N/A,16.88,16.88,16.88
03/30/2021,16.88,N/A,16.88,16.88,16.88
03/29/2021,16.95,N/A,16.95,16.95,16.95
03/26/2021,16.94,N/A,16.94,16.94,16.94
03/25/2021,16.93,N/A,16.93,16.93,16.93
03/24/2021,16.98,N/A,16.98,16.98,16.98
03/23/2021,16.85,N/A,16.85,16.85,16.85
03/22/2021,16.78,N/A,16.78,16.78,16.78
03/19/2021,16.8,N/A,16.8,16.8,16.8
03/18/2021,16.83,N/A,16.83,16.83,16.83
03/17/2021,16.83,N/A,16.83,16.83,16.83
03/16/2021,16.86,N/A,16.86,16.86,16.86
03/15/2021,16.81,N/A,16.81,16.81,16.81
03/12/2021,16.82,N/A,16.82,16.82,16.82
03/11/2021,16.84,N/A,16.84,16.84,16.84
03/10/2021,16.82,N/A,16.82,16.82,16.82
03/09/2021,16.76,N/A,16.76,16.76,16.76
03/08/2021,16.76,N/A,16.76,16.76,16.76
03/05/2021,16.74,N/A,16.74,16.74,16.74
03/04/2021,16.66,N/A,16.66,16.66,16.66
03/03/2021,16.63,N/A,16.63,16.63,16.63
03/02/2021,16.63,N/A,16.63,16.63,16.63
03/01/2021,16.56,N/A,16.56,16.56,16.56
02/26/2021,16.49,N/A,16.49,16.49,16.49
02/25/2021,16.59,N/A,16.59,16.59,16.59
02/24/2021,16.72,N/A,16.72,16.72,16.72
02/23/2021,16.75,N/A,16.75,16.75,16.75
02/22/2021,16.68,N/A,16.68,16.68,16.68
02/19/2021,16.65,N/A,16.65,16.65,16.65
02/18/2021,16.72,N/A,16.72,16.72,16.72
02/17/2021,16.7,N/A,16.7,16.7,16.7
02/16/2021,16.65,N/A,16.65,16.65,16.65
02/12/2021,16.64,N/A,16.64,16.64,16.64
02/11/2021,16.65,N/A,16.65,16.65,16.65
02/10/2021,16.64,N/A,16.64,16.64,16.64
02/09/2021,16.65,N/A,16.65,16.65,16.65
02/08/2021,16.6,N/A,16.6,16.6,16.6
02/05/2021,16.6,N/A,16.6,16.6,16.6
02/04/2021,16.62,N/A,16.62,16.62,16.62
02/03/2021,16.67,N/A,16.67,16.67,16.67
02/02/2021,16.72,N/A,16.72,16.72,16.72
