Date,Close/Last,Volume,Open,High,Low
07/02/2021,55.27,980685,55.25,55.28,55.23
07/01/2021,55.23,1429692,55.22,55.23,55.18
06/30/2021,55.3,1288385,55.27,55.31,55.26
06/29/2021,55.23,1286073,55.23,55.26,55.22
06/28/2021,55.22,1310952,55.24,55.25,55.22
06/25/2021,55.17,1180372,55.17,55.2,55.15
06/24/2021,55.18,862567,55.15,55.2,55.15
06/23/2021,55.19,1284686,55.25,55.26,55.14
06/22/2021,55.27,1031959,55.31,55.31,55.21
06/21/2021,55.24,987622,55.3,55.3,55.23
06/18/2021,55.3,1173845,55.33,55.35,55.27
06/17/2021,55.34,2049199,55.28,55.35,55.26
06/16/2021,55.28,1055920,55.41,55.41,55.26
06/15/2021,55.42,1205230,55.43,55.45,55.38
06/14/2021,55.43,1160857,55.45,55.46,55.42
06/11/2021,55.44,982312,55.46,55.46,55.405
06/10/2021,55.46,1576163,55.42,55.46,55.41
06/09/2021,55.42,1121027,55.34,55.43,55.34
06/08/2021,55.27,1155939,55.27,55.29,55.26
06/07/2021,55.22,2255474,55.2,55.23,55.19
06/04/2021,55.24,1215656,55.17,55.24,55.1637
06/03/2021,55.13,1396667,55.17,55.18,55.11
06/02/2021,55.13,1303755,55.12,55.19,55.12
06/01/2021,55.11,1066132,55.14,55.14,55.1
05/28/2021,55.16,655974,55.15,55.2,55.14
05/27/2021,55.16,769953,55.17,55.17,55.13
05/26/2021,55.17,1145052,55.13,55.17,55.11
05/25/2021,55.13,1001076,55.09,55.13,55.07
05/24/2021,55.06,831937,55.04,55.08,55.03
05/21/2021,55.05,1065906,55.07,55.07,55.025
05/20/2021,55,1351854,54.92,55.03,54.92
05/19/2021,54.94,1049654,55,55.03,54.94
05/18/2021,55.02,1079029,55.01,55.03,54.9717
05/17/2021,55.01,1003940,54.96,55.02,54.96
05/14/2021,54.97,948316,55.02,55.02,54.95
05/13/2021,54.95,897643,54.91,54.95,54.9
05/12/2021,54.94,1471276,54.97,54.9811,54.9
05/11/2021,55.01,1181607,55.01,55.04,54.97
05/10/2021,55.04,1155290,55.06,55.09,55.04
05/07/2021,55.08,1355828,55.06,55.08,55.02
05/06/2021,55.04,1144539,55.02,55.05,55
05/05/2021,55,825180,54.99,55.01,54.97
05/04/2021,54.94,1480578,54.96,55.01,54.94
05/03/2021,54.96,1578274,55,55.01,54.95
04/30/2021,55.03,921390,55.04,55.0599,55.02
04/29/2021,55.06,1382961,55.09,55.09,55.02
04/28/2021,55.13,1399973,55.14,55.15,55.04
04/27/2021,55.15,6505527,55.2,55.25,55.12
04/26/2021,55.17,1048349,55.19,55.19,55.14
04/23/2021,55.15,1388336,55.18,55.18,55.13
04/22/2021,55.18,972993,55.11,55.18,55.1
04/21/2021,55.13,821256,55.13,55.155,55.09
04/20/2021,55.12,1151297,55.1,55.14,55.08
04/19/2021,55.12,1074711,55.1,55.1386,55.06
04/16/2021,55.12,1051096,55.12,55.14,55.1
04/15/2021,55.15,1505972,55.06,55.18,55.06
04/14/2021,54.96,1327213,54.9,54.98,54.88
04/13/2021,54.88,966850,54.87,54.92,54.85
04/12/2021,54.83,1005699,54.81,54.89,54.8
04/09/2021,54.82,827897,54.84,54.84,54.77
04/08/2021,54.78,990300,54.73,54.83,54.72
04/07/2021,54.7,1183917,54.67,54.76,54.66
04/06/2021,54.68,1172189,54.63,54.7,54.6286
04/05/2021,54.58,1569868,54.64,54.654,54.58
04/01/2021,54.63,1013529,54.67,54.67,54.59
03/31/2021,54.64,1011791,54.66,54.7,54.64
03/30/2021,54.66,798337,54.6,54.67,54.59
03/29/2021,54.59,875516,54.68,54.68,54.59
03/26/2021,54.63,796127,54.58,54.6499,54.58
03/25/2021,54.63,831193,54.67,54.68,54.6
03/24/2021,54.6,1361577,54.6,54.62,54.55
03/23/2021,54.51,1447079,54.55,54.5857,54.51
03/22/2021,54.46,1455052,54.47,54.485,54.44
03/19/2021,54.47,1105740,54.5,54.5,54.4
03/18/2021,54.45,1283328,54.58,54.58,54.38
03/17/2021,54.65,1132140,54.65,54.7,54.6119
03/16/2021,54.74,995223,54.7,54.77,54.7
03/15/2021,54.68,860996,54.68,54.72,54.67
03/12/2021,54.65,1427682,54.68,54.684,54.55
03/11/2021,54.76,1372091,54.74,54.7699,54.71
03/10/2021,54.67,1179752,54.6,54.68,54.58
03/09/2021,54.58,1458135,54.55,54.62,54.52
03/08/2021,54.47,843211,54.48,54.5,54.45
03/05/2021,54.44,1019259,54.4,54.45,54.36
03/04/2021,54.37,1740068,54.38,54.48,54.19
03/03/2021,54.36,1392283,54.38,54.38,54.3
03/02/2021,54.39,1473175,54.34,54.43,54.33
03/01/2021,54.38,1343430,54.28,54.39,54.28
02/26/2021,54.44,1426880,54.3,54.48,54.28
02/25/2021,54.38,2638913,54.49,54.49,54.3
02/24/2021,54.56,3632782,54.51,54.62,54.5
02/23/2021,54.74,1592388,54.6,54.75,54.57
02/22/2021,54.74,1665766,54.96,55.0086,54.68
02/19/2021,55.03,2207482,55.13,55.14,54.93
02/18/2021,55.17,1152654,55.26,55.26,55.11
02/17/2021,55.32,1519901,55.39,55.41,55.275
02/16/2021,55.4,1505545,55.5,55.5,55.38
02/12/2021,55.51,1028427,55.5,55.51,55.48
02/11/2021,55.49,1253168,55.5,55.515,55.46
02/10/2021,55.51,1813087,55.46,55.51,55.45
02/09/2021,55.45,1398589,55.37,55.46,55.37
02/08/2021,55.37,1413524,55.35,55.38,55.34
02/05/2021,55.35,1178342,55.33,55.37,55.33
02/04/2021,55.36,1448538,55.36,55.37,55.32
02/03/2021,55.31,1240155,55.33,55.3588,55.29
02/02/2021,55.33,1108346,55.35,55.35,55.3
02/01/2021,55.32,1307465,55.32,55.34,55.2801
01/29/2021,55.38,1023122,55.37,55.38,55.33
01/28/2021,55.35,1087893,55.42,55.4348,55.32
01/27/2021,55.43,1053971,55.39,55.45,55.3774
01/26/2021,55.37,1430019,55.28,55.37,55.27
01/25/2021,55.27,1169827,55.23,55.27,55.23
01/22/2021,55.21,1609584,55.18,55.23,55.175
01/21/2021,55.13,1341241,55.19,55.2,55.12
