Date,Close/Last,Volume,Open,High,Low
07/02/2021,138.82,1741690,138.54,138.94,138.155
07/01/2021,138.39,2086881,137.93,138.55,137.77
06/30/2021,137.46,2967838,136.76,137.64,136.76
06/29/2021,136.92,2494993,137.61,137.93,136.75
06/28/2021,137.25,2522105,137.87,137.87,136.83
06/25/2021,137.86,1913023,137.25,138.01,136.98
06/24/2021,136.99,1932856,136.71,137.135,136.38
06/23/2021,136.71,2231436,137.28,137.5,136.7066
06/22/2021,137.17,2192189,137.14,137.57,136.47
06/21/2021,137.08,2147061,135.43,137.1164,135.37
06/18/2021,134.52,4127779,135.69,135.82,134.44
06/17/2021,137.17,2963343,139,139.11,136.35
06/16/2021,138.88,2524679,139.8,139.8,138.337
06/15/2021,139.85,2540653,139.69,140.14,139.29
06/14/2021,139.68,1931929,140.32,140.32,138.98
06/11/2021,140.37,1824373,140.63,140.7055,139.8201
06/10/2021,140.27,2877467,141.03,141.3,140.17
06/09/2021,140.32,2020140,140.91,140.91,140.27
06/08/2021,140.78,2090977,140.97,140.97,140.07
06/07/2021,140.97,2135965,141.41,141.42,140.74
06/04/2021,141.17,4316405,141.31,141.33,140.729
06/03/2021,140.72,3876907,139.94,140.9598,139.65
06/02/2021,140.44,3188966,140.52,140.57,139.78
06/01/2021,140.09,3055128,141,141.0843,139.9
05/28/2021,139.95,2267421,140.32,140.33,139.69
05/27/2021,139.75,2579118,140.11,140.4,139.46
05/26/2021,139.27,2287123,139.19,139.419,138.54
05/25/2021,139.01,2856175,140.17,140.23,138.805
05/24/2021,139.88,3195328,140.06,140.25,139.505
05/21/2021,139.31,2600223,139.32,140.12,138.98
05/20/2021,138.81,2609317,138.24,139.31,137.81
05/19/2021,138.13,3394068,137.62,138.13,136.31
05/18/2021,138.94,2720593,140.14,140.35,138.87
05/17/2021,140.28,3873363,140.12,140.63,139.75
05/14/2021,140.16,4060555,139.34,140.51,139.31
05/13/2021,138.62,4057322,136.66,139.2466,136.575
05/12/2021,136.67,6327091,138.83,139.09,136.5599
05/11/2021,138.91,4112556,139.65,140.17,138.22
05/10/2021,140.81,3721507,141.36,142.28,140.76
05/07/2021,140.61,2598272,139.29,140.7499,139.01
05/06/2021,139.6,3270924,138.52,139.64,137.97
05/05/2021,138.4,2633074,138.1,138.65,137.56
05/04/2021,137.7,3076914,137.02,137.7,136.42
05/03/2021,137.31,2853472,136.97,137.83,136.78
04/30/2021,135.98,3212490,136.32,136.4889,135.705
04/29/2021,136.82,2674657,136.116,136.86,135.789
04/28/2021,135.63,1795370,135.64,135.87,135.36
04/27/2021,135.38,2807716,135.25,135.555,134.78
04/26/2021,135.12,1857204,135.5,135.8104,134.99
04/23/2021,135.3,5335605,134.3,135.72,134.08
04/22/2021,134.27,3915799,135.5,135.5,134.02
04/21/2021,135.39,2161003,134,135.5,133.78
04/20/2021,133.99,2734941,134.51,134.53,133.59
04/19/2021,135.02,2385225,135.06,135.3799,134.66
04/16/2021,135.35,2444499,135.18,135.57,134.9607
04/15/2021,134.57,3309306,134.28,134.63,133.78
04/14/2021,133.8,2426324,133.23,134.295,133.14
04/13/2021,133.28,2381700,133.23,133.49,132.5441
04/12/2021,133.71,1898790,133.5,133.94,133.344
04/09/2021,133.62,2133558,133.07,133.65,132.79
04/08/2021,132.85,2584631,132.95,132.95,132.27
04/07/2021,133.02,2201235,133.22,133.53,132.57
04/06/2021,133.06,2759403,133.08,133.56,132.9
04/05/2021,133.19,3393696,133.14,133.58,132.83
04/01/2021,132.12,3430155,131.47,132.16,131.1066
03/31/2021,131.46,3251464,132.02,132.2194,131.36
03/30/2021,132.06,3321715,132.11,132.396,131.73
03/29/2021,132.11,4046916,131.55,132.61,131.23
03/26/2021,132.31,3329797,131.19,132.45,130.63
03/25/2021,130.21,3783849,128.51,130.4556,127.7
03/24/2021,129.39,3911523,129.84,130.9399,129.38
03/23/2021,129.29,2789721,130.3,130.69,128.94
03/22/2021,130.88,2762612,130.53,131.165,130.107
03/19/2021,130.74,3482265,131.18,131.435,129.83
03/18/2021,131.31,6661614,131.99,132.87,131.01
03/17/2021,131.82,2996766,131.49,131.85,130.62
03/16/2021,131.26,3179873,131.98,132,130.965
03/15/2021,132.1,4114881,131.92,132.21,130.87
03/12/2021,131.79,3838537,131.2,131.83,131.01
03/11/2021,130.6,5593449,130.81,131.496,130.26
03/10/2021,130.67,6059513,129.29,131.099,129.29
03/09/2021,128.94,6141974,129.63,130.385,128.86
