Date,Close/Last,Volume,Open,High,Low
06/28/2021,55.55,22644850,55.48,55.62,55.4
06/25/2021,55.5,24992360,55.52,55.59,55.29
06/24/2021,55.04,20096390,54.86,55.09,54.81
06/23/2021,54.54,26049150,54.6,54.9,54.51
06/22/2021,54.21,35862640,54,54.26,53.85
06/21/2021,54.46,26977430,54.17,54.46,53.92
06/18/2021,54.23,42443620,54.38,54.48,54.125
06/17/2021,54.61,27847210,54.54,54.8199,54.45
06/16/2021,54.31,44138310,54.95,55.095,54.09
06/15/2021,55.06,34121410,55.3,55.31,54.94
06/14/2021,55.44,26421440,55.33,55.56,55.27
06/11/2021,55.29,28375690,55.34,55.385,55.1122
06/10/2021,55.48,28571090,55.24,55.5574,55.19
06/09/2021,55.28,30916920,55.38,55.53,55.23
06/08/2021,55.44,38113850,55.52,55.5466,55.26
06/07/2021,55.71,24830480,55.71,55.74,55.46
06/04/2021,55.99,29038050,55.88,56.03,55.8
06/03/2021,55.49,40790470,55.51,55.6575,55.34
06/02/2021,56.09,24532460,55.92,56.13,55.77
06/01/2021,56,41656080,56.14,56.175,55.82
05/28/2021,54.87,43730270,54.66,55,54.64
05/27/2021,54.52,35598900,54.56,54.67,54.4
05/26/2021,54.51,26984840,54.32,54.57,54.3
05/25/2021,54.11,40993680,54.27,54.36,54.03
05/24/2021,53.58,22406820,53.39,53.71,53.28
05/21/2021,53.14,39111020,53.74,53.74,53.06
05/20/2021,53.76,33273040,53.53,53.87,53.52
05/19/2021,53.45,46284090,52.95,53.65,52.91
05/18/2021,53.61,32405560,53.59,53.88,53.52
05/17/2021,52.9,23169220,52.61,52.94,52.53
05/14/2021,52.95,40363000,52.61,53.035,52.48
05/13/2021,52.01,42935500,52.24,52.51,51.74
05/12/2021,52.08,53632890,52.68,52.905,52.01
05/11/2021,53.56,37374270,52.7,53.58,52.66
05/10/2021,53.71,40686940,54.47,54.49,53.66
05/07/2021,54.69,41590550,54.46,54.93,54.39
05/06/2021,54.13,29454310,53.9,54.16,53.73
05/05/2021,53.62,16731920,53.63,53.8,53.455
05/04/2021,53.37,38634820,53.58,53.66,52.98
