Date,Close/Last,Volume,Open,High,Low
06/28/2021,20.46,318,20.44,20.46,20.44
06/25/2021,20.345,6278,20.34,20.37,20.27
06/24/2021,20.13,691,20,20.13,20
06/23/2021,19.9114,1079,19.94,19.98,19.89
06/22/2021,19.6537,1,19.6537,19.6537,19.6537
06/21/2021,19.8003,460,19.77,19.8003,19.77
06/18/2021,19.7017,457,19.795,19.8,19.7017
06/17/2021,19.781,1673,19.71,19.81,19.71
06/16/2021,19.4732,138,19.4732,19.4732,19.4732
06/15/2021,19.8122,4101,19.82,19.82,19.79
06/14/2021,19.9075,1331,20,20,19.89
06/11/2021,19.858,1196,19.801,19.858,19.801
06/10/2021,19.8237,1148,19.77,19.839,19.77
06/09/2021,19.569,567,19.67,19.67,19.569
06/08/2021,19.635,800,19.611,19.635,19.611
06/07/2021,19.759,26,19.759,19.759,19.759
06/04/2021,19.9231,307,19.9199,19.9231,19.9199
06/03/2021,19.6901,538,19.77,19.77,19.6901
06/02/2021,19.9478,1623,19.99,19.99,19.91
06/01/2021,20.1395,2810,20.04,20.175,20.04
05/28/2021,19.3788,1883,19.2,19.439,19.2
05/27/2021,19.2658,815,19.22,19.269,19.22
05/26/2021,19.2874,468,19.26,19.2874,19.241
05/25/2021,19.1385,48,19.1385,19.1385,19.1385
05/24/2021,18.8879,1978,18.71,18.938,18.7
05/21/2021,18.6599,6401,18.85,18.85,18.6599
05/20/2021,18.8817,1017,18.83,18.8817,18.81
05/19/2021,18.6224,1133,18.33,18.72,18.33
05/18/2021,18.7056,1896,18.69,18.77,18.6539
05/17/2021,18.315,229,18.26,18.315,18.26
05/14/2021,18.3757,656,18.1,18.3757,18.1
05/13/2021,18.0236,4693,18.08,18.2,17.901
05/12/2021,18.08,611,18.06,18.17,18.04
05/11/2021,18.6348,853,18.28,18.6348,18.28
05/10/2021,18.7154,984,19.16,19.16,18.7154
05/07/2021,19.4219,1323,19.495,19.51,19.4006
05/06/2021,19.2225,109,19.2225,19.2225,19.2225
05/05/2021,19.0598,1795,19.1,19.1405,18.99
05/04/2021,19.1,887,19,19.1,19
05/03/2021,19.4048,178,19.4048,19.4048,19.4048
04/30/2021,19.5029,229,19.57,19.57,19.5029
04/29/2021,19.8504,1172,19.801,19.8504,19.8
04/28/2021,20.0141,14649,19.92,20.0141,19.89
04/27/2021,19.9437,1772,20.0099,20.0099,19.88
04/26/2021,19.84,11614,19.77,19.9,19.77
04/23/2021,19.9532,890,19.67,19.9532,19.67
04/22/2021,19.4,1140,19.563,19.57,19.4
04/21/2021,19.45,4645,19.21,19.4519,19.15
04/20/2021,19.3466,23434,19.41,19.431,19.23
04/19/2021,19.428,512,19.46,19.46,19.4
04/16/2021,19.4981,2938,19.4717,19.505,19.4717
04/15/2021,19.4296,641,19.38,19.4296,19.38
04/14/2021,19.2265,809,19.3315,19.3315,19.2265
04/13/2021,19.1974,1770,19.1,19.1974,19.1
04/12/2021,19.0984,2573,19.0907,19.1,19.0836
04/09/2021,19.401,860,19.425,19.425,19.32
04/08/2021,19.6749,1099,19.738,19.79,19.6749
04/07/2021,19.3546,510,19.47,19.47,19.31
04/06/2021,19.8331,1348,19.87,19.87,19.83
04/05/2021,19.6814,5735,19.685,19.72,19.62
04/01/2021,19.5643,329,19.54,19.595,19.54
03/31/2021,19.1273,1370,18.9999,19.1273,18.9999
03/30/2021,18.9473,1138,18.8,18.9999,18.8
03/29/2021,18.7074,895,18.64,18.7761,18.64
03/26/2021,18.9511,1705,18.85,18.9511,18.5339
03/25/2021,18.48,2539,18.35,18.48,18.26
03/24/2021,18.28,4701,18.64,18.64,18.27
03/23/2021,18.94,22435,19.15,19.15,18.87
03/22/2021,19.4575,8190,19.3179,19.5,19.3179
03/19/2021,19.5251,513,19.2785,19.5251,19.2785
03/18/2021,19.28,3774,19.48,19.51,19.28
03/17/2021,19.7076,1038,19.34,19.7076,19.34
03/16/2021,19.7064,249,19.755,19.755,19.7064
03/15/2021,19.5345,3391,19.51,19.5399,19.37
03/12/2021,19.5725,935,19.62,19.62,19.471
03/11/2021,20.0604,1976,19.87,20.0604,19.87
03/10/2021,19.2116,358,19.308,19.31,19.2116
03/09/2021,19.37,1728,19.255,19.4399,19.175
03/08/2021,18.8,2698,19.24,19.24,18.8
03/05/2021,19.7682,9322,19.92,19.92,19.4
03/04/2021,19.5805,6272,20.11,20.11,19.37
03/03/2021,20.346,2643,20.57,20.67,20.34
03/02/2021,20.4672,2269,20.7,20.7,20.44
03/01/2021,20.8448,2754,20.6568,20.8448,20.6568
02/26/2021,20.1456,21986,20.26,20.26,19.91
02/25/2021,20.3964,84162,20.88,20.9,20.3115
02/24/2021,20.9,14484,20.9,20.9,20.59
02/23/2021,21.2232,54559,21.16,21.2232,20.75
02/22/2021,21.4863,7014,21.7,21.7,21.4721
02/19/2021,22.3912,7707,22.38,22.53,22.3307
02/18/2021,22.1866,1997,22.23,22.23,21.96
02/17/2021,22.6656,46745,22.6,22.77,22.5029
02/16/2021,22.5824,6847,22.78,22.81,22.5824
