Date,Close/Last,Volume,Open,High,Low
06/28/2021,109.0501,3188,109.13,109.15,108.79
06/25/2021,108.9474,3185,109.2,109.2,108.39
06/24/2021,107.3361,8067,106.45,107.3361,106.45
06/23/2021,105.283,2803,105.53,106.42,105.283
06/22/2021,104.1225,4483,103.43,104.1225,103.037
06/21/2021,105.05,17703,103.84,105.05,102.96
06/18/2021,104.148,8806,104.6,104.91,103.82
06/17/2021,105.6251,4287,106.0201,106.22,105.3397
06/16/2021,104.49,6384,107.03,107.29,104.15
06/15/2021,107.2009,4160,108.52,108.52,107.19
06/14/2021,108.88,24375,108.54,109.54,108.5
06/11/2021,108.1691,1864,108.78,108.78,108.01
06/10/2021,108.9768,5064,107.9,109.1564,107.68
06/09/2021,107.1902,1360,107.81,107.81,107.181
06/08/2021,108.1285,47060,108.4,108.4,107.44
06/07/2021,108.988,3834,109.11,109.11,108.28
06/04/2021,110.1786,3598,109.715,110.295,109.715
06/03/2021,108.0352,6902,108.59,108.649,107.935
06/02/2021,110.4992,2152,110.22,110.4992,110.045
06/01/2021,110.31,12024,110.67,110.67,109.881
05/28/2021,105.96,7121,104.89,106.3,104.89
05/27/2021,104.7246,3250,104.57,105,104.19
05/26/2021,104.4853,3163,103.83,104.78,103.83
05/25/2021,103.0387,2936,103.32,103.82,102.9
05/24/2021,101.0482,19109,100.06,101.375,100.06
05/21/2021,99.28,3082,100.4001,100.4001,99.16
05/20/2021,101.8133,5246,101.01,101.8133,101.01
05/19/2021,100.79,8836,99.235,101.29,99.235
05/18/2021,101.33,3333,101.58,102.102,101.33
05/17/2021,98.66,11375,97.62,98.66,97.28
05/14/2021,98.68,7395,97.51,99.11,97.4
05/13/2021,95.381,16631,95.87,97.029,94.535
05/12/2021,95.4,27961,97.98,98.51,95.32
05/11/2021,100.9358,12145,97.94,100.9358,97.61
05/10/2021,101.5895,6079,104.61,104.61,101.5895
05/07/2021,105.63,5651,105,106.025,105
05/06/2021,103.5,11636,102.3335,103.5,102.1601
05/05/2021,101.3803,1849,101.5,101.9577,101.3803
05/04/2021,100.5349,9984,101.04,101.04,99.1
