Date,Close/Last,Volume,Open,High,Low
06/28/2021,100.73,242431,100.09,100.7903,100.09
06/25/2021,99.95,196049,100.1,100.1,99.72
06/24/2021,99.89,229864,99.81,100.155,99.6905
06/23/2021,99.28,207806,99.38,99.615,99.2377
06/22/2021,99.28,299446,98.46,99.4399,98.425
06/21/2021,98.45,284975,97.77,98.491,97.1868
06/18/2021,97.52,244748,97.83,98.06,97.43
06/17/2021,98.36,262084,97.28,98.54,97.185
06/16/2021,97.42,285063,97.98,98.1096,96.6169
06/15/2021,97.81,1753673,98.08,98.22,97.6301
06/14/2021,98.16,292517,97.58,98.16,97.2631
06/11/2021,97.43,292462,97.33,97.4488,97.06
06/10/2021,97.17,281650,96.58,97.22,96.475
06/09/2021,96.54,185988,96.86,97,96.4599
06/08/2021,96.54,196477,96.68,96.91,96.0904
06/07/2021,96.31,215805,96.14,96.34,95.9
06/04/2021,96.13,266144,95.47,96.27,95.37
06/03/2021,94.94,238713,95.01,95.2931,94.39
06/02/2021,95.59,414578,95.74,95.89,95.2503
06/01/2021,95.58,438410,96.47,96.47,95.38
05/28/2021,96.04,1504119,96.21,96.45,95.9
05/27/2021,95.77,218226,96.01,96.28,95.75
05/26/2021,95.95,179622,96.02,96.1495,95.74
05/25/2021,95.77,189381,96.15,96.22,95.62
05/24/2021,95.75,209154,95,95.96,94.915
05/21/2021,94.4,660136,95.27,95.27,94.28
05/20/2021,94.8,202155,93.68,95.005,93.6701
05/19/2021,93.25,926774,92.052,93.35,91.87
05/18/2021,93.36,203426,94.31,94.4,93.28
05/17/2021,94.11,216427,94.14,94.22,93.3977
05/14/2021,94.56,282317,93.66,94.7151,93.6
05/13/2021,92.85,279652,92.58,93.362,92.21
05/12/2021,91.91,346312,92.99,93.43,91.6532
05/11/2021,94.26,849546,93.192,94.42,93
05/10/2021,94.77,270891,96.26,96.26,94.66
05/07/2021,96.55,206132,96.54,97,96.2
05/06/2021,95.9,256826,95.1,95.9,94.5419
05/05/2021,95.24,339319,95.85,96.0586,95.04
05/04/2021,95.47,699456,95.98,96.04,94.34
05/03/2021,96.7,641966,97.22,97.458,96.54
04/30/2021,96.93,347484,96.9,97.43,96.7
04/29/2021,97.67,204883,98.16,98.235,96.75
04/28/2021,97.37,244080,97.5,97.805,97.2027
04/27/2021,97.52,299103,97.82,97.91,97.29
04/26/2021,97.75,236672,97.32,97.8293,97.25
04/23/2021,97.31,200561,96.38,97.62,96.15
