Date,Close/Last,Volume,Open,High,Low
06/28/2021,36.235,726976,36.11,36.25,36.11
06/25/2021,36.01,6924,36.1901,36.2101,35.98
06/24/2021,36.23,4370,36.23,36.26,36.2
06/23/2021,36.19,6119,36.2,36.23,36.14
06/22/2021,36.26,12732,36.06,36.27,36.06
06/21/2021,36.21,73535,36.31,36.32,36.162
06/18/2021,36.54,4739,36.33,36.54,36.33
06/17/2021,36.18,5602,35.95,36.33,35.95
06/16/2021,35.88,2560,36.01,36.09,35.8
06/15/2021,35.99,3137,35.96,36,35.89
06/14/2021,36,8652,36.14,36.14,35.97
06/11/2021,36.19,5333,36.2,36.2,36.1325
06/10/2021,36.17,34834,35.96,36.18,35.96
06/09/2021,36.09,3894,36.02,36.09,36.02
06/08/2021,35.9,11684,35.9459,35.9459,35.87
06/07/2021,35.75,5790,35.77,35.78,35.73
06/04/2021,35.8,9119,35.6,35.81,35.6
06/03/2021,35.54,21084,35.54,35.54,35.52
06/02/2021,35.61,5284,35.625,35.6597,35.61
06/01/2021,35.55,127645,35.502,35.57,35.46
05/28/2021,35.58,8698,35.59,35.7,35.58
05/27/2021,35.59,5189,35.5973,35.5973,35.55
05/26/2021,35.69,15177,35.73,35.7999,35.65
05/25/2021,35.74,6710,35.61,35.74,35.61
05/24/2021,35.53,17938,35.5,35.594,35.5
05/21/2021,35.49,11426,35.49,35.5395,35.44
05/20/2021,35.43,4690,35.43,35.49,35.41
05/19/2021,35.26,6152,35.36,35.46,35.24
05/18/2021,35.36,8323,35.34,35.37,35.29
05/17/2021,35.38,9774,35.37,35.4,35.37
05/14/2021,35.4,10288,35.39,35.42,35.32
05/13/2021,35.27,5799,35.27,35.3,35.26
05/12/2021,35.21,25687,35.32,35.34,35.18
05/11/2021,35.43,11925,35.48,35.48,35.43
05/10/2021,35.54,8785,35.67,35.72,35.52
05/07/2021,35.71,14082,35.83,35.9,35.6735
05/06/2021,35.79,13939,35.69,35.83,35.69
05/05/2021,35.74,13586,35.69,35.76,35.66
05/04/2021,35.705,15275,35.73,35.8175,35.67
05/03/2021,35.59,67227,35.612,35.74,35.56
04/30/2021,35.59,143385,35.55,35.59,35.49
04/29/2021,35.53,28414,35.35,35.53,35.35
04/28/2021,35.59,36282,35.54,35.6,35.49
04/27/2021,35.55,35488,35.69,35.716,35.55
04/26/2021,35.78,16841,35.78,35.83,35.751
04/23/2021,35.77,5688,35.81,35.81,35.71
04/22/2021,35.81,15780,35.77,35.83,35.65
04/21/2021,35.74,10529,35.71,35.7711,35.6697
04/20/2021,35.73,10463,35.59,35.74,35.59
04/19/2021,35.62,17505,35.54,35.669,35.54
04/16/2021,35.67,13379,35.64,35.74,35.64
04/15/2021,35.84,17748,35.68,35.91,35.68
04/14/2021,35.48,20653,35.49,35.52,35.44
04/13/2021,35.54,13051,35.37,35.55,35.37
04/12/2021,35.38,23052,35.39,35.395,35.34
04/09/2021,35.42,15990,35.41,35.506,35.4
04/08/2021,35.5,10006,35.46,35.5,35.43
04/07/2021,35.34,183403,35.4,35.485,35.33
04/06/2021,35.43,9398185,35.33,35.4599,35.33
04/05/2021,35.27,35956,35.26,35.27,35.14
04/01/2021,35.36,113223,35.26,35.39,35.24
03/31/2021,35.09,11668,35.19,35.21,35.02
03/30/2021,35.19,40762,35.024,35.2,35
03/29/2021,35.11,9522,35.34,35.34,35.07
03/26/2021,35.28,11308,35.27,35.37,35.2501
03/25/2021,35.41,6235,35.49,35.52,35.4
03/24/2021,35.51,28201,35.361,35.53,35.35
03/23/2021,35.43,11095,35.27,35.44,35.242
03/22/2021,35.21,16446,35.14,35.24,35.1
03/19/2021,35.02,16386,34.945,35.03,34.924
03/18/2021,34.96,12078,34.84,34.98,34.8112
03/17/2021,35.18,18142,35.13,35.1995,35.04
03/16/2021,35.32,12507,35.41,35.43,35.29
03/15/2021,35.37,17246,35.37,35.41,35.32
03/12/2021,35.26,24273,35.31,35.31,35.21
03/11/2021,35.71,5455,35.69,35.7299,35.66
03/10/2021,35.8,10696,35.76,35.81,35.7146
03/09/2021,35.74,6986,35.735,35.755,35.67
03/08/2021,35.48,55195,35.61,35.61,35.48
03/05/2021,35.65,41902,35.51,35.6983,35.51
03/04/2021,35.64,22626,35.85,35.875,35.576
03/03/2021,35.82,20382,35.84,35.8803,35.7415
03/02/2021,36.08,13056,36.028,36.08,36
03/01/2021,36.04,16716,36,36.09,35.94
02/26/2021,36.3,12611,35.95,36.3,35.775
02/25/2021,35.63,87083,35.87,35.92,35.41
02/24/2021,36.11,127635,35.91,36.14,35.84
02/23/2021,36.25,145252,36.19,36.32,36.18
02/22/2021,36.28,247144,36.37,36.48,36.19
02/19/2021,36.45,6506,36.55,36.55,36.41
02/18/2021,36.74,9691,36.63,36.77,36.63
02/17/2021,36.78,21619,36.8,36.84,36.7
02/16/2021,36.65,17840,36.74,36.8,36.65
02/12/2021,37.04,13249,37.11,37.155,37.03
02/11/2021,37.28,36269,37.39,37.39,37.26
02/10/2021,37.36,36453,37.29,37.37,37.29
02/09/2021,37.23,15616,37.3493,37.3493,37.23
02/08/2021,37.22,19428,37.1922,37.2958,37.1601
02/05/2021,37.15,39170,37.28,37.34,37.15
02/04/2021,37.32,27671,37.29,37.348,37.26
02/03/2021,37.38,56276,37.46,37.475,37.36
02/02/2021,37.54,22022,37.493,37.55,37.471
02/01/2021,37.67,100591,37.64,37.72,37.63
01/29/2021,37.63,9991,37.57,37.675,37.565
01/28/2021,37.76,30150,37.81,37.84,37.68
01/27/2021,37.87,20749,37.9,37.9545,37.865
01/26/2021,37.82,20428,37.78,37.845,37.777
01/25/2021,37.83,11898,37.72,37.8631,37.72
01/22/2021,37.61,28197,37.59,37.63,37.57
01/21/2021,37.54,61770,37.54,37.5837,37.51
01/20/2021,37.67,26276,37.6,37.68,37.6
01/19/2021,37.66,20497,37.57,37.68,37.57
01/15/2021,37.63,14170,37.68,37.71,37.62
01/14/2021,37.54,79430,37.68,37.719,37.48
01/13/2021,37.72,10574,37.6,37.76,37.555
01/12/2021,37.51,13099,37.42,37.52,37.35
01/11/2021,37.5,24343,37.51,37.54,37.45
01/08/2021,37.56,18323,37.59,37.63,37.51
01/07/2021,37.665,25638,37.67,37.6814,37.581
01/06/2021,37.85,103002,37.93,37.93,37.73
01/05/2021,38.26,200830,38.33,38.33,38.16
01/04/2021,38.39,152498,38.28,38.4714,38.28
12/31/2020,38.43,6369,38.4,38.46,38.4
12/30/2020,38.38,24714,38.36,38.4,38.3006
12/29/2020,38.33,7631,38.23,38.3634,38.23
12/28/2020,38.37,22823,38.24,38.37,38.2006
12/24/2020,38.34,7649,38.37,38.37,38.339
12/23/2020,38.26,33397,38.255,38.27,38.1405
12/22/2020,38.42,51525,38.43,38.45,38.38
12/21/2020,38.34,21981,38.36,38.36,38.271
12/18/2020,38.29,7970,38.38,38.4,38.2601
12/17/2020,38.34,16316,38.52,38.55,38.31
12/16/2020,38.4,17294,38.3,38.46,38.3
12/15/2020,38.46,6753,38.45,38.54,38.39
12/14/2020,38.52,18019,38.41,38.55,38.3969
12/11/2020,38.58,5746,38.55,38.66,38.53
12/10/2020,38.49,10038,38.33,38.49,38.32
12/09/2020,38.31,12245,38.29,38.3685,38.25
12/08/2020,38.39,46058,38.41,38.44,38.39
12/07/2020,38.29,7217,38.26,38.34,38.24
12/04/2020,38.11,14995,38.1,38.14,38.09
12/03/2020,38.42,15740,38.33,38.42,38.3218
