Date,Close/Last,Volume,Open,High,Low
06/28/2021,71.51,1289182,70.4,71.57,70.33
06/25/2021,69.83,1653742,70.22,70.33,69.58
06/24/2021,69.98,1822448,69.96,70.62,69.72
06/23/2021,69.12,2352409,69.06,69.61,68.8189
06/22/2021,69.07,1867879,67.74,69.26,67.61
06/21/2021,67.8,3670073,67.07,67.94,66.17
06/18/2021,66.99,2951083,67.41,67.86,66.69
06/17/2021,68.05,2676915,65.97,68.46,65.95
06/16/2021,66.37,3153193,67.05,67.48,64.99
06/15/2021,66.85,1515955,67.61,67.75,66.59
06/14/2021,67.75,1714315,66.67,67.76,66.2
06/11/2021,66.48,1324793,66.15,66.49,65.89
06/10/2021,66.16,1765751,64.938,66.19,64.78
06/09/2021,64.8,1826471,65.32,65.62,64.73
06/08/2021,64.74,2144151,65.405,65.74,64.11
06/07/2021,64.69,2074254,64.07,64.73,63.85
06/04/2021,64.36,3203367,62.92,64.5,62.875
06/03/2021,62.17,2331894,62.42,62.93,61.57
06/02/2021,63.54,1864195,63.47,63.87,62.8703
06/01/2021,63.3,2272164,64.26,64.445,62.79
05/28/2021,63.69,2977021,63.81,64.36,63.62
05/27/2021,63.34,1747186,63.63,63.9695,63.28
05/26/2021,63.8,2076608,63.65,64,63.3701
05/25/2021,63.38,2730756,63.81,64.0848,62.92
05/24/2021,63.215,3233998,62.045,63.64,61.895
05/21/2021,61.14,5329276,62.45,62.6,61.01
05/20/2021,61.84,4921340,60.095,62.17,60.035
05/19/2021,59.535,6531678,57.36,59.655,57.23
05/18/2021,59.395,3204350,60.6,61.045,59.315
05/17/2021,60.225,3379706,60.28,60.56,59.135
05/14/2021,60.96,4236500,59.605,61.315,59.395
05/13/2021,58.41,4711368,58.605,59.495,57.505
05/12/2021,57.52,4545670,58.735,59.63,57.19
05/11/2021,60.66,4494922,58.53,60.95,58.3
05/10/2021,60.775,4005590,63.51,63.5701,60.75
05/07/2021,64.03,2837426,64.115,64.995,63.635
05/06/2021,63.04,3603686,62.01,63.095,61.135
05/05/2021,62.07,1106632,63.325,63.655,61.8125
05/04/2021,62.52,4904892,63.84,63.9625,61.0101
05/03/2021,64.865,2963558,66.04,66.3346,64.7
04/30/2021,65.535,2409912,65.455,66.45,65.225
04/29/2021,66.435,3281504,67.275,67.45,65.17
04/28/2021,65.885,2808242,66.305,66.705,65.73
04/27/2021,66.41,2005380,67.12,67.19,66.045
04/26/2021,67.025,2026392,66.265,67.1131,65.9644
04/23/2021,66.17,2386100,64.795,66.6725,64.795
04/22/2021,64.55,3601814,65.965,66.375,64.0799
04/21/2021,66.14,2780648,64.525,66.21,64.11
04/20/2021,64.99,3173720,65.705,66.2496,64.23
04/19/2021,65.995,3181804,66.61,67.055,65.22
04/16/2021,67.235,2228864,67.275,67.305,66.485
04/15/2021,67.055,3013448,66.24,67.21,66.2
04/14/2021,65.1,2873722,66.81,66.81,64.775
04/13/2021,66.705,2284982,65.79,66.885,65.73
04/12/2021,65.185,1973578,64.945,65.36,64.44
04/09/2021,65.375,2988806,64.045,65.43,63.78
04/08/2021,64.585,1752804,64.405,64.655,64.07
04/07/2021,63.255,2254106,62.795,63.5835,62.425
04/06/2021,62.945,2562068,62.93,63.725,62.7
04/05/2021,63.08,3624282,61.605,63.35,61.505
04/01/2021,60.65,3203038,60.115,60.6942,60.01
03/31/2021,58.595,3196802,57.58,59.215,57.4425
03/30/2021,56.92,3206234,56.76,57.125,55.9
03/29/2021,57.48,4043126,57.335,57.88,56.245
03/26/2021,57.53,4398152,55.775,57.64,55.2725
03/25/2021,55.865,5429052,55.355,56.4053,54.4385
03/24/2021,56.025,4357356,58.545,58.545,56.015
03/23/2021,57.945,4800278,58.91,59.425,57.7096
03/22/2021,58.55,4235938,57.265,59.2755,57.265
03/19/2021,56.52,4958322,55.975,56.985,55.17
03/18/2021,56.015,6216530,57.825,58.18,55.8575
03/17/2021,59.695,4021022,58.045,60.405,57.39
03/16/2021,59.225,3575244,59.38,60.525,58.66
03/15/2021,58.585,2525770,57.45,58.625,56.845
03/12/2021,57.345,4678692,56.74,57.39,55.87
03/11/2021,58.32,4129706,57.49,58.93,57.145
03/10/2021,55.735,7108586,57.635,57.85,55.485
03/09/2021,56.07,4376744,54.545,56.725,54.375
03/08/2021,51.96,5806944,54.87,55.56,51.805
03/05/2021,55.095,8601818,54.43,55.3955,51.2
03/04/2021,53.455,13226814,55.125,56.31,52.045
03/03/2021,55.31,5715692,58.285,58.635,55.27
03/02/2021,58.69,3829904,60.89,60.9192,58.61
03/01/2021,60.655,4463910,59.115,60.775,58.59
02/26/2021,57.27,9623690,57.825,59.01,56.045
02/25/2021,56.67,8148430,59.94,60.945,56.14
02/24/2021,60.99,4828630,58.98,61.125,57.945
02/23/2021,60.01,8701562,58.32,60.655,56.105
02/22/2021,60.385,4364470,61.93,62.435,60.32
02/19/2021,63.685,2244860,64.775,64.81,63.295
02/18/2021,64.225,2665242,63.37,64.515,62.655
02/17/2021,64.815,3156016,64.245,64.915,63.34
02/16/2021,65.45,2309398,66.11,66.4775,64.975
02/12/2021,65.79,1690864,64.755,65.865,64.33
02/11/2021,65.07,2150958,65,65.235,64.13
02/10/2021,64.355,2629428,65.215,65.4,63.1054
02/09/2021,64.67,1746274,64.335,65.175,64.335
02/08/2021,64.69,2524554,64.53,64.76,63.895
02/05/2021,63.89,3716980,63.825,64.25,63.1649
02/04/2021,63.445,2412110,62.535,63.45,61.99
02/03/2021,61.965,3770280,63.25,63.41,61.945
02/02/2021,62.505,3495824,61.65,62.9,61.575
02/01/2021,60.52,4548208,58.94,60.865,58.2125
01/29/2021,57.685,5643586,59.48,59.9094,56.935
01/28/2021,60.165,4635576,59.89,62.035,59.685
01/27/2021,59.57,6065314,62.06,62.065,58.675
01/26/2021,62.96,4666572,63.08,63.4075,62.455
01/25/2021,62.87,7134276,63.095,63.605,60.25
01/22/2021,61.775,2788466,61.775,62.16,61.5
01/21/2021,62.165,3407392,61.53,62.405,61.14
01/20/2021,61.135,2792110,59.775,61.5,59.665
01/19/2021,58.46,3342574,57.645,58.6155,57.25
01/15/2021,56.78,2694578,57.635,57.975,56.355
01/14/2021,57.675,2728208,58.475,58.865,57.53
01/13/2021,58.315,2434212,57.66,58.62,57.44
01/12/2021,57.57,3418634,57.77,58.165,56.565
01/11/2021,57.71,4082604,58.32,58.77,57.48
01/08/2021,59.48,4540658,58.85,59.59,58.02
01/07/2021,58.02,3212234,56.29,58.285,56.29
01/06/2021,55.32,4982978,55.145,56.89,54.74
01/05/2021,56.845,4471448,55.6,56.953,55.5853
01/04/2021,55.935,5089934,58.11,58.16,54.48
12/31/2020,57.555,2325928,57.305,57.77,56.905
12/30/2020,57.29,1607304,57.76,57.88,57.095
12/29/2020,57.34,2396514,57.735,57.96,57
12/28/2020,57.235,2255382,57.055,57.405,56.3955
12/24/2020,56.095,1306282,55.715,56.255,55.7
12/23/2020,55.61,2316450,56.2,56.325,55.56
12/22/2020,56.17,3198420,56.225,56.53,55.14
12/21/2020,55.9,3682630,55,56.085,53.955
12/18/2020,56.045,3786642,56.705,56.78,55.215
12/17/2020,56.435,2194152,56.32,56.525,55.865
12/16/2020,55.71,2658642,55.27,56.01,54.895
12/15/2020,55.1,1939242,54.79,55.1,53.99
12/14/2020,53.9,2759626,53.57,54.665,53.57
12/11/2020,53.205,3133694,52.81,53.23,52
12/10/2020,53.4,3669910,52.265,53.835,51.88
12/09/2020,53.055,4241836,55.47,55.5315,52.61
12/08/2020,55.49,1940768,54.98,55.625,54.32
12/07/2020,55.15,1814092,54.6,55.275,54.54
12/04/2020,54.575,1700562,54.115,54.58,53.86
12/03/2020,54.065,2570188,54.01,54.66,53.84
12/02/2020,53.94,2407584,53.365,54.075,52.71
12/01/2020,53.9,2317384,53.255,54.4,52.895
11/30/2020,52.405,2574040,52.37,52.58,50.79
11/27/2020,52.27,1663194,51.98,52.66,51.905
11/25/2020,51.36,2511778,51.04,51.545,50.75
11/24/2020,50.725,2669320,49.68,50.87,49.06
11/23/2020,49.315,3276334,49.665,50.1095,48.54
11/20/2020,49.32,1957184,49.995,50.225,49.2975
11/19/2020,49.96,2390372,49.035,50.105,48.8
11/18/2020,49.215,2629766,49.77,50.34,49.205
11/17/2020,49.92,2110018,50.36,50.475,49.735
11/16/2020,50.245,2863192,49.415,50.4,49.22
11/13/2020,49.585,2271978,49.235,49.7275,48.491
11/12/2020,48.69,3164132,49.42,49.915,48.28
11/11/2020,49.155,3615122,47.835,49.2875,47.7281
11/10/2020,47.07,5742756,47.645,48.13,46.095
11/09/2020,48.74,7076108,51.805,52.3875,48.6481
11/06/2020,50.895,3789294,50.525,51.105,49.22
11/05/2020,50.81,5087978,50.5,51.12,49.9851
11/04/2020,48.27,6328234,47.195,48.8599,46.65
11/03/2020,44.305,4325398,43.42,45,43.135
11/02/2020,42.87,4297456,43.4,43.9625,41.9
10/30/2020,42.75,7096934,44.275,44.55,41.905
10/29/2020,44.875,5965480,43.895,45.93,43.715
10/28/2020,43.43,8365866,45.59,45.76,43.35
10/27/2020,47.075,4949652,46.705,47.38,46.315
10/26/2020,46.36,6709942,47.01,48,45.1499
10/23/2020,47.875,3054816,47.875,47.875,46.84
10/22/2020,47.66,4826258,47.945,48.23,46.525
10/21/2020,47.645,3986680,47.79,48.695,47.4752
