Date,Close/Last,Volume,Open,High,Low
06/28/2021,183.71,179698,181.85,183.8,181.85
06/25/2021,180.93,19543,181.5,181.59,180.7
06/24/2021,180.72,54797,180.36,181.14,180.36
06/23/2021,179.205,50085,179,179.78,178.825
06/22/2021,178.73,77445,177.22,178.87,176.76
06/21/2021,177.17,17564,175.84,177.23,174.6
06/18/2021,175.46,39456,175.52,176.31,175.16
06/17/2021,176.66,42772,173.56,176.9418,173.56
06/16/2021,174.1524,18972,174.56,175.2183,172.525
06/15/2021,174.3,16148,175.57,175.57,174.13
06/14/2021,175.51,12865,174.07,175.51,174.07
06/11/2021,173.88,14305,173.4,173.93,172.8543
06/10/2021,173.39,17584,171.52,173.39,171.38
06/09/2021,171.1,13638,172.3,172.3,171.1
06/08/2021,171.5,13551,171.58,172.25,170.5475
06/07/2021,170.93,19717,170.83,171.0667,170.4
06/04/2021,171.13,28362,169.77,171.2,169.77
06/03/2021,168.5,17463,168.82,169.2963,167.84
06/02/2021,170.07,27320,169.91,170.52,169.8
06/01/2021,169.99,26927,171.9,171.9,169.7
05/28/2021,171,15664,171.15,171.88,171
05/27/2021,170.22,14269,169.84,170.73,169.3539
05/26/2021,169.96,12004,169.58,170.045,169.4831
05/25/2021,169.24,33738,169.53,170.0867,169.06
05/24/2021,168.93,15199,168.39,169.57,168.05
05/21/2021,166.89,25698,168.33,168.77,166.89
05/20/2021,167.5,36047,164.66,167.98,164.66
05/19/2021,163.83,53904,160.62,163.95,160.62
05/18/2021,163.33,21004,164.5,165.288,163.26
05/17/2021,164.04,39650,164.31,164.3431,162.5911
05/14/2021,165.43,21302,162.97,165.78,162.73
05/13/2021,161.47,60291,161.91,163.1387,160.17
05/12/2021,160.46,83914,163.04,164.02,160.0317
05/11/2021,165.58,48135,162.1,166.0419,161.79
05/10/2021,165.67,19303,169.27,169.27,165.61
05/07/2021,170.02,32720,169.19,170.735,169.19
05/06/2021,167.87,35274,167.8,167.88,165.86
05/05/2021,168.55,58693,170.02,170.02,168.24
05/04/2021,168.59,43727,170.03,170.03,166.56
05/03/2021,171.51,28540,173.53,173.53,171.4431
04/30/2021,172.67,73867,173.59,174.608,172.4526
04/29/2021,175.19,52751,177.32,177.32,173.57
04/28/2021,175.91,50193,175.6,176.68,175.6
04/27/2021,176.76,72605,177.72,177.72,176.3801
04/26/2021,177.62,63398,176.59,177.77,176.2033
04/23/2021,176.29,29526,173.81,176.85,173.81
04/22/2021,173.22,26675,174.82,175.5,172.41
04/21/2021,174.14,70202,171.17,174.19,171.17
04/20/2021,171.965,55303,173.52,173.78,170.72
04/19/2021,173.32,46250,175.05,175.22,172.4111
04/16/2021,175.61,33619,176,176,174.858
04/15/2021,175.28,70379,174.07,175.52,174.02
04/14/2021,172.5,51011,174.03,175.14,172.27
04/13/2021,174.12,23289,173.04,174.265,172.963
04/12/2021,172.51,25413,172.06,172.68,171.27
04/09/2021,172.5368,35310,170.8,172.55,170.43
04/08/2021,171.32,31089,170.34,171.32,170.16
04/07/2021,168.82,33111,169.48,169.67,168.485
04/06/2021,169.51,677775,169.41,170.85,169.09
04/05/2021,169.31,35168,168.79,169.427,168.01
04/01/2021,167.16,47625,166.11,167.4579,166.11
03/31/2021,164.27,39873,161.98,165.26,161.98
03/30/2021,160.98,51360,159.91,161.34,159.51
03/29/2021,160.78,53729,161.64,162.09,159.8315
03/26/2021,162.18,52811,158.03,162.34,158.03
03/25/2021,158.06,129099,156.67,158.33,154.945
03/24/2021,158.07,81426,162.21,162.21,158.07
03/23/2021,161.13,129129,162.78,163.34,160.6925
03/22/2021,162.67,70335,161.15,163.65,161.15
03/19/2021,160.33,107314,159.16,161.2,158.015
03/18/2021,158.85,131309,161.04,162.06,158.612
03/17/2021,163.41,158079,161.35,164.42,160.38
03/16/2021,163.17,79633,165.04,165.38,162.432
03/15/2021,163.95,101355,161.36,164.02,161.36
03/12/2021,161.4557,126264,160.49,161.47,159.44
03/11/2021,162.62,103131,160.32,163.06,160.32
03/10/2021,157.66,178769,160.27,161.07,157.58
03/09/2021,158.03,215853,155.67,158.88,155.67
03/08/2021,151.58,155490,156.32,157.55,151.499
03/05/2021,156.45,136722,156.5,156.75,149.33
03/04/2021,154.48,183669,159,159.74,152.41
03/03/2021,159.59,165929,165.35,165.43,159.59
03/02/2021,165.92,95326,169.17,169.17,165.85
03/01/2021,169.16,41536,166.67,169.42,166.59
02/26/2021,164.32,103683,164.61,166.1659,162.14
02/25/2021,162.74,143013,167.67,168.28,161.715
02/24/2021,169,73431,165.83,169.02,164.22
02/23/2021,166.43,109873,164.08,167.23,160.8266
02/22/2021,167.38,54994,170.97,170.97,167.27
02/19/2021,172.88,26142,173.06,174.24,172.71
02/18/2021,172.06,30170,171.69,172.395,170.2679
02/17/2021,173.53,82842,173.65,173.94,171.15
02/16/2021,175.17,42175,176.68,177.2481,174.78
02/12/2021,175.94,133092,173.28,175.94,173.28
02/11/2021,173.62,34620,172.99,173.79,172.54
02/10/2021,172.16,115352,173.51,173.9437,170.8
02/09/2021,172.33,15104,171.9,172.848,171.9
02/08/2021,172.28,40649,171.75,172.78,171.6825
02/05/2021,170.55,31874,170.51,170.82,170.08
02/04/2021,169.43,20974,168,169.44,167.632
02/03/2021,166.82,39937,169.19,169.19,166.82
02/02/2021,168.86,21658,167.54,169.43,167.54
02/01/2021,165.99,24469,163.71,166.23,162.89
01/29/2021,161.77,56071,164.21,164.43,160.6433
01/28/2021,164.82,67514,163.15,166.72,163.15
01/27/2021,162.22,66494,165.89,165.89,161.61
01/26/2021,168.32,47903,170.86,170.86,168.31
01/25/2021,170.12,60994,171.24,171.96,167.65
01/22/2021,169.98,55302,169.69,170.89,169.69
01/21/2021,170.19,25220,170.95,171.2999,169.5
01/20/2021,170.21,94711,169.98,170.6769,169.66
01/19/2021,168.28,33178,167.01,168.4845,166.5984
01/15/2021,165.53,68517,166.82,167.049,164.505
01/14/2021,166.93,68288,167.94,168.7896,166.73
01/13/2021,167.19,49362,167.79,167.86,166.79
