Date,Close/Last,Volume,Open,High,Low
06/28/2021,45.86,1022819,45.81,45.9,45.72
06/25/2021,45.76,436996,45.81,45.83,45.6
06/24/2021,45.41,459341,45.29,45.44,45.23
06/23/2021,45.05,764534,45.08,45.33,45.035
06/22/2021,44.79,1087942,44.59,44.82,44.49
06/21/2021,44.97,1270686,44.75,44.97,44.545
06/18/2021,45.07,4261843,45.28,45.35,45.01
06/17/2021,45.49,1066143,45.44,45.63,45.33
06/16/2021,45.24,2367108,45.75,45.835,45.07
06/15/2021,45.87,1618829,46.04,46.07,45.775
06/14/2021,46.22,636695,46.15,46.2835,46.08
06/11/2021,46.07,1177999,46.15,46.15,45.94
06/10/2021,46.23,1131016,46.09,46.28,46.04
06/09/2021,45.86,704526,46,46.05,45.82
06/08/2021,45.9,594440,46.02,46.025,45.8
06/07/2021,46.14,641702,46.1,46.1499,45.915
06/04/2021,46.31,483692,46.19,46.31,46.1314
06/03/2021,45.86,1294557,45.95,46,45.755
06/02/2021,46.35,862888,46.18,46.38,46.11
06/01/2021,46.2,1105709,46.36,46.36,46.075
05/28/2021,45.34,2961055,45.12,45.43,45.12
05/27/2021,45.06,841593,45.06,45.125,44.93
05/26/2021,44.93,510760,44.8,44.965,44.76
05/25/2021,44.6,693960,44.77,44.82,44.585
05/24/2021,44.24,799626,44.06,44.32,44.02
05/21/2021,43.85,730346,44.25,44.3341,43.77
05/20/2021,44.29,699752,44.14,44.35,44.095
05/19/2021,44.1,1199797,43.7,44.2,43.67
05/18/2021,44.19,736761,44.19,44.4099,44.12
05/17/2021,43.59,634098,43.38,43.63,43.31
05/14/2021,43.62,980956,43.27,43.62,43.175
05/13/2021,42.87,1644009,43.05,43.26,42.68
05/12/2021,42.95,3108076,43.48,43.57,42.88
05/11/2021,44.07,1173715,43.31,44.105,43.23
05/10/2021,44.17,1126266,44.67,44.78,44.149
05/07/2021,44.96,829126,44.73,45.115,44.72
05/06/2021,44.54,710793,44.36,44.56,44.23
05/05/2021,44.18,423584,44.11,44.2881,44.0904
05/04/2021,43.88,2950976,44.05,44.095,43.585
05/03/2021,44.4,1899211,44.44,44.648,44.305
04/30/2021,44.4,1045358,44.68,44.75,44.3482
04/29/2021,45.14,1130436,45.33,45.4,44.81
04/28/2021,45.21,942442,45.06,45.41,45.02
04/27/2021,44.82,7877010,44.87,45.01,44.765
04/26/2021,44.86,536831,44.74,44.9,44.635
04/23/2021,44.75,509447,44.63,44.82,44.59
04/22/2021,44.23,787214,44.41,44.47,44.08
04/21/2021,44.31,646035,43.85,44.31,43.79
04/20/2021,43.95,796882,44.25,44.3,43.81
04/19/2021,44.28,950858,44.35,44.405,44.13
04/16/2021,44.4,489116,44.33,44.4781,44.1933
04/15/2021,44.23,753613,44.18,44.2617,44.073
