Date,Close/Last,Volume,Open,High,Low
06/28/2021,41.06,2203827,40.87,41.16,40.87
06/25/2021,40.68,4556192,41,41.04,40.5
06/24/2021,41.07,1241826,41.04,41.18,41.03
06/23/2021,41.01,1585798,40.98,41.08,40.88
06/22/2021,41.1,1246482,40.71,41.125,40.71
06/21/2021,41.03,1589184,41.3,41.315,40.94
06/18/2021,41.66,3945958,41.25,41.73,41.215
06/17/2021,40.93,2249605,40.61,41.43,40.555
06/16/2021,40.36,1866660,40.52,40.59,40.17
06/15/2021,40.42,4312177,40.35,40.43,40.275
06/14/2021,40.46,1293584,40.68,40.69,40.4
06/11/2021,40.76,914157,40.75,40.78,40.64
06/10/2021,40.82,1488353,40.35,40.83,40.31
06/09/2021,40.57,1062569,40.6,40.71,40.47
06/08/2021,40.23,931593,40.31,40.32,40.205
06/07/2021,40,705416,40.03,40.06,39.95
06/04/2021,40.1,1198484,39.73,40.11,39.73
06/03/2021,39.58,1190769,39.73,39.73,39.54
06/02/2021,39.73,493858,39.72,39.8,39.68
06/01/2021,39.64,910664,39.56,39.66,39.39
05/28/2021,39.73,939557,39.75,39.95,39.7
05/27/2021,39.78,1021586,39.74,39.79,39.6
05/26/2021,39.95,1197737,40.05,40.12,39.86
05/25/2021,40.02,796873,39.77,40.02,39.77
05/24/2021,39.65,840721,39.6,39.7605,39.59
05/21/2021,39.52,1011865,39.51,39.53,39.36
05/20/2021,39.39,1152774,39.25,39.45,39.24
05/19/2021,39.08,5989223,39.21,39.415,38.955
05/18/2021,39.19,1371276,39.16,39.2175,39.08
05/17/2021,39.27,1189819,39.29,39.38,39.21
05/14/2021,39.36,4427020,39.21,39.37,39.13
05/13/2021,39.03,2626883,39.06,39.19,38.98
05/12/2021,38.98,3600634,39.27,39.3,38.91
05/11/2021,39.39,6453411,39.45,39.505,39.31
05/10/2021,39.61,2343052,39.9,39.97,39.57
05/07/2021,39.96,4748295,40.2,40.33,39.87
05/06/2021,40.13,1043596,39.96,40.225,39.95
05/05/2021,40.07,584763,39.89,40.125,39.86
05/04/2021,40.01,2982648,40.03,40.22,39.94
05/03/2021,39.78,2596004,39.81,40.08,39.71
04/30/2021,39.82,3124747,39.77,39.85,39.63
04/29/2021,39.71,1092951,39.48,39.73,39.39
04/28/2021,39.85,1867314,39.8,39.88,39.63
04/27/2021,39.8,2578608,40.05,40.12,39.765
04/26/2021,40.15,1175996,40.21,40.305,40.14
04/23/2021,40.19,1264385,40.26,40.29,40.04
04/22/2021,40.26,1390846,40.18,40.275,39.95
04/21/2021,40.11,1018595,40.05,40.15,39.915
04/20/2021,40.03,957528,39.74,40.1,39.74
04/19/2021,39.86,4598118,39.81,39.97,39.765
04/16/2021,39.96,1283833,39.88,40.0852,39.85
04/15/2021,40.22,1676546,40.02,40.415,40.01
04/14/2021,39.62,1311388,39.61,39.665,39.49
04/13/2021,39.73,2759962,39.43,39.73,39.4
04/12/2021,39.46,1015655,39.46,39.49,39.363
04/09/2021,39.49,1750837,39.47,39.66,39.36
04/08/2021,39.62,777740,39.43,39.62,39.43
04/07/2021,39.31,1041753,39.44,39.62,39.295
04/06/2021,39.56,1702293,39.36,39.585,39.32
04/05/2021,39.29,2008139,39.2,39.305,39.03
04/01/2021,39.47,5258301,39.21,39.49,39.13
03/31/2021,38.98,5138266,39.13,39.21,38.78
03/30/2021,39.12,2075911,38.88,39.195,38.79
03/29/2021,38.94,1161795,39.29,39.3,38.8
03/26/2021,39.25,1293870,39.18,39.41,39.13
03/25/2021,39.41,7392067,39.72,39.79,39.38
03/24/2021,39.69,14853280,39.37,39.705,39.335
03/23/2021,39.48,1570589,39.22,39.495,39.11
03/22/2021,39.13,4117839,38.97,39.17,38.89
03/19/2021,38.73,1452049,38.51,38.74,38.45
03/18/2021,38.5,1798657,38.32,38.64,38.285
03/17/2021,38.88,2413740,38.82,38.93,38.57
03/16/2021,39.17,1672550,39.33,39.36,39
03/15/2021,39.28,1960518,39.2,39.36,39.17
03/12/2021,39.09,1957236,39.15,39.17,38.95
03/11/2021,39.9,1804640,39.91,39.98,39.745
03/10/2021,40.14,2547528,40.08,40.19,39.95
03/09/2021,40.08,1629462,39.97,40.1,39.88
03/08/2021,39.56,1951982,39.83,39.8357,39.56
03/05/2021,39.87,2267577,39.65,39.965,39.61
03/04/2021,39.8,2861994,40.07,40.16,39.62
03/03/2021,40.07,2434938,40.02,40.215,39.86
03/02/2021,40.49,2296917,40.29,40.51,40.26
03/01/2021,40.48,5888177,40.37,40.55,40.2
02/26/2021,41.06,5559215,40.36,41.07,40.09
02/25/2021,39.77,6002682,40.1,40.21,39.29
02/24/2021,40.48,1724031,40.08,40.56,40.02
02/23/2021,40.73,2122254,40.66,40.92,40.55
02/22/2021,40.84,1609861,41.05,41.25,40.71
02/19/2021,41.13,1650987,41.34,41.41,41.02
02/18/2021,41.67,1467164,41.5,41.75,41.41
02/17/2021,41.8,2518383,41.83,41.95,41.56
