Date,Close/Last,Volume,Open,High,Low
06/28/2021,62.86,2243684,62.46,62.88,62.42
06/25/2021,62.26,978987,62.39,62.41,62.123
06/24/2021,62.25,958644,62.34,62.4899,62.17
06/23/2021,61.96,3689174,61.97,62.14,61.88
06/22/2021,61.95,8233531,61.41,62.03,61.34
06/21/2021,61.37,1468680,60.93,61.43,60.595
06/18/2021,60.93,1640050,61.13,61.275,60.85
06/17/2021,61.41,1418866,60.62,61.582,60.62
06/16/2021,60.78,1290784,61.12,61.23,60.2599
06/15/2021,61,784233,61.29,61.29,60.915
06/14/2021,61.3,981679,60.83,61.3,60.65
06/11/2021,60.76,1093269,60.71,60.7789,60.52
06/10/2021,60.65,1851323,60.22,60.65,60.1538
06/09/2021,60.09,993330,60.28,60.41,60.0684
06/08/2021,60.07,949741,60.28,60.4,59.805
06/07/2021,60.01,1084383,59.84,60.02,59.72
06/04/2021,59.92,1071558,59.41,59.96,59.4
06/03/2021,59.1,1252167,59.16,59.36,58.77
06/02/2021,59.53,3281450,59.54,59.7161,59.31
06/01/2021,59.46,1391359,59.99,60.02,59.36
05/28/2021,59.73,2885585,59.86,60.04,59.7
05/27/2021,59.58,1048325,59.8,59.94,59.58
05/26/2021,59.78,1227246,59.78,59.875,59.64
05/25/2021,59.69,1027301,59.82,59.95,59.54
05/24/2021,59.58,1082556,59.14,59.78,59.08
05/21/2021,58.72,1160700,59.3,59.33,58.7
05/20/2021,59.01,1369318,58.33,59.1758,58.31
05/19/2021,58.1,2334961,57.24,58.11,57.19
05/18/2021,58.07,1246262,58.64,58.742,58.04
05/17/2021,58.52,1476660,58.59,58.65,58.105
05/14/2021,58.79,1118734,58.3,58.9408,58.25
05/13/2021,57.76,2112537,57.61,58.14,57.375
05/12/2021,57.17,2284642,57.88,58.17,57.04
05/11/2021,58.63,4116280,57.95,58.74,57.81
05/10/2021,58.88,1989927,59.92,59.95,58.88
05/07/2021,60.06,1148065,60.03,60.37,59.84
05/06/2021,59.64,2306383,59.18,59.65,58.81
05/05/2021,59.19,1141936,59.66,59.763,59.09
05/04/2021,59.31,1814824,59.71,59.76,58.66
05/03/2021,60.13,1829054,60.51,60.65,60.05
04/30/2021,60.25,1610378,60.31,60.63,60.17
04/29/2021,60.71,1987115,61.07,61.09,60.16
04/28/2021,60.46,1145389,60.66,60.81,60.431
04/27/2021,60.59,1279720,60.8,60.87,60.435
04/26/2021,60.76,1038660,60.6,60.81,60.44
04/23/2021,60.47,2681375,59.8,60.71,59.8
04/22/2021,59.7,1445418,60.23,60.44,59.475
04/21/2021,60.32,1056921,59.72,60.3237,59.59
04/20/2021,59.86,1691309,60.1,60.35,59.55
04/19/2021,60.22,1275663,60.4,60.57,59.94
04/16/2021,60.62,1406012,60.65,60.68,60.31
04/15/2021,60.49,3725230,60.02,60.55,60.02
04/14/2021,59.54,1339533,60.2,60.2,59.45
04/13/2021,60.16,897541,59.76,60.26,59.76
04/12/2021,59.61,1008282,59.49,59.685,59.28
04/09/2021,59.62,1234173,58.958,59.63,58.885
04/08/2021,59.09,1119254,58.96,59.0992,58.89
04/07/2021,58.52,919733,58.29,58.62,58.185
04/06/2021,58.28,1153190,58.35,58.605,58.2035
04/05/2021,58.38,2447003,57.67,58.4708,57.66
04/01/2021,57.26,1191590,57,57.265,56.91
03/31/2021,56.4,1934730,55.96,56.7049,55.96
03/30/2021,55.73,1258564,55.74,55.82,55.4
03/29/2021,56.03,1705397,55.84,56.1817,55.48
03/26/2021,55.98,1441396,55.13,56.01,55.06
03/25/2021,55.09,3229074,54.89,55.24,54.4392
03/24/2021,55.12,1521733,55.96,55.99,55.11
03/23/2021,55.73,2204911,56.01,56.3857,55.615
03/22/2021,55.9,1437661,55.31,56.17,55.3
03/19/2021,55.22,1338966,55.11,55.4274,54.73
03/18/2021,55.05,1466958,55.65,55.86,54.99
03/17/2021,56.36,1732648,55.85,56.665,55.58
03/16/2021,56.31,1067305,56.37,56.8,56.0799
03/15/2021,56.04,1060672,55.62,56.09,55.36
03/12/2021,55.61,995936,55.35,55.6101,54.99
03/11/2021,55.95,1093139,55.59,56.2,55.49
03/10/2021,54.86,1830663,55.41,55.505,54.78
03/09/2021,54.85,2166316,54.34,55.225,54.33
03/08/2021,53.23,1951619,54.4,54.74,53.23
03/05/2021,54.37,9416098,54.05,54.52,52.605
03/04/2021,53.51,3307821,54.29,54.78,52.88
03/03/2021,54.36,1985067,55.57,55.6918,54.34
03/02/2021,55.72,1940016,56.55,56.55,55.7
03/01/2021,56.45,1359094,55.79,56.5304,55.614
02/26/2021,55.02,1961928,55.34,55.805,54.6
02/25/2021,54.89,2600912,56.2,56.515,54.63
02/24/2021,56.54,1248108,55.84,56.6006,55.35
02/23/2021,56.07,2499111,55.38,56.36,54.57
02/22/2021,56.19,1403464,56.69,56.8,56.16
02/19/2021,57.33,2122973,57.9,57.9,57.26
02/18/2021,57.69,1279506,57.45,57.8098,57.125
02/17/2021,57.96,1045885,57.7,57.99,57.417
02/16/2021,58.11,1125583,58.45,58.5276,57.96
02/12/2021,58.3,792291,57.83,58.31,57.74
02/11/2021,57.97,1032555,58.01,58.11,57.61
02/10/2021,57.77,1361959,58.22,58.23,57.34
02/09/2021,57.89,861560,57.81,58.1095,57.8
02/08/2021,57.95,938137,57.94,57.9799,57.61
02/05/2021,57.69,997793,57.73,57.82,57.41
02/04/2021,57.5,1192888,57.21,57.5,56.97
02/03/2021,56.94,1488860,57.44,57.49,56.9001
02/02/2021,57.07,1759160,56.79,57.3,56.77
02/01/2021,56.24,2084940,55.6,56.41,55.2692
01/29/2021,55.04,2149092,55.89,55.98,54.68
01/28/2021,56.18,1907949,56.03,57,56
01/27/2021,55.9,2522094,56.98,56.99,55.4392
01/26/2021,57.38,2809324,57.46,57.56,57.21
01/25/2021,57.35,1867983,57.41,57.6168,56.23
01/22/2021,56.89,1169714,56.77,57.08,56.705
01/21/2021,56.88,1665322,56.77,57.02,56.62
01/20/2021,56.55,1195680,55.84,56.71,55.81
01/19/2021,55.27,2180069,55.03,55.35,54.7908
01/15/2021,54.63,1649602,54.88,55.08,54.44
01/14/2021,54.92,1195126,55.56,55.61,54.86
01/13/2021,55.47,1879011,55.17,55.6269,55.12
01/12/2021,55.19,1772369,55.39,55.51,54.7788
01/11/2021,55.4,1359101,55.56,55.82,55.3
01/08/2021,56.1,1559006,55.82,56.13,55.42
01/07/2021,55.51,1658029,54.79,55.655,54.76
01/06/2021,54.36,2356664,54.13,55.0184,53.94
01/05/2021,54.83,1237581,54.29,54.92,54.27
01/04/2021,54.5,3343367,55.53,55.55,53.8
12/31/2020,55.29,901934,55.14,55.39,54.915
12/30/2020,55.1,999547,55.36,55.44,55.06
12/29/2020,55.16,1047179,55.54,55.61,55.08
12/28/2020,55.28,983536,55.08,55.3772,54.83
12/24/2020,54.62,511972,54.43,54.72,54.42
12/23/2020,54.32,1316086,54.68,54.72,54.32
12/22/2020,54.61,1310995,54.59,54.7211,54.21
12/21/2020,54.46,1914572,54.03,54.52,53.49
12/18/2020,54.76,2201939,54.97,54.98,54.355
12/17/2020,54.88,1408739,54.84,54.97,54.69
12/16/2020,54.53,907467,54.39,54.6811,54.22
12/15/2020,54.29,2810550,54,54.31,53.7532
12/14/2020,53.59,1961930,53.88,54.21,53.58
12/11/2020,53.62,1179598,53.33,53.62,53.1
12/10/2020,53.59,1459871,53.32,53.8,53.17
12/09/2020,53.58,3132520,54.39,54.4082,53.405
12/08/2020,54.33,1297896,54.12,54.41,53.92
12/07/2020,54.23,1972600,54.14,54.325,54.03
12/04/2020,54.17,1046907,53.92,54.19,53.85
12/03/2020,53.81,1676320,53.93,54.1553,53.69
12/02/2020,53.89,1473991,53.77,53.96,53.5
12/01/2020,53.96,3030593,53.75,54.22,53.62
11/30/2020,53.3,1508887,53.27,53.36,52.6682
11/27/2020,53.33,472813,53.35,53.46,53.199
11/25/2020,53.09,2435417,53.08,53.18,52.91
11/24/2020,52.98,2178572,52.62,53.1,52.3724
11/23/2020,52.34,13911290,52.5,52.715,51.95
11/20/2020,52.29,814239,52.73,52.73,52.28
11/19/2020,52.69,1115704,52.34,52.78,52.17
11/18/2020,52.4,3845297,53.02,53.09,52.4
11/17/2020,53.01,1485544,53.08,53.22,52.78
11/16/2020,53.27,1563548,53.11,53.295,52.8599
11/13/2020,52.81,1438018,52.59,52.9199,52.26
11/12/2020,52.28,4801544,52.64,52.82,52.03
11/11/2020,52.69,1972477,52.32,52.78,52.24
11/10/2020,51.93,2955177,52.15,52.34,51.445
11/09/2020,52.51,4470522,54.16,54.16,52.44
11/06/2020,52.77,2567092,52.63,52.9425,52.08
11/05/2020,52.71,3675306,52.63,52.959,52.4203
11/04/2020,51.54,4400241,50.92,52.0201,50.77
11/03/2020,49.8,1869205,49.37,50.139,49.22
11/02/2020,48.92,5753719,49.07,49.47,48.4585
10/30/2020,48.59,3248577,49.18,49.37,48.07
10/29/2020,49.46,3101939,48.99,50,48.75
10/28/2020,48.8,2885969,49.82,49.82,48.71
10/27/2020,50.71,1042055,50.72,50.89,50.47
10/26/2020,50.57,2176677,51,51.3,49.96
10/23/2020,51.49,1281542,51.46,51.49,51.04
10/22/2020,51.27,1952354,51.29,51.41,50.7159
10/21/2020,51.23,1812431,51.34,51.76,51.157
10/20/2020,51.31,2739595,51.32,51.86,51.1
10/19/2020,51.09,2435264,52.2,52.36,50.93
10/16/2020,51.92,2293738,52.32,52.63,51.9
10/15/2020,52.09,2170258,51.57,52.19,51.45
10/14/2020,52.3,1425776,52.8,52.96,52.0404
10/13/2020,52.64,1510752,52.98,53.045,52.46
10/12/2020,52.85,1248655,52.35,53.22,52.19
10/09/2020,51.71,1221312,51.31,51.7299,51.2745
10/08/2020,51.05,1213532,51.07,51.07,50.825
10/07/2020,50.73,2655114,50.34,50.82,50.31
10/06/2020,49.8,3088544,50.62,50.9071,49.7375
10/05/2020,50.67,1700431,50.07,50.71,50.06
10/02/2020,49.75,3378696,49.63,50.23,49.49
10/01/2020,50.57,3094656,50.61,50.75,50.2774
09/30/2020,50.11,2277747,49.8,50.61,49.8
09/29/2020,49.77,1563025,49.93,50.08,49.66
09/28/2020,49.94,1996489,49.82,49.97,49.5681
09/25/2020,49.09,2132003,48.16,49.23,47.9
09/24/2020,48.16,3278632,47.69,48.7,47.61
09/23/2020,47.99,2083536,49.34,49.36,47.87
09/22/2020,49.27,8821833,48.87,49.37,48.38
09/21/2020,48.48,2866067,47.92,48.49,47.45
09/18/2020,48.8,3923039,49.68,49.68,48.28
09/17/2020,49.47,1986786,49.11,49.79,48.98
09/16/2020,50.03,1267527,50.8,50.81,49.99
09/15/2020,50.59,2140415,50.7,50.87,50.36
09/14/2020,50.1,2119099,50.1,50.53,49.95
09/11/2020,49.46,4527729,49.94,50.08,48.94
09/10/2020,49.6,3191042,51,51.13,49.4
09/09/2020,50.57,4311824,50.17,50.99,49.86
09/08/2020,49.29,3402358,49.75,50.37,49.24
09/04/2020,51.01,5366418,51.6,52.01,49.41
09/03/2020,51.71,5045306,53.53,53.6,51.22
09/02/2020,54.05,2289820,53.87,54.21,53.26
09/01/2020,53.38,5941042,52.9,53.4,52.73
08/31/2020,52.63,1762131,52.68,52.94,52.5
08/28/2020,52.63,967640,52.52,52.68,52.3199
08/27/2020,52.3,1769170,52.51,52.66,51.98
08/26/2020,52.38,1516678,51.64,52.405,51.62
08/25/2020,51.41,3262745,51.11,51.44,51.01
08/24/2020,51.11,2879632,51.25,51.29,50.76
08/21/2020,50.69,1576279,50.39,50.74,50.32
08/20/2020,50.4,966143,49.76,50.47,49.71
08/19/2020,49.94,1458434,50.26,50.38,49.89
08/18/2020,50.18,1189932,49.97,50.2421,49.735
08/17/2020,49.84,1173468,49.8,49.92,49.7401
08/14/2020,49.54,1106338,49.6,49.6567,49.35
08/13/2020,49.6,1898362,49.54,49.93,49.46
08/12/2020,49.49,1554843,49,49.645,49
08/11/2020,48.62,10081200,49.21,49.3707,48.51
08/10/2020,49.18,1107845,49.37,49.41,48.7
08/07/2020,49.27,1524412,49.46,49.605,48.915
08/06/2020,49.58,999400,49,49.625,48.89
08/05/2020,49.02,1260691,48.9,49.08,48.8
08/04/2020,48.73,1986420,48.48,48.73,48.36
08/03/2020,48.57,1944851,48.48,48.73,48.4201
07/31/2020,48.09,1569386,48.04,48.12,47.28
07/30/2020,47.4,2527175,46.91,47.475,46.6596
07/29/2020,47.34,1101665,46.93,47.435,46.91
07/28/2020,46.76,1654637,47.12,47.215,46.695
07/27/2020,47.21,1736642,46.87,47.2501,46.75
07/24/2020,46.65,2454525,46.42,46.825,46.11
07/23/2020,46.91,3428918,47.78,47.94,46.6863
07/22/2020,47.87,1413222,47.55,47.91,47.46
07/21/2020,47.56,2853706,48.12,48.12,47.41
07/20/2020,47.79,1499607,46.93,47.9,46.78
07/17/2020,46.89,1125416,46.95,47.04,46.55
07/16/2020,46.78,1732392,46.67,46.87,46.37
07/15/2020,47.05,1991485,47.22,47.3,46.59
07/14/2020,46.73,3255562,45.95,46.8,45.53
07/13/2020,46.21,1736596,47.36,47.77,46.1
07/10/2020,46.97,2977204,46.69,46.99,46.28
07/09/2020,46.73,2679167,46.86,46.91,46.05
07/08/2020,46.62,1802164,46.31,46.64,46.06
07/07/2020,46.09,1815475,46.39,46.82,46.05
07/06/2020,46.52,1400746,46.19,46.6,46.15
07/02/2020,45.59,1443647,45.87,46.04,45.525
07/01/2020,45.36,2887854,45.01,45.57,44.94
06/30/2020,44.92,1774946,44.18,45.1,44.12
06/29/2020,44.18,2506762,43.7,44.18,43.27
06/26/2020,43.63,2788099,44.65,44.67,43.57
06/25/2020,44.75,3002331,44.27,44.785,43.84
06/24/2020,44.31,3150629,45.14,45.32,44.04
06/23/2020,45.36,13559800,45.47,45.77,45.28
06/22/2020,45.07,2237495,44.54,45.09,44.4201
06/19/2020,44.7,2631997,45.37,45.37,44.46
06/18/2020,44.85,1184081,44.68,44.92,44.57
06/17/2020,44.8,2920749,44.99,45.17,44.7
06/16/2020,44.81,3250707,45.03,45.09,44.08
