Date,Close/Last,Volume,Open,High,Low
06/28/2021,16.97,435223,17.07,17.07,16.94
06/25/2021,17.14,515747,17.01,17.23,16.99
06/24/2021,16.99,650611,16.99,17,16.935
06/23/2021,17.01,648080,17.02,17.07,16.98
06/22/2021,16.97,434681,17.14,17.14,16.955
06/21/2021,17,1140149,16.88,17.035,16.871
06/18/2021,16.75,1852012,16.9,16.919,16.695
06/17/2021,17.05,1799831,17.2,17.219,16.8197
06/16/2021,17.31,987641,17.25,17.39,17.215
06/15/2021,17.3,748305,17.33,17.355,17.29
06/14/2021,17.27,747873,17.15,17.299,17.15
06/11/2021,17.15,596693,17.13,17.2,17.13
06/10/2021,17.11,1559800,17.33,17.345,17.11
06/09/2021,17.23,1153394,17.22,17.275,17.17
06/08/2021,17.39,1237312,17.36,17.41,17.35
06/07/2021,17.51,1038785,17.49,17.5102,17.47
06/04/2021,17.46,651291,17.62,17.62,17.45
06/03/2021,17.67,585545,17.63,17.7,17.63
06/02/2021,17.64,923631,17.63,17.65,17.591
06/01/2021,17.62,2449386,17.68,17.75,17.62
05/28/2021,17.68,493583,17.66,17.69,17.56
05/27/2021,17.65,1760263,17.6532,17.7199,17.635
05/26/2021,17.57,1589555,17.52,17.6,17.48
05/25/2021,17.54,670164,17.65,17.65,17.53
05/24/2021,17.71,951443,17.73,17.73,17.645
05/21/2021,17.76,1167109,17.77,17.84,17.76
05/20/2021,17.81,1001699,17.89,17.89,17.7816
05/19/2021,17.97,976046,17.9,18.03,17.81
05/18/2021,17.92,2179729,17.91,17.97,17.9
05/17/2021,17.87,1645579,17.88,17.91,17.83
05/14/2021,17.84,5121064,17.91,17.95,17.84
05/13/2021,18,5394638,18,18.03,17.93
05/12/2021,18.03,3189594,17.9,18.0746,17.88
05/11/2021,17.85,3693024,17.83,17.89,17.8
05/10/2021,17.76,2470648,17.6,17.765,17.58
05/07/2021,17.57,1414829,17.46,17.6199,17.405
05/06/2021,17.49,2381856,17.58,17.58,17.455
05/05/2021,17.53,1711641,17.62,17.62,17.5001
05/04/2021,17.56,2521753,17.55,17.58,17.455
05/03/2021,17.67,1779210,17.64,17.69,17.52
04/30/2021,17.69,1467278,17.7,17.77,17.68
04/29/2021,17.73,899638,17.83,17.88,17.73
04/28/2021,17.66,1539764,17.67,17.76,17.65
04/27/2021,17.67,852543,17.58,17.695,17.54
04/26/2021,17.55,1887096,17.5,17.55,17.45
04/23/2021,17.51,546301,17.46,17.58,17.46
04/22/2021,17.48,1042922,17.5,17.61,17.46
04/21/2021,17.55,784340,17.56,17.625,17.53
04/20/2021,17.57,997597,17.72,17.72,17.55
04/19/2021,17.67,496061,17.67,17.7,17.61
04/16/2021,17.61,476384,17.63,17.6514,17.56
04/15/2021,17.48,1122067,17.6,17.6,17.4
04/14/2021,17.77,274907,17.76,17.83,17.75
04/13/2021,17.72,738779,17.88,17.88,17.72
04/12/2021,17.86,323202,17.86,17.9,17.845
04/09/2021,17.85,457373,17.85,17.9,17.77
04/08/2021,17.79,718998,17.88,17.88,17.78
04/07/2021,17.92,446944,17.87,17.935,17.78
04/06/2021,17.8,788512,17.91,17.92,17.795
04/05/2021,17.94,558539,17.97,18.06,17.94
04/01/2021,17.87,1197426,17.99,18.02,17.85
03/31/2021,18.12,1143627,18.03,18.21,18.0194
03/30/2021,18.04,982658,18.18,18.21,18.0201
03/29/2021,18.14,667764,17.98,18.21,17.98
03/26/2021,17.99,765977,18.04,18.06,17.9239
03/25/2021,17.93,1207860,17.79,17.94,17.75
03/24/2021,17.81,1215478,17.96,17.97,17.8
03/23/2021,17.91,1175391,18.03,18.08,17.89
03/22/2021,18.08,1904347,18.15,18.19,18.06
03/19/2021,18.27,4262423,18.36,18.399,18.26
03/18/2021,18.36,5565994,18.48,18.49,18.31
03/17/2021,18.19,4948598,18.23,18.35,18.17
03/16/2021,18.06,1216815,17.99,18.14,17.96
03/15/2021,18.03,2909219,18.05,18.065,17.97
03/12/2021,18.11,1498165,18.05,18.16,18.05
03/11/2021,17.73,1249450,17.71,17.8,17.69
03/10/2021,17.61,828999,17.65,17.7092,17.605
03/09/2021,17.64,3132493,17.7,17.74,17.63
03/08/2021,17.88,994063,17.76,17.89,17.76
03/05/2021,17.74,976248,17.85,17.87,17.695
03/04/2021,17.78,1618816,17.66,17.86,17.6115
03/03/2021,17.67,1016462,17.68,17.76,17.595
03/02/2021,17.48,964973,17.56,17.5652,17.47
03/01/2021,17.48,1321878,17.51,17.6,17.4441
02/26/2021,17.21,3457210,17.53,17.6786,17.21
02/25/2021,17.8,6410079,17.7,18.14,17.65
02/24/2021,17.54,2284218,17.71,17.75,17.5
02/23/2021,17.43,1386026,17.47,17.5,17.3441
02/22/2021,17.39,2551468,17.28,17.44,17.19
02/19/2021,17.25,840776,17.17,17.29,17.1201
02/18/2021,17.02,1183821,17.1,17.12,16.98
02/17/2021,16.97,1459974,16.96,17.05,16.8914
02/16/2021,17.05,3494794,17.04,17.09,16.98
02/12/2021,16.81,2797506,16.76,16.83,16.705
02/11/2021,16.6,1720734,16.52,16.6377,16.52
02/10/2021,16.51,2627542,16.58,16.59,16.51
02/09/2021,16.63,477480,16.57,16.64,16.53
02/08/2021,16.63,1685041,16.69,16.71,16.5692
02/05/2021,16.72,787976,16.61,16.72,16.545
02/04/2021,16.57,574159,16.59,16.62,16.55
02/03/2021,16.53,423300,16.44,16.54,16.436
02/02/2021,16.38,268838,16.42,16.435,16.37
02/01/2021,16.28,1086183,16.32,16.33,16.2438
01/29/2021,16.28,1516840,16.36,16.37,16.25
01/28/2021,16.2,229848,16.14,16.28,16.14
01/27/2021,16.11,2355161,16.09,16.135,16.04
01/26/2021,16.16,280857,16.18,16.2,16.1312
01/25/2021,16.13,1849268,16.23,16.24,16.13
01/22/2021,16.34,535735,16.34,16.37,16.315
01/21/2021,16.39,391238,16.38,16.41,16.3401
01/20/2021,16.27,380587,16.31,16.33,16.27
01/19/2021,16.29,684681,16.37,16.37,16.28
01/15/2021,16.33,558118,16.31,16.37,16.28
01/14/2021,16.41,464452,16.25,16.45,16.25
01/13/2021,16.24,1000641,16.36,16.37,16.201
01/12/2021,16.42,606366,16.44,16.54,16.4139
01/11/2021,16.43,1205704,16.42,16.48,16.41
01/08/2021,16.38,1624642,16.38,16.46,16.325
01/07/2021,16.34,1110563,16.34,16.3989,16.3
01/06/2021,16.2,1242817,16.14,16.29,16.13
01/05/2021,15.86,492803,15.81,15.935,15.81
01/04/2021,15.76,677101,15.85,15.85,15.69
12/31/2020,15.78,444189,15.77,15.78,15.7
12/30/2020,15.76,384844,15.82,15.84,15.76
12/29/2020,15.79,488804,15.88,15.88,15.78
12/28/2020,15.77,266055,15.89,15.91,15.77
12/24/2020,15.79,97599,15.82,15.8337,15.7792
12/23/2020,15.85,1531183,15.85,15.97,15.85
12/22/2020,15.74,1150144,15.76,15.81,15.73
12/21/2020,15.83,431557,15.8,15.8792,15.79
12/18/2020,15.89,250576,15.81,15.9,15.7801
12/17/2020,15.86,713875,15.7,15.88,15.675
12/16/2020,15.81,1672331,15.88,15.9,15.755
12/15/2020,15.77,1153270,15.76,15.81,15.7054
12/14/2020,15.71,1207092,15.79,15.83,15.6796
12/11/2020,15.68,1549124,15.67,15.72,15.61
12/10/2020,15.72,474605,15.83,15.865,15.72
12/09/2020,15.87,235483,15.9,15.94,15.8282
12/08/2020,15.82,377588,15.79,15.82,15.74
12/07/2020,15.9,393566,15.92,15.935,15.86
12/04/2020,16.04,502618,15.98,16.07,15.972
12/03/2020,15.79,288028,15.86,15.89,15.77
12/02/2020,15.92,500793,15.86,16.005,15.86
12/01/2020,15.81,632940,15.7,15.88,15.69
11/30/2020,15.59,1111045,15.58,15.605,15.535
11/27/2020,15.56,389932,15.63,15.63,15.56
11/25/2020,15.72,415247,15.65,15.72,15.59
11/24/2020,15.66,408465,15.58,15.68,15.58
11/23/2020,15.51,591199,15.5,15.5558,15.49
11/20/2020,15.44,300365,15.53,15.55,15.44
11/19/2020,15.58,197956,15.6,15.6,15.52
11/18/2020,15.67,262985,15.65,15.755,15.64
11/17/2020,15.71,278993,15.71,15.73,15.67
11/16/2020,15.82,345858,15.81,15.83,15.765
11/13/2020,15.78,915195,15.76,15.8,15.75
11/12/2020,15.75,1662767,15.89,15.92,15.75
11/11/2020,16.03,643097,16.12,16.15,16.0145
11/10/2020,16.08,622775,16.12,16.13,16.02
11/09/2020,15.99,4353301,16,16.14,15.99
11/06/2020,15.67,346639,15.65,15.71,15.625
11/05/2020,15.475,887761,15.47,15.56,15.45
11/04/2020,15.51,4463484,15.47,15.56,15.4
11/03/2020,15.86,633159,15.84,15.92,15.83
11/02/2020,15.78,3416143,15.76,15.805,15.71
10/30/2020,15.89,3519501,15.73,15.89,15.71
10/29/2020,15.73,3077353,15.58,15.79,15.57
10/28/2020,15.56,2634291,15.5,15.6279,15.5
