Date,Close/Last,Volume,Open,High,Low
06/28/2021,61.04,2892470,61.07,61.1521,60.92
06/25/2021,60.99,2461816,60.57,61.07,60.54
06/24/2021,60.57,2803144,60.56,60.64,60.3605
06/23/2021,60.34,2657257,60.8,60.8,60.34
06/22/2021,60.72,2050170,60.73,60.99,60.65
06/21/2021,60.72,3813511,60.16,60.74,60.12
06/18/2021,59.96,3823184,60.58,60.58,59.94
06/17/2021,60.88,3197908,60.71,61.01,60.585
06/16/2021,60.76,3542691,61.48,61.56,60.72
06/15/2021,61.48,1527209,61.52,61.578,61.242
06/14/2021,61.47,1477678,61.45,61.48,61.1
06/11/2021,61.48,1729432,61.45,61.48,61.19
06/10/2021,61.38,1981549,61.04,61.4054,61.04
06/09/2021,60.97,1980823,60.97,61.12,60.86
06/08/2021,60.92,1417932,61.21,61.28,60.75
06/07/2021,61.18,1649652,61.43,61.48,61.0788
06/04/2021,61.44,1549998,61.36,61.485,61.245
06/03/2021,61.14,2552586,60.78,61.2101,60.71
06/02/2021,60.96,2063666,60.75,61.06,60.65
06/01/2021,60.65,2787779,61.25,61.27,60.59
05/28/2021,61.04,2997208,61.03,61.198,61
05/27/2021,60.85,2769220,61.08,61.1673,60.81
05/26/2021,60.97,4868629,61.1,61.105,60.88
05/25/2021,61.07,3876614,61.28,61.28,60.88
05/24/2021,61.22,2339432,61.38,61.52,61.2
05/21/2021,61.29,2506368,61.43,61.73,61.1916
05/20/2021,61.33,2296086,60.71,61.46,60.66
05/19/2021,60.64,4972341,60.49,60.66,60.04
05/18/2021,60.89,3365484,61.17,61.24,60.85
05/17/2021,61.17,4502515,61.34,61.53,61.0988
05/14/2021,61.39,3234547,61.33,61.59,61.27
05/13/2021,61.06,5143987,60.31,61.325,60.3
05/12/2021,60.24,4732824,61.04,61.12,60.23
05/11/2021,61.24,7264791,61.75,61.76,61.08
05/10/2021,61.95,3116948,61.85,62.4,61.81
05/07/2021,61.67,2760460,61.45,61.8,61.38
05/06/2021,61.47,4759025,61.02,61.47,61.02
05/05/2021,61.01,1661268,61.05,61.11,60.67
05/04/2021,60.93,3388681,60.76,61.04,60.66
05/03/2021,60.97,2731697,60.62,61.14,60.6
04/30/2021,60.44,2046872,60.37,60.465,60.2411
04/29/2021,60.48,3114983,60.15,60.54,60.13
04/28/2021,60.03,2627646,60.19,60.28,59.9599
04/27/2021,60.16,2472464,60.21,60.3,60.04
04/26/2021,60.18,2367229,60.53,60.54,60.16
04/23/2021,60.52,2644291,60.41,60.685,60.191
04/22/2021,60.41,3165392,60.63,60.73,60.27
04/21/2021,60.63,2663718,60.39,60.71,60.39
04/20/2021,60.38,2343225,60.01,60.47,60.01
04/19/2021,60.15,2960917,60.24,60.295,60.01
04/16/2021,60.37,2850049,60.21,60.505,60.14
04/15/2021,60.04,2025171,59.54,60.09,59.54
04/14/2021,59.35,2413986,59.54,59.54,59.25
04/13/2021,59.54,1614743,59.34,59.63,59.27
04/12/2021,59.44,1421396,59.19,59.445,59.14
04/09/2021,59.19,1511023,59,59.195,58.84
04/08/2021,58.96,2466907,58.93,59.045,58.91
04/07/2021,58.81,2634180,59.05,59.151,58.745
04/06/2021,59.07,2580542,58.99,59.215,58.82
04/05/2021,59.03,3493706,58.53,59.1833,58.53
04/01/2021,58.35,3411275,58.14,58.4099,57.82
03/31/2021,58.15,2759674,58.26,58.405,58.07
03/30/2021,58.17,5800208,58.59,58.6019,58.085
03/29/2021,58.74,4410643,58.09,58.81,58.09
03/26/2021,58.28,5572583,57.39,58.31,57.28
03/25/2021,57.28,6326178,56.91,57.3198,56.58
03/24/2021,56.79,4588746,56.96,57.18,56.78
03/23/2021,57.02,3065523,56.94,57.37,56.87
03/22/2021,57.03,3175183,56.4,57.03,56.33
03/19/2021,56.56,5001612,56.48,56.81,56.305
03/18/2021,56.42,4643508,56.31,56.64,56.26
03/17/2021,56.59,3377004,56.63,56.82,56.35
03/16/2021,56.8,2594353,56.76,56.96,56.68
03/15/2021,56.77,3463339,56.3,56.8,56.21
03/12/2021,56.27,3517746,55.95,56.28,55.95
03/11/2021,56.03,3609071,56.02,56.38,55.96
03/10/2021,56.02,7375317,55.77,56.2061,55.59
03/09/2021,55.53,6351777,55.54,56.07,55.52
03/08/2021,55.24,6327377,55.18,55.95,55.08
03/05/2021,55.14,12589970,54.36,55.26,54.05
03/04/2021,53.92,13685690,54.49,54.9,53.62
03/03/2021,54.48,6517313,54.94,54.98,54.47
03/02/2021,55.06,3945253,55.24,55.39,54.94
03/01/2021,55.24,3974311,54.79,55.57,54.79
02/26/2021,54.41,7311023,55.23,55.23,54.41
02/25/2021,55.03,8355728,55.48,55.822,54.88
02/24/2021,55.61,3221397,55.51,55.795,55.37
02/23/2021,55.62,4170179,55.63,55.85,55.27
02/22/2021,55.7,2184396,55.76,55.8,55.46
02/19/2021,56.04,2482958,56.72,56.76,56.01
02/18/2021,56.67,2606547,56.34,56.77,56.29
02/17/2021,56.65,3693582,56.18,56.65,56.13
02/16/2021,56.26,2104829,56.76,56.79,56.235
02/12/2021,56.77,1940828,56.42,56.78,56.41
02/11/2021,56.5,1886601,56.78,56.81,56.31
02/10/2021,56.71,2331274,56.93,56.975,56.52
02/09/2021,56.74,2324658,56.59,56.77,56.47
02/08/2021,56.65,2500101,56.52,56.65,56.37
02/05/2021,56.38,1913426,56.21,56.475,56.21
02/04/2021,55.98,2070788,55.71,56.045,55.67
02/03/2021,55.63,3400886,55.87,55.89,55.46
02/02/2021,55.94,2544011,55.79,56.23,55.73
02/01/2021,55.47,3756941,55.38,55.6849,55.17
01/29/2021,55.13,6352371,55.67,55.9,54.94
01/28/2021,55.93,3675610,56.15,56.82,55.89
01/27/2021,55.95,6349221,56.46,56.71,55.76
01/26/2021,56.93,3584727,56.77,57.03,56.59
01/25/2021,56.79,3001008,56.28,57.052,56.28
01/22/2021,56.34,1563101,56.22,56.49,56.11
