Date,Close/Last,Volume,Open,High,Low
06/28/2021,87.17,817263,86.75,87.39,86.75
06/25/2021,86.34,2169002,87.07,87.14,85.99
06/24/2021,87.19,1011616,87.146,87.43,87.11
06/23/2021,87.05,1405239,86.99,87.21,86.766
06/22/2021,87.25,974027,86.435,87.3,86.42
06/21/2021,87.08,990253,87.71,87.75,86.93
06/18/2021,88.43,2781604,87.62,88.605,87.505
06/17/2021,86.87,1416104,86.21,87.96,86.105
06/16/2021,85.72,1075787,86.01,86.17,85.275
06/15/2021,85.83,995675,85.65,85.83,85.51
06/14/2021,85.92,696417,86.42,86.42,85.78
06/11/2021,86.54,272100,86.53,86.58,86.28
06/10/2021,86.63,705130,85.68,86.69,85.6
06/09/2021,86.15,546849,86.21,86.42,85.9136
06/08/2021,85.44,496055,85.58,85.59,85.36
06/07/2021,84.9,614370,85,85.03,84.83
06/04/2021,85.15,440595,84.38,85.15,84.38
06/03/2021,84.06,477325,84.325,84.34,83.96
06/02/2021,84.36,387338,84.35,84.5,84.24
06/01/2021,84.17,571279,83.97,84.19,83.63
05/28/2021,84.33,486543,84.42,84.83,84.32
05/27/2021,84.46,1112140,84.414,84.48,84.09
05/26/2021,84.83,531634,85.01,85.2,84.63
05/25/2021,84.96,501027,84.46,84.975,84.46
05/24/2021,84.18,347216,84.08,84.43,84.04
05/21/2021,83.9,463295,83.905,83.92,83.56
05/20/2021,83.67,520436,83.35,83.79,83.32
05/19/2021,83.03,808203,83.26,83.69,82.71
05/18/2021,83.22,410767,83.14,83.28,82.97
05/17/2021,83.41,503465,83.45,83.61,83.25
05/14/2021,83.57,529397,83.26,83.57,83.09
05/13/2021,82.92,779555,82.96,83.21,82.78
05/12/2021,82.8,1132215,83.38,83.44,82.63
05/11/2021,83.66,632277,83.72,83.87,83.48
05/10/2021,84.11,678386,84.72,84.89,84.01
05/07/2021,84.85,2107512,85.34,85.64,84.655
05/06/2021,85.2,1372292,84.85,85.4,84.85
05/05/2021,85.08,752109,84.705,85.19,84.65
05/04/2021,84.95,1165879,85.03,85.4,84.81
05/03/2021,84.48,887236,84.56,85.1,84.33
