Date,Close/Last,Volume,Open,High,Low
06/28/2021,207.19,35574,209.6,209.6,205.74
06/25/2021,209.53,79374,209.9,211.043,209.4
06/24/2021,209.38,40083,207.68,209.4,206.751
06/23/2021,206.48,64470,206.21,207.78,206.21
06/22/2021,206.145,63470,204.93,206.43,203.49
06/21/2021,204.99,102643,202.29,205.473,202.29
06/18/2021,200.63,158167,202.91,203.475,200.2
06/17/2021,205.74,20498,209.01,209.5726,203.96
06/16/2021,209.47,24109,208.97,209.9,207.53
06/15/2021,209.6,22366,209.44,209.69,207.342
06/14/2021,208.9607,18241,210.64,211.315,208.4873
06/11/2021,210.2446,20619,209.13,210.25,209.13
06/10/2021,208.35,29534,212.03,212.03,208.27
06/09/2021,211.33,26381,213.67,213.67,211.14
06/08/2021,213.06,38962,211.17,213.595,210.73
06/07/2021,210.61,19424,209.16,210.71,209.16
06/04/2021,208.49,20539,208.97,209.01,207.43
06/03/2021,207.88,31880,208.27,208.57,206.4055
06/02/2021,209.75,108495,210.72,210.72,208.8459
06/01/2021,210,18968,208.4,210.39,208
05/28/2021,206.72,17146,208.43,208.43,205.8453
05/27/2021,207.29,16254,206.41,207.86,206.41
05/26/2021,205.18,17576,202.13,205.31,202.13
05/25/2021,201.18,11244,204.16,204.295,201.07
05/24/2021,203.25,15221,203.4,204.1077,202.175
05/21/2021,202.33,14077,203.3,204,202.25
05/20/2021,201.35,16228,201.06,201.8599,198.95
05/19/2021,200.75,23089,198.88,200.83,197.03
05/18/2021,202.12,15698,204.56,205.09,202.12
05/17/2021,204.25,19805,202.73,204.33,201.45
05/14/2021,203.8,19822,201.55,203.9827,201.34
05/13/2021,199.47,35668,195.46,200.0492,195.46
05/12/2021,194.83,49381,199.81,200.51,194.625
05/11/2021,201.18,38184,198.4,201.68,197.95
05/10/2021,202.32,40285,206.72,207.1,202.32
05/07/2021,206.67,17100,204.45,206.76,204.314
05/06/2021,204.83,30080,203.87,204.88,201.23
05/05/2021,203.67,12107,204.87,204.87,202.37
05/04/2021,203.67,20850,203.79,204.31,201.7755
05/03/2021,204.61,27185,204.18,205.53,203.33
04/30/2021,202.49,52538,203.7,204.45,202.13
04/29/2021,205.26,33427,206.96,206.96,203.8
04/28/2021,205.14,18269,204.46,205.48,204
