Date,Close/Last,Volume,Open,High,Low
06/28/2021,36.6615,1365,36.717,36.717,36.57
06/25/2021,37.0684,3255,37,37.38,37
06/24/2021,36.9638,133,36.9638,36.9638,36.9638
06/23/2021,36.5434,1201,36.77,36.77,36.5434
06/22/2021,36.5748,2097,36.12,36.5748,36.12
06/21/2021,36.4516,4588,36.06,36.51,36.06
06/18/2021,35.6037,1085,35.69,35.69,35.565
06/17/2021,36.4226,3970,36.5212,36.57,36.4226
06/16/2021,37.03,2257,36.62,37.06,36.62
06/15/2021,37.0365,5044,36.67,37.0365,36.65
06/14/2021,36.85,1072,36.9,36.9,36.85
06/11/2021,36.8379,1520,36.86,36.86,36.81
06/10/2021,36.6175,1404,37.24,37.24,36.6175
06/09/2021,36.9703,1592,37.81,37.81,36.95
06/08/2021,37.276,1671,36.86,37.276,36.845
06/07/2021,36.9467,6677,36.97,37.01,36.9467
06/04/2021,36.935,8993,35.48,36.935,35.48
06/03/2021,36.7875,759,36.785,36.7875,36.7645
06/02/2021,37.0003,1003,37.05,37.05,37.0003
06/01/2021,37.2012,422,37.09,37.2012,36.9952
05/28/2021,36.7778,2225,36.74,36.79,36.74
05/27/2021,36.76,782,36.8847,36.8847,36.76
05/26/2021,36.4211,3847,36.01,36.4672,35.98
05/25/2021,35.8562,1291,36.34,36.34,35.8562
05/24/2021,36.3377,16120,34.96,36.42,34.96
05/21/2021,36.356,284,36.356,36.356,36.356
05/20/2021,36.1967,4778,36.0602,36.1967,36.04
05/19/2021,36.0534,4701,35.4733,36.0534,35.47
05/18/2021,36.231,9327,36.545,36.71,36.231
05/17/2021,36.7102,9088,36.62,36.7102,36.24
05/14/2021,36.8386,1148,36.29,36.8386,36.29
05/13/2021,36.1961,10524,34.49,36.26,34.49
05/12/2021,35.3266,3608,36.03,36.03,35.26
05/11/2021,36.3884,3295,36.05,36.49,36.05
05/10/2021,36.7779,1879,36.51,37.43,34.84
05/07/2021,37.4437,4273,37.41,37.51,37.275
05/06/2021,37.17,198196,36.7,37.17,36.69
05/05/2021,36.8709,91769,36.71,36.95,35.9223
05/04/2021,36.9036,4037,36.89,36.9036,36.6319
05/03/2021,37.1238,3976,37.13,37.26,36.795
04/30/2021,36.7394,4986,36.97,37.05,36.72
04/29/2021,37.2908,2217,37.48,37.5,37.169
04/28/2021,37.286,2006,37.5,37.5,37.24
04/27/2021,37.2799,4617,37.44,37.5,37.255
04/26/2021,37.4121,443,37.635,37.635,37.4121
04/23/2021,37.48,1858,37.205,37.53,37.205
04/22/2021,36.5674,4794,36.9162,36.9162,36.485
04/21/2021,36.8521,2978,37,37,36.5
04/20/2021,36.1125,1408,36.3271,36.43,36.07
04/19/2021,36.9626,1341,36.8,36.9626,36.8
04/16/2021,37.02,2627,37.9,37.9,36.89
04/15/2021,37.55,3030,37.035,37.74,37.035
04/14/2021,37.59,5718,37.13,37.87,37.13
04/13/2021,37.1008,5297,37.32,37.32,36.9
04/12/2021,37.3289,890,37.5,37.5,37.3
04/09/2021,37.2621,2559,37.1001,37.2621,37.035
04/08/2021,37.2,9919,37.495,37.495,36.82
04/07/2021,36.9307,702,37.07,37.07,36.9307
04/06/2021,37.6028,19195,38,38,37.6028
04/05/2021,37.8568,13245,37.74,37.89,37.645
04/01/2021,37.2726,3055,37.19,37.36,37.1443
03/31/2021,36.8656,3139,36.89,37.1601,36.8638
03/30/2021,36.5815,1260,36.44,36.715,36.44
03/29/2021,36.285,13827,36.38,36.71,36.09
03/26/2021,37.21,10693,36.65,37.21,36.365
03/25/2021,35.9589,1870,35,35.9959,35
03/24/2021,35.4862,5590,36.08,36.089,35.4862
03/23/2021,35.88,19502,36.63,37,35.7812
03/22/2021,37.212,9502,38.37,38.37,36.98
03/19/2021,37.9969,4043,37.79,38.05,37.79
03/18/2021,37.82,9811,39.83,40.72,37.82
03/17/2021,38.4216,13820,37.54,38.55,37.54
03/16/2021,38.3,3812,38.61,38.61,38.2239
03/15/2021,38.639,9879,38.77,38.77,38.42
03/12/2021,38.9025,5368,38.635,38.9025,38.53
03/11/2021,38.59,9465,38.22,38.62,38.1797
03/10/2021,38.09,7310,37.71,38.2,37.71
03/09/2021,37.45,10372,37.23,38.0241,37.2199
03/08/2021,36.83,6541,36.09,37.56,35.55
03/05/2021,36.46,5069,35.4696,36.46,35.2189
03/04/2021,35.423,3173,36.88,36.88,35.3331
03/03/2021,36.3555,7427,36.75,36.8,36.3555
03/02/2021,36.11,12947,36.84,37.11,36.11
03/01/2021,36.85,5809,37.5439,38.02,36.7138
02/26/2021,35.9343,4956,35.75,36.33,35.75
02/25/2021,36.22,1621,36.61,36.65,36.22
02/24/2021,37.1361,5659,36.41,37.2199,36.41
02/23/2021,36.1624,10012,36.89,36.89,35.75
02/22/2021,36.8266,9937,36.72,36.985,36.49
