Date,S&P 500 Low Volatility Index
2016-06-28,6664.84
2016-06-29,6735.39
2016-06-30,6887.84
2016-07-01,6887.97
2016-07-05,6907.48
2016-07-06,6917.71
2016-07-07,6877.38
2016-07-08,6949.25
2016-07-11,6950.82
2016-07-12,6919.63
2016-07-13,6947.84
2016-07-14,6941.22
2016-07-15,6940.51
2016-07-18,6932.08
2016-07-19,6938.69
2016-07-20,6930.92
2016-07-21,6912.85
2016-07-22,6951
2016-07-25,6933.49
2016-07-26,6909.76
2016-07-27,6854.69
2016-07-28,6887.65
2016-07-29,6903.06
2016-08-01,6908.21
2016-08-02,6878.98
2016-08-03,6850.62
2016-08-04,6852.71
2016-08-05,6851.99
2016-08-08,6837.95
2016-08-09,6845.4
2016-08-10,6851.93
2016-08-11,6861.87
2016-08-12,6858.73
2016-08-15,6837.76
2016-08-16,6781.75
2016-08-17,6818.54
2016-08-18,6839.81
2016-08-19,6814.01
2016-08-22,6825.18
2016-08-23,6804.7
2016-08-24,6792.71
2016-08-25,6797.48
2016-08-26,6740.43
2016-08-29,6790.52
2016-08-30,6755.4
2016-08-31,6758.87
2016-09-01,6747.17
2016-09-02,6796.32
2016-09-06,6822.15
2016-09-07,6793.68
2016-09-08,6768.45
2016-09-09,6570.15
2016-09-12,6669.5
2016-09-13,6575.73
2016-09-14,6576.24
2016-09-15,6627.74
2016-09-16,6621.19
2016-09-19,6648.87
2016-09-20,6657.1
2016-09-21,6744.53
2016-09-22,6794.37
2016-09-23,6761.95
2016-09-26,6732.27
2016-09-27,6735.14
2016-09-28,6733.4
2016-09-29,6657.77
2016-09-30,6676.69
2016-10-03,6623.28
2016-10-04,6544.16
2016-10-05,6529.98
2016-10-06,6540.2
2016-10-07,6521.63
2016-10-10,6547.05
2016-10-11,6473.64
2016-10-12,6521.83
2016-10-13,6537.93
2016-10-14,6526.71
2016-10-17,6524.08
2016-10-18,6540.61
2016-10-19,6527.05
2016-10-20,6494.18
2016-10-21,6485.16
2016-10-24,6505.69
2016-10-25,6505.19
2016-10-26,6496.67
2016-10-27,6449.98
2016-10-28,6474.37
2016-10-31,6517.27
2016-11-01,6437.83
2016-11-02,6409.96
2016-11-03,6401.51
2016-11-04,6379.97
2016-11-07,6489.37
2016-11-08,6534.61
2016-11-09,6497.14
2016-11-10,6460.9
2016-11-11,6459.54
2016-11-14,6460.3
2016-11-15,6497.65
2016-11-16,6484.12
2016-11-17,6499.4
2016-11-18,6487.99
2016-11-21,6527.36
2016-11-22,6551.79
2016-11-23,6542.03
2016-11-25,6594.83
2016-11-28,6613.59
2016-11-29,6635.75
2016-11-30,6534.9
2016-12-01,6500.32
2016-12-02,6520.76
2016-12-05,6532.51
2016-12-06,6545.81
2016-12-07,6627.09
2016-12-08,6617.94
2016-12-09,6664.69
2016-12-12,6699.77
2016-12-13,6729.42
2016-12-14,6653.03
2016-12-15,6673.1
2016-12-16,6701.36
2016-12-19,6729.14
2016-12-20,6739.49
2016-12-21,6716.68
2016-12-22,6721.35
2016-12-23,6723.56
2016-12-27,6729.1
2016-12-28,6675.42
2016-12-29,6708.79
2016-12-30,6684.3
2017-01-03,6698.94
2017-01-04,6723.33
2017-01-05,6725.45
2017-01-06,6735.14
2017-01-09,6683.85
2017-01-10,6672.27
2017-01-11,6691.94
2017-01-12,6684.22
2017-01-13,6687.05
2017-01-17,6713.01
2017-01-18,6728.44
2017-01-19,6692.83
2017-01-20,6715.27
2017-01-23,6691.66
2017-01-24,6711.45
2017-01-25,6721.78
2017-01-26,6718.23
2017-01-27,6719.86
2017-01-30,6703.03
2017-01-31,6726.07
2017-02-01,6663.06
2017-02-02,6703.84
2017-02-03,6740.71
2017-02-06,6715.12
2017-02-07,6730.38
2017-02-08,6763.95
2017-02-09,6781.18
2017-02-10,6809.21
2017-02-13,6839.62
2017-02-14,6833.17
2017-02-15,6856.15
2017-02-16,6884.49
2017-02-17,6905.23
2017-02-21,6943.25
2017-02-22,6949.88
2017-02-23,6981.62
2017-02-24,7022.29
2017-02-27,7005.28
2017-02-28,7012.74
2017-03-01,7060.93
2017-03-02,7047.54
2017-03-03,7029.5
2017-03-06,7012.03
2017-03-07,7002.09
2017-03-08,6964.82
2017-03-09,6963.76
2017-03-10,6996.17
2017-03-13,7005.66
2017-03-14,6991.91
2017-03-15,7058.79
2017-03-16,7033.41
2017-03-17,7063.02
2017-03-20,7040.48
2017-03-21,7018.98
2017-03-22,7024.41
2017-03-23,7018.94
2017-03-24,7011.35
2017-03-27,6992.96
2017-03-28,7017.68
2017-03-29,6993.81
2017-03-30,6999.72
2017-03-31,6990.1
2017-04-03,6974.98
2017-04-04,6981.96
2017-04-05,6983.23
2017-04-06,6980.23
2017-04-07,6975.78
2017-04-10,6987.59
2017-04-11,6992.33
2017-04-12,6987.67
2017-04-13,6955.41
2017-04-17,7010.96
2017-04-18,7013.77
2017-04-19,6998.02
2017-04-20,7019.24
2017-04-21,7017.13
2017-04-24,7072.84
2017-04-25,7096.48
2017-04-26,7071.26
2017-04-27,7084.99
2017-04-28,7058.12
2017-05-01,7040
2017-05-02,7041.08
2017-05-03,7030.22
2017-05-04,7068.8
2017-05-05,7101.39
2017-05-08,7085.11
2017-05-09,7059.46
2017-05-10,7059.84
2017-05-11,7048.66
2017-05-12,7036
2017-05-15,7065.99
2017-05-16,7035.2
2017-05-17,7004.99
2017-05-18,7028.25
2017-05-19,7063.73
