Date,S&P 600
2016-06-28,679.84
2016-06-29,693.87
2016-06-30,708.36
2016-07-01,710.17
2016-07-05,700.06
2016-07-06,704.31
2016-07-07,705.56
2016-07-08,722.4
2016-07-11,730.53
2016-07-12,740.23
2016-07-13,739.28
2016-07-14,739.46
2016-07-15,740.72
2016-07-18,741.31
2016-07-19,736.75
2016-07-20,741.33
2016-07-21,736.99
2016-07-22,741.86
2016-07-25,739.19
2016-07-26,743.72
2016-07-27,745.31
2016-07-28,742.86
2016-07-29,743.98
2016-08-01,743.28
2016-08-02,732.5
2016-08-03,736.52
2016-08-04,736.86
2016-08-05,746.67
2016-08-08,745.69
2016-08-09,745.86
2016-08-10,742.13
2016-08-11,745.08
2016-08-12,744.16
2016-08-15,750.96
2016-08-16,745.71
2016-08-17,743.88
2016-08-18,748.81
2016-08-19,748.85
2016-08-22,750.77
2016-08-23,756.14
2016-08-24,751.55
2016-08-25,754.01
2016-08-26,751.91
2016-08-29,756.18
2016-08-30,756.46
2016-08-31,753.07
2016-09-01,753.11
2016-09-02,761.87
2016-09-06,760.43
2016-09-07,765.47
2016-09-08,762.63
2016-09-09,739.97
2016-09-12,748.18
2016-09-13,734.82
2016-09-14,732.28
2016-09-15,741.61
2016-09-16,740.5
2016-09-19,744.85
2016-09-20,742.36
2016-09-21,753.13
2016-09-22,764.64
2016-09-23,759.39
2016-09-26,750.08
2016-09-27,751.34
2016-09-28,758.22
2016-09-29,748.98
2016-09-30,756.9
2016-10-03,754.24
2016-10-04,750.66
2016-10-05,755.37
2016-10-06,755.02
2016-10-07,749.06
2016-10-10,756.8
2016-10-11,744.37
2016-10-12,745.5
2016-10-13,737.65
2016-10-14,736.68
2016-10-17,734.99
2016-10-18,737.43
2016-10-19,740.32
2016-10-20,735.7
2016-10-21,733.89
2016-10-24,739.78
2016-10-25,732.7
2016-10-26,727.29
2016-10-27,719.32
2016-10-28,718.63
2016-10-31,722.59
2016-11-01,712.77
2016-11-02,705.68
2016-11-03,703.64
2016-11-04,707.17
2016-11-07,724.26
2016-11-08,726.04
2016-11-09,748.27
2016-11-10,762.35
2016-11-11,781.84
2016-11-14,793.04
2016-11-15,795.17
2016-11-16,795.68
2016-11-17,799.43
2016-11-18,803
2016-11-21,806.34
2016-11-22,816.82
2016-11-23,821.67
2016-11-25,825.28
2016-11-28,815.1
2016-11-29,814.42
2016-11-30,812.02
2016-12-01,808.59
2016-12-02,809.35
2016-12-05,824.05
2016-12-06,832.68
2016-12-07,841.51
2016-12-08,855.36
2016-12-09,857.5
2016-12-12,848.65
2016-12-13,848.93
2016-12-14,838.49
2016-12-15,846.1
2016-12-16,842.04
2016-12-19,845.84
2016-12-20,854.67
2016-12-21,848.99
2016-12-22,840.82
2016-12-23,845.02
2016-12-27,849.79
2016-12-28,839.61
2016-12-29,841.52
2016-12-30,837.96
2017-01-03,843.36
2017-01-04,857.37
2017-01-05,845.04
2017-01-06,840.17
2017-01-09,832.38
2017-01-10,840.1
2017-01-11,843.07
2017-01-12,833.29
2017-01-13,839.86
2017-01-17,828.42
2017-01-18,832.57
2017-01-19,823.96
2017-01-20,827.56
2017-01-23,825.1
2017-01-24,838.01
2017-01-25,846.78
2017-01-26,841.79
2017-01-27,838.36
2017-01-30,827.14
2017-01-31,834.2
2017-02-01,832.48
2017-02-02,828.22
2017-02-03,841.34
2017-02-06,833.76
2017-02-07,830.46
2017-02-08,829.15
2017-02-09,842.77
2017-02-10,849.64
2017-02-13,851.46
2017-02-14,853.19
2017-02-15,857.91
2017-02-16,856.27
2017-02-17,855.1
2017-02-21,862.21
2017-02-22,859.15
2017-02-23,853.13
2017-02-24,853.19
2017-02-27,859.78
2017-02-28,846.49
2017-03-01,862.16
2017-03-02,851.72
2017-03-03,849.38
2017-03-06,843.33
2017-03-07,837.26
2017-03-08,831.7
2017-03-09,827.26
2017-03-10,830.27
2017-03-13,833.44
2017-03-14,829.58
2017-03-15,841.91
2017-03-16,844.08
2017-03-17,849.54
2017-03-20,844.25
2017-03-21,822.09
2017-03-22,820.06
2017-03-23,825.78
2017-03-24,825.58
2017-03-27,826.15
2017-03-28,832.86
2017-03-29,834.85
2017-03-30,842.42
2017-03-31,844.17
2017-04-03,828.37
2017-04-04,828.79
2017-04-05,819.49
2017-04-06,827.87
2017-04-07,827.49
2017-04-10,829.9
2017-04-11,836.79
2017-04-12,825.23
2017-04-13,815.62
2017-04-17,825.24
2017-04-18,826.19
2017-04-19,830.24
2017-04-20,842.03
2017-04-21,839.36
2017-04-24,849.9
2017-04-25,857.21
2017-04-26,863.08
2017-04-27,861.84
2017-04-28,851.36
2017-05-01,855.02
2017-05-02,851.96
2017-05-03,846.43
2017-05-04,844.99
2017-05-05,848.96
2017-05-08,846.14
2017-05-09,847.23
2017-05-10,851.31
2017-05-11,845.02
2017-05-12,838.54
2017-05-15,844.4
2017-05-16,843.88
2017-05-17,822.16
2017-05-18,824.24
2017-05-19,828.12
2017-05-22,834.31
2017-05-23,836.52
2017-05-24,836.96
2017-05-25,837.69
2017-05-26,837.5
2017-05-30,832.49
2017-05-31,832.17
2017-06-01,846.65
2017-06-02,851.91
2017-06-05,846.01
2017-06-06,844.96
2017-06-07,846.2
2017-06-08,857.88
2017-06-09,864.11
2017-06-12,862.36
2017-06-13,866.07
2017-06-14,861.15
2017-06-15,856.96
2017-06-16,852.69
2017-06-19,857.15
2017-06-20,846.74
2017-06-21,842.23
2017-06-22,845.42
2017-06-23,853.17
2017-06-26,854.44
2017-06-27,847.58
2017-06-28,860.54
2017-06-29,855.45
2017-06-30,855.85
2017-07-03,863.34
2017-07-05,857.25
2017-07-06,845.07
2017-07-07,854.73
2017-07-10,849.34
2017-07-11,851.35
2017-07-12,857.94
2017-07-13,860.35
2017-07-14,862.7
2017-07-17,865.12
2017-07-18,861.97
2017-07-19,871.95
2017-07-20,872.27
2017-07-21,868.25
2017-07-24,868.33
2017-07-25,876.06
2017-07-26,870.23
2017-07-27,866.69
2017-07-28,865
2017-07-31,863.62
2017-08-01,866.06
2017-08-02,854.34
2017-08-03,851.35
