Date,S&P U.S. Treasury Bond Index
2016-06-28,427.47
2016-06-29,426.59
2016-06-30,427.11
2016-07-01,427.79
2016-07-05,429.9
2016-07-06,429.45
2016-07-07,429.59
2016-07-08,429.95
2016-07-11,428.73
2016-07-12,427.19
2016-07-13,428.12
2016-07-14,426.87
2016-07-15,425.67
2016-07-18,425.87
2016-07-19,426.4
2016-07-20,425.88
2016-07-21,426.19
2016-07-22,426.14
2016-07-25,426.04
2016-07-26,426.18
2016-07-27,427.28
2016-07-28,427.35
2016-07-29,428.52
2016-08-01,427.73
2016-08-02,426.95
2016-08-03,426.9
2016-08-04,427.78
2016-08-05,426.05
2016-08-08,426.13
2016-08-09,426.92
2016-08-10,427.69
2016-08-11,426.17
2016-08-12,427.32
2016-08-15,426.58
2016-08-16,426.04
2016-08-17,426.43
2016-08-18,427
2016-08-19,426.11
2016-08-22,427.05
2016-08-23,426.93
2016-08-24,426.85
2016-08-25,426.39
2016-08-26,425.1
2016-08-29,426.68
2016-08-30,426.44
2016-08-31,426.53
2016-09-01,426.55
2016-09-02,425.94
2016-09-06,427.17
2016-09-07,427.19
2016-09-08,425.48
2016-09-09,424.3
2016-09-12,424.52
2016-09-13,423.48
2016-09-14,423.93
2016-09-15,423.87
2016-09-16,424.24
2016-09-19,423.9
2016-09-20,424.23
2016-09-21,424.84
2016-09-22,425.55
2016-09-23,425.63
2016-09-26,426.45
2016-09-27,427.03
2016-09-28,426.83
2016-09-29,427.15
2016-09-30,426.06
2016-10-03,425.79
2016-10-04,424.56
2016-10-05,424.02
2016-10-06,423.36
2016-10-07,423.58
2016-10-11,422.67
2016-10-12,422.75
2016-10-13,423.31
2016-10-14,422.25
2016-10-17,423.04
2016-10-18,423.41
2016-10-19,423.54
2016-10-20,423.45
2016-10-21,423.61
2016-10-24,423.18
2016-10-25,423.29
2016-10-26,422.69
2016-10-27,421.68
2016-10-28,421.68
2016-10-31,422.24
2016-11-01,422.34
2016-11-02,422.98
2016-11-03,422.57
2016-11-04,423.42
2016-11-07,422.38
2016-11-08,421.55
2016-11-09,417.52
2016-11-10,416.05
2016-11-14,414.31
2016-11-15,414.42
2016-11-16,414.96
2016-11-17,413.73
2016-11-18,412.94
2016-11-21,413.16
2016-11-22,413.27
2016-11-23,412.47
2016-11-25,412.64
2016-11-28,413.44
2016-11-29,413.73
2016-11-30,412.24
2016-12-01,411.25
2016-12-02,412.21
2016-12-05,412.13
2016-12-06,412.24
2016-12-07,413.07
2016-12-08,412.15
2016-12-09,410.9
2016-12-12,411.03
2016-12-13,411.12
2016-12-14,409.2
2016-12-15,408.94
2016-12-16,409.12
2016-12-19,410.27
2016-12-20,409.83
2016-12-21,410.31
2016-12-22,410.16
2016-12-23,410.31
2016-12-27,409.96
2016-12-28,410.85
2016-12-29,411.58
2016-12-30,412.06
2017-01-03,412.17
2017-01-04,412.47
2017-01-05,414.14
2017-01-06,412.91
2017-01-09,413.91
2017-01-10,413.85
2017-01-11,414.11
2017-01-12,414.18
2017-01-13,413.55
2017-01-17,414.92
2017-01-18,413.15
2017-01-19,412.45
2017-01-20,412.61
2017-01-23,413.92
2017-01-24,412.96
2017-01-25,411.76
2017-01-26,412.2
2017-01-27,412.5
2017-01-30,412.38
2017-01-31,413.13
2017-02-01,412.61
2017-02-02,412.66
2017-02-03,412.71
2017-02-06,413.82
2017-02-07,414.28
2017-02-08,415.49
2017-02-09,414.16
2017-02-10,414
2017-02-13,413.62
2017-02-14,412.66
2017-02-15,412.07
2017-02-16,413.06
2017-02-17,413.73
2017-02-21,413.59
2017-02-22,413.94
2017-02-23,414.5
2017-02-24,415.7
2017-02-27,414.81
2017-02-28,414.81
2017-03-01,412.82
2017-03-02,412.25
2017-03-03,412.5
2017-03-06,412.31
2017-03-07,411.84
2017-03-08,411.1
2017-03-09,410.33
2017-03-10,410.76
2017-03-13,410.17
2017-03-14,410.54
2017-03-15,412.41
2017-03-16,411.82
2017-03-17,412.44
2017-03-20,413.11
2017-03-21,414.02
2017-03-22,414.41
2017-03-23,414.22
2017-03-24,414.42
2017-03-27,415.03
2017-03-28,414.19
2017-03-29,414.97
2017-03-30,414.21
2017-03-31,414.69
2017-04-03,415.96
2017-04-04,415.46
2017-04-05,415.98
2017-04-06,415.81
2017-04-07,414.96
2017-04-10,415.47
2017-04-11,416.72
2017-04-12,417.46
2017-04-13,418.02
2017-04-17,417.72
2017-04-18,419.28
2017-04-19,418.58
2017-04-20,418.08
2017-04-21,418.2
2017-04-24,417.57
2017-04-25,416.24
2017-04-26,416.88
2017-04-27,417.05
2017-04-28,417.24
2017-05-01,416.5
2017-05-02,417.11
2017-05-03,416.72
2017-05-04,416.16
2017-05-05,416.23
2017-05-08,415.64
2017-05-09,415.48
2017-05-10,415.35
2017-05-11,415.52
2017-05-12,416.7
2017-05-15,416.46
2017-05-16,416.8
2017-05-17,418.78
2017-05-18,418.65
2017-05-19,418.68
2017-05-22,418.46
2017-05-23,417.66
2017-05-24,418.36
2017-05-25,418.4
2017-05-26,418.52
2017-05-30,419.18
2017-05-31,419.39
2017-06-01,419.29
2017-06-02,420.5
2017-06-05,419.9
2017-06-06,420.64
2017-06-07,420.04
2017-06-08,419.7
2017-06-09,419.4
2017-06-12,419.4
2017-06-13,419.41
2017-06-14,420.93
2017-06-15,420.52
2017-06-16,420.8
2017-06-19,420.25
2017-06-20,421.08
2017-06-21,421.18
2017-06-22,421.45
2017-06-23,421.47
2017-06-26,421.81
2017-06-27,420.56
2017-06-28,420.47
2017-06-29,419.61
2017-06-30,419.09
2017-07-03,418.31
2017-07-05,418.59
2017-07-06,417.95
2017-07-07,417.54
2017-07-10,417.86
2017-07-11,418.2
2017-07-12,419.03
2017-07-13,418.48
2017-07-14,418.8
2017-07-17,419.13
2017-07-18,420.06
2017-07-19,420.02
2017-07-20,420.21
2017-07-21,420.73
2017-07-24,420.36
2017-07-25,418.91
2017-07-26,419.61
2017-07-27,419.18
2017-07-28,419.73
2017-07-31,419.81
2017-08-01,420.56
2017-08-02,420.42
2017-08-03,421.48
2017-08-04,420.55
2017-08-07,420.74
2017-08-08,420.47
2017-08-09,420.99
2017-08-10,421.94
2017-08-11,422.26
2017-08-14,421.65
2017-08-15,420.93
2017-08-16,421.45
2017-08-17,422.37
2017-08-18,422.29
2017-08-21,422.61
2017-08-22,422.05
2017-08-23,422.95
2017-08-24,422.41
2017-08-25,422.8
2017-08-28,423.01
2017-08-29,423.56
2017-08-30,423.34
2017-08-31,423.73
2017-09-01,422.85
2017-09-05,424.87
2017-09-06,424.12
2017-09-07,425.39
2017-09-08,425.17
2017-09-11,423.7
2017-09-12,423.03
2017-09-13,422.55
2017-09-14,422.7
2017-09-15,422.51
2017-09-18,422.03
2017-09-19,421.76
2017-09-20,421.4
2017-09-21,421.23
2017-09-22,421.65
2017-09-25,422.46
2017-09-26,422.16
2017-09-27,420.77
2017-09-28,420.71
2017-09-29,420.48
2017-10-02,420.3
2017-10-03,420.6
2017-10-04,420.64
2017-10-05,420.15
2017-10-06,419.77
2017-10-10,420.29
2017-10-11,420.44
2017-10-12,420.81
2017-10-13,421.64
2017-10-16,421.21
2017-10-17,421.19
2017-10-18,420.5
2017-10-19,420.87
2017-10-20,419.63
2017-10-23,420
2017-10-24,419.27
2017-10-25,418.88
2017-10-26,418.48
2017-10-27,419.23
2017-10-30,420.31
2017-10-31,420.12
2017-11-01,420.36
2017-11-02,420.84
2017-11-03,421.1
2017-11-06,421.49
2017-11-07,421.69
2017-11-08,421.33
2017-11-09,421.2
2017-11-10,419.72
2017-11-13,419.76
2017-11-14,420.25
2017-11-15,421.31
2017-11-16,420.35
2017-11-17,420.92
2017-11-20,420.61
2017-11-21,420.67
2017-11-22,421.45
2017-11-24,421.11
2017-11-27,421.22
2017-11-28,421.3
2017-11-29,420.33
2017-11-30,419.66
2017-12-01,420.84
2017-12-04,420.68
2017-12-05,420.98
2017-12-06,421.5
2017-12-07,420.9
2017-12-08,420.77
2017-12-11,420.54
2017-12-12,420.4
2017-12-13,421.54
2017-12-14,421.57
2017-12-15,421.61
2017-12-18,420.92
2017-12-19,419.67
2017-12-20,418.72
2017-12-21,419.03
2017-12-22,419.09
2017-12-26,419.4
2017-12-27,420.68
2017-12-28,420.43
2017-12-29,420.85
2018-01-02,419.78
2018-01-03,420.1
2018-01-04,419.88
2018-01-05,419.55
2018-01-08,419.51
2018-01-09,418.24
2018-01-10,418.25
2018-01-11,418.5
2018-01-12,418.4
2018-01-16,418.71
2018-01-17,418.27
2018-01-18,417.41
2018-01-19,416.77
2018-01-22,416.82
2018-01-23,417.5
2018-01-24,416.94
2018-01-25,417.62
2018-01-26,416.82
2018-01-29,416.31
2018-01-30,415.74
2018-01-31,415.95
2018-02-01,414.54
2018-02-02,413.8
2018-02-05,415.69
2018-02-06,414.57
2018-02-07,413.63
2018-02-08,413.87
2018-02-09,413.45
2018-02-12,413.59
2018-02-13,413.97
2018-02-14,412.35
2018-02-15,412.52
2018-02-16,413.1
